School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Florida St.,ACC,1.0,12,1,0,8.56,16.12,24.68,55.09,-4.15,,,,,,,16
Notre Dame,Ind,2.0,11,1,0,12.52,8.72,21.24,49.01,2.06,,,,,,,70
Nebraska,Big 8,3.0,11,1,0,11.96,8.35,20.31,51.71,1.65,,,,,,,34
Tennessee,SEC (East),12.0,9,2,1,9.69,8.8,18.49,54.81,3.01,,,,,,,118
Texas A&M,SWC,9.0,10,2,0,4.81,13.29,18.1,47.03,-0.98,,,,,,,119
Florida,SEC (East),5.0,11,2,0,12.79,4.74,17.53,55.06,5.89,,,,,,,110
Penn State,Big Ten,8.0,10,2,0,9.63,7.88,17.52,46.39,3.39,,,,,,,37
Oklahoma,Big 8,17.0,9,3,0,6.93,10.38,17.31,43.97,0.76,,,,,,,45
Michigan,Big Ten,21.0,8,4,0,4.65,12.08,16.73,42.78,-0.87,,,,,,,31
Wisconsin,Big Ten,6.0,10,1,1,7.26,9.45,16.71,43.05,2.79,,,,,,,40
Ohio St.,Big Ten,11.0,10,1,1,6.06,10.29,16.35,43.75,2.57,,,,,,,36
UCLA,Pac-10,18.0,8,4,0,7.57,8.4,15.97,46.0,1.32,,,,,,,102
Colorado,Big 8,16.0,8,3,1,9.87,5.61,15.48,44.88,5.83,,,,,,,98
Arizona,Pac-10,10.0,10,2,0,3.75,11.12,14.87,39.08,-0.03,,,,,,,95
Miami (FL),Big East,15.0,9,3,0,3.0,11.31,14.31,38.63,0.38,,,,,,,19
West Virginia,Big East,7.0,11,1,0,6.17,7.67,13.83,42.16,5.72,,,,,,,50
Auburn,SEC (West),4.0,11,0,0,9.03,4.26,13.29,44.12,7.19,,,,,,,109
USC,Pac-10,,8,5,0,3.95,8.8,12.76,41.61,2.62,,,,,,,103
Louisville,Ind,24.0,9,3,0,5.69,5.83,11.51,41.25,6.99,,,,,,,18
Boston College,Big East,13.0,9,3,0,8.77,2.67,11.44,43.76,9.42,,,,,,,13
Washington,Pac-10,,7,4,0,3.15,7.97,11.12,39.86,2.84,,,,,,,105
Virginia Tech,Big East,22.0,9,3,0,10.95,-0.41,10.54,46.08,12.98,,,,,,,25
Alabama,SEC (West),14.0,9,3,1,0.75,9.41,10.16,39.36,1.77,,,,,,,107
North Carolina,ACC,19.0,10,3,0,8.29,1.65,9.95,43.8,10.91,,,,,,,21
Kansas St.,Big 8,20.0,9,2,1,4.81,4.63,9.44,38.71,7.4,,,,,,,44
California,Pac-10,25.0,9,4,0,6.04,3.37,9.41,43.29,9.45,,,,,,,97
Indiana,Big Ten,,8,4,0,-0.57,9.1,8.53,33.1,3.92,,,,,,,28
Arizona St.,Pac-10,,6,5,0,3.03,4.3,7.33,40.93,7.16,,,,,,,96
Fresno St.,WAC,,8,4,0,13.1,-5.86,7.24,46.83,17.66,,,,,,,86
Michigan St.,Big Ten,,6,6,0,5.72,1.49,7.21,39.49,10.05,,,,,,,32
Georgia,SEC (East),,5,6,0,8.15,-2.14,6.01,44.98,12.64,,,,,,,111
Virginia,ACC,,7,5,0,0.46,5.41,5.88,36.1,7.04,,,,,,,24
Illinois,Big Ten,,5,6,0,-1.81,7.25,5.44,33.7,4.64,,,,,,,27
Texas,SWC,,5,5,1,3.58,1.42,5.0,38.03,10.92,,,,,,,48
Washington St.,Pac-10,,5,6,0,2.27,2.56,4.84,41.23,9.08,,,,,,,106
Texas Tech,SWC,,6,6,0,7.99,-3.73,4.26,47.51,15.48,,,,,,,49
Ole Miss,SEC (West),,5,6,0,-4.31,8.29,3.98,34.05,3.04,,,,,,,116
Oregon,Pac-10,,5,6,0,5.72,-2.13,3.58,40.48,11.98,,,,,,,99
Kansas,Big 8,,5,7,0,-1.72,4.97,3.25,34.81,6.69,,,,,,,43
Clemson,ACC,23.0,9,3,0,-6.05,9.1,3.05,26.26,5.82,,,,,,,14
Kentucky,SEC (East),,6,6,0,-2.94,5.7,2.76,31.44,6.68,,,,,,,112
Arkansas,SEC (West),,5,5,1,-5.04,7.35,2.31,29.73,5.1,,,,,,,108
BYU,WAC,,6,6,0,10.78,-8.7,2.07,44.65,22.41,,,,,,,66
Stanford,Pac-10,,4,7,0,9.26,-7.3,1.95,43.85,18.57,,,,,,,101
Syracuse,Big East,,6,4,1,0.51,1.41,1.92,34.14,15.59,,,,,,,23
NC State,ACC,,7,5,0,1.61,-0.01,1.6,34.48,14.79,,,,,,,20
Oregon St.,Pac-10,,4,7,0,-1.17,2.63,1.46,35.3,11.15,,,,,,,100
South Carolina,SEC (East),,4,7,0,-3.02,4.22,1.2,31.31,8.23,,,,,,,117
Missouri,Big 8,,3,7,1,-0.94,1.99,1.05,35.45,16.28,,,,,,,115
San Diego St.,WAC,,6,6,0,7.65,-6.82,0.83,42.97,19.64,,,,,,,90
Mississippi St.,SEC (West),,3,6,2,2.08,-1.39,0.69,36.97,12.73,,,,,,,114
Memphis,Ind,,6,5,0,0.57,-0.09,0.47,36.54,12.39,,,,,,,6
Iowa,Big Ten,,6,6,0,-3.92,4.15,0.22,30.23,11.65,,,,,,,29
Cincinnati,Ind,,8,3,0,-0.38,0.03,-0.35,32.82,13.61,,,,,,,2
New Mexico,WAC,,6,5,0,1.13,-1.51,-0.38,34.92,12.69,,,,,,,89
LSU,SEC (West),,5,6,0,-0.16,-0.42,-0.58,33.8,13.44,,,,,,,113
Georgia Tech,ACC,,5,6,0,-2.72,2.01,-0.72,33.93,14.42,,,,,,,17
Utah,WAC,,7,6,0,5.52,-6.37,-0.84,38.62,19.62,,,,,,,104
Wyoming,WAC,,8,4,0,2.98,-3.9,-0.92,37.07,17.04,,,,,,,94
Minnesota,Big Ten,,4,7,0,3.77,-5.19,-1.42,37.32,19.84,,,,,,,33
Iowa St.,Big 8,,3,8,0,2.34,-3.98,-1.64,37.7,16.04,,,,,,,42
Northwestern,Big Ten,,2,9,0,-1.04,-1.01,-2.05,33.01,15.93,,,,,,,35
Oklahoma St.,Big 8,,3,8,0,-6.35,4.07,-2.28,29.13,7.92,,,,,,,46
Vanderbilt,SEC (East),,4,7,0,-8.35,6.04,-2.31,27.47,12.12,,,,,,,120
Colorado St.,WAC,,5,6,0,-6.14,3.71,-2.43,29.82,9.93,,,,,,,85
Rutgers,Big East,,4,7,0,2.88,-5.52,-2.64,41.22,19.83,,,,,,,39
Purdue,Big Ten,,1,10,0,2.0,-4.72,-2.72,36.29,16.73,,,,,,,38
Rice,SWC,,6,5,0,0.61,-3.42,-2.81,35.75,16.29,,,,,,,59
Baylor,SWC,,5,6,0,1.41,-4.57,-3.16,34.38,16.59,,,,,,,41
Tulsa,Ind,,4,6,1,1.23,-4.84,-3.6,34.84,17.24,,,,,,,12
Louisiana,Big West,,8,3,0,-4.51,-0.24,-4.74,27.29,15.54,,,,,,,126
