School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Wisconsin,Big Ten,2.0,8,2,0,17.11,8.39,25.5,48.02,-3.29,,,,,,,40.0
USC,AAWU,1.0,11,0,0,11.54,11.76,23.29,38.45,-6.62,,,,,,,103.0
Alabama,SEC,5.0,10,1,0,8.03,14.44,22.47,39.59,-10.3,,,,,,,107.0
Minnesota,Big Ten,10.0,6,2,1,5.93,15.32,21.25,31.28,-11.39,,,,,,,33.0
Northwestern,Big Ten,,7,2,0,14.16,6.04,20.19,43.72,-0.08,,,,,,,35.0
LSU,SEC,7.0,9,1,1,3.89,15.87,19.76,31.7,-10.56,,,,,,,113.0
Ole Miss,SEC,3.0,10,0,0,7.79,10.9,18.68,37.9,-6.09,,,,,,,116.0
Ohio St.,Big Ten,,6,3,0,8.04,9.55,17.6,36.74,-5.35,,,,,,,36.0
Georgia Tech,SEC,,7,3,1,8.75,8.79,17.54,36.05,-6.06,,,,,,,17.0
Washington,AAWU,,7,1,2,5.99,11.0,16.98,33.71,-5.22,,,,,,,105.0
Oklahoma,Big 8,8.0,8,3,0,4.21,12.61,16.82,37.46,-7.94,,,,,,,45.0
Michigan St.,Big Ten,,5,4,0,9.07,7.71,16.78,37.0,-3.19,,,,,,,32.0
Penn State,Ind,9.0,9,2,0,8.16,7.83,15.99,34.78,-2.44,,,,,,,37.0
Purdue,Big Ten,,4,4,1,3.98,11.54,15.51,31.95,-7.5,,,,,,,38.0
Texas,SWC,4.0,9,1,1,3.72,11.51,15.23,30.58,-6.61,,,,,,,48.0
Arkansas,SWC,6.0,9,2,0,10.14,4.88,15.01,39.56,0.26,,,,,,,108.0
Missouri,Big 8,,8,1,2,0.65,13.1,13.75,29.82,-7.48,,,,,,,115.0
Florida,SEC,,7,4,0,8.26,4.96,13.22,37.08,-0.33,,,,,,,110.0
Oregon,Ind,,6,3,1,10.05,2.16,12.2,36.37,3.16,,,,,,,99.0
Duke,ACC,,8,2,0,4.01,7.64,11.65,32.54,-2.12,,,,,,,15.0
Oregon St.,Ind,,9,2,0,7.96,3.46,11.42,34.93,2.06,,,,,,,100.0
Iowa,Big Ten,,4,5,0,6.5,4.82,11.32,33.41,0.51,,,,,,,29.0
Notre Dame,Ind,,5,5,0,6.79,4.44,11.23,33.25,0.18,,,,,,,70.0
Nebraska,Big 8,,9,2,0,9.49,1.63,11.12,36.51,4.27,,,,,,,34.0
