School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Stanford,Pac-10,4.0,12,1,11.33,10.47,21.8,57.05,1.05,10.67,4.71,6.18,2.84,8.05,3.8,101
Oregon,Pac-10,3.0,12,1,13.04,8.5,21.54,62.63,2.86,9.71,4.03,6.9,2.58,8.01,3.34,99
Auburn,SEC (West),1.0,14,0,16.15,4.52,20.66,57.89,7.05,11.88,4.87,7.48,2.23,8.86,3.82,109
Boise St.,WAC,9.0,12,1,5.85,12.84,18.69,56.41,0.64,11.12,3.7,5.69,2.52,8.26,2.92,84
Alabama,SEC (West),10.0,10,3,4.12,14.19,18.31,50.89,-2.21,11.08,4.11,6.26,2.24,8.27,3.16,107
TCU,MWC,2.0,13,0,5.64,12.32,17.96,52.79,0.79,10.25,3.53,5.86,2.73,7.55,3.13,47
Ohio St.,Big Ten,5.0,12,1,4.66,12.7,17.37,50.69,1.07,9.73,3.87,5.98,2.14,7.43,3.09,36
Oklahoma,Big 12 (South),6.0,12,2,10.21,6.91,17.11,52.9,6.15,9.37,4.54,4.22,3.08,6.86,3.84,45
Oklahoma St.,Big 12 (South),13.0,11,2,15.1,1.53,16.62,56.9,11.5,9.82,4.72,5.69,2.89,7.88,3.84,46
LSU,SEC (West),8.0,11,2,6.33,8.8,15.13,46.3,3.27,8.61,4.39,5.86,2.71,6.8,3.45,113
Arkansas,SEC (West),12.0,10,3,11.35,3.13,14.48,53.11,8.27,11.18,5.08,5.92,2.91,8.57,3.87,108
Florida St.,ACC (Atlantic),17.0,10,4,6.93,7.27,14.2,48.37,5.08,9.32,5.23,6.07,2.66,7.42,3.9,16
Virginia Tech,ACC (Coastal),16.0,11,3,7.39,6.64,14.03,47.69,5.63,9.87,5.23,5.81,3.85,7.33,4.48,25
Wisconsin,Big Ten,7.0,11,2,9.19,4.83,14.02,53.9,7.7,10.77,5.15,6.28,3.33,7.74,4.21,40
Missouri,Big 12 (North),18.0,10,3,3.09,10.89,13.98,43.74,2.4,8.24,4.59,5.4,3.62,6.8,4.06,115
South Carolina,SEC (East),22.0,9,5,5.77,7.2,12.97,46.95,5.21,10.29,5.16,5.44,2.0,7.45,3.68,117
Nebraska,Big 12 (North),20.0,10,4,4.04,8.81,12.85,44.0,4.04,9.04,4.39,6.04,3.38,7.15,3.68,34
Nevada,WAC,11.0,13,1,11.09,0.87,11.96,51.76,12.21,9.87,5.8,6.55,3.82,7.89,4.82,88
Texas A&M,Big 12 (South),19.0,9,4,5.1,6.28,11.39,45.83,6.45,8.67,4.51,4.9,2.59,6.75,3.54,119
NC State,ACC (Atlantic),25.0,9,4,6.34,4.66,11.0,46.75,7.89,8.34,5.85,4.63,2.42,6.51,4.19,20
