School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Miami (FL),Big East,2.0,11,1,12.29,10.94,23.22,56.57,-0.27,10.62,3.59,5.86,2.12,8.0,2.83,19
Florida St.,ACC,5.0,11,2,6.28,16.85,23.13,54.05,-5.45,11.5,3.41,5.46,1.58,8.58,2.48,16
Oklahoma,Big 12 (South),1.0,13,0,9.6,11.95,21.56,51.92,-2.49,9.95,3.18,4.79,2.35,7.53,2.65,45
Virginia Tech,Big East,6.0,11,1,15.89,3.53,19.42,55.07,7.85,9.34,4.79,6.14,1.93,7.28,3.32,25
Nebraska,Big 12 (North),8.0,10,2,11.08,7.93,19.01,57.69,3.23,8.77,4.03,6.83,2.84,7.62,3.42,34
Florida,SEC (East),10.0,10,3,12.18,5.43,17.61,53.18,5.45,10.12,3.58,4.88,2.5,7.75,2.94,110
Oregon St.,Pac-10,4.0,11,1,9.14,8.19,17.33,47.56,4.98,9.57,4.92,4.98,2.28,6.89,3.6,100
Washington,Pac-10,3.0,11,1,10.02,6.89,16.91,47.94,5.85,8.45,4.27,5.71,3.35,6.86,3.67,105
Kansas St.,Big 12 (North),9.0,11,3,8.92,6.8,15.72,54.45,3.99,10.03,3.97,5.12,1.97,7.13,2.66,44
Texas,Big 12 (South),12.0,9,3,7.35,6.43,13.78,51.13,8.15,9.77,3.92,4.7,2.42,7.32,2.94,48
Oregon,Pac-10,7.0,10,2,6.37,7.38,13.75,42.4,5.27,9.06,4.35,4.52,3.16,6.7,3.66,99
Michigan,Big Ten,11.0,9,3,6.76,6.17,12.93,47.25,5.25,10.25,4.88,5.61,3.1,7.45,3.99,31
Notre Dame,Ind,15.0,9,3,6.86,5.6,12.45,43.65,6.22,9.01,5.41,5.19,2.62,6.43,3.74,70
Clemson,ACC,16.0,9,3,6.26,5.28,11.54,47.91,8.46,9.23,5.39,5.66,2.04,7.03,3.58,14
Texas A&M,Big 12 (South),,7,5,4.69,6.76,11.44,43.35,3.95,9.15,4.54,4.66,2.33,6.86,3.27,119
Georgia Tech,ACC,17.0,9,3,7.46,3.84,11.3,45.83,7.75,9.41,5.43,4.85,2.23,7.02,3.92,17
TCU,WAC,21.0,10,2,0.17,11.12,11.29,43.02,2.3,10.11,4.11,5.23,2.22,6.87,2.85,47
Ohio St.,Big Ten,,8,4,4.74,6.22,10.97,44.4,6.09,9.57,4.5,4.47,1.72,6.58,3.13,36
