School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Texas,SWC,3.0,10,1,0,17.23,11.06,28.29,54.85,-1.42,,,,,,,48.0
Nebraska,Big 8,1.0,11,0,1,18.06,9.56,27.63,50.36,1.04,,,,,,,34.0
Notre Dame,Ind,2.0,10,1,0,11.63,14.69,26.32,48.37,-4.38,,,,,,,70.0
Tennessee,SEC,4.0,11,1,0,9.79,14.91,24.7,44.34,-3.81,,,,,,,118.0
Ohio St.,Big Ten,5.0,9,1,0,11.69,12.35,24.04,43.62,-1.53,,,,,,,36.0
Michigan,Big Ten,9.0,9,1,0,7.25,14.86,22.12,41.85,-3.65,,,,,,,31.0
Auburn,SEC,10.0,9,2,0,13.44,7.87,21.31,49.43,3.15,,,,,,,109.0
Arkansas,SWC,11.0,9,2,0,10.47,10.21,20.68,48.31,1.77,,,,,,,108.0
LSU,SEC,7.0,9,3,0,6.15,14.45,20.61,38.73,-4.91,,,,,,,113.0
Stanford,Pac-8,8.0,9,3,0,9.76,10.68,20.44,42.92,-1.16,,,,,,,101.0
USC,Pac-8,15.0,6,4,1,12.86,6.73,19.6,46.32,2.02,,,,,,,103.0
Arizona St.,WAC,6.0,11,0,0,11.82,7.15,18.97,44.22,4.82,,,,,,,96.0
Washington,Pac-8,,6,4,0,14.6,3.44,18.04,48.16,5.56,,,,,,,105.0
Dartmouth,Ivy,14.0,9,0,0,4.27,12.85,17.12,39.99,0.12,,,,,,,168.0
Oklahoma,Big 8,20.0,7,4,1,8.63,8.36,16.98,41.15,2.64,,,,,,,45.0
Colorado,Big 8,,6,5,0,9.14,6.97,16.11,41.97,3.32,,,,,,,98.0
UCLA,Pac-8,,6,5,0,9.01,6.96,15.97,40.65,2.34,,,,,,,102.0
Houston,Ind,19.0,8,3,0,7.58,7.9,15.48,37.38,4.29,,,,,,,5.0
Air Force,Ind,16.0,9,3,0,12.85,2.34,15.2,42.9,8.79,,,,,,,83.0
Alabama,SEC,,6,5,1,11.49,2.96,14.45,42.38,6.85,,,,,,,107.0
Georgia Tech,Ind,13.0,9,3,0,4.1,9.81,13.91,32.72,0.33,,,,,,,17.0
Northwestern,Big Ten,,6,4,0,6.71,7.19,13.9,38.59,2.64,,,,,,,35.0
Missouri,Big 8,,5,6,0,6.01,6.92,12.92,37.09,2.92,,,,,,,115.0
Georgia,SEC,,5,5,0,5.39,6.85,12.24,36.76,3.18,,,,,,,111.0
Ole Miss,SEC,20.0,7,4,0,10.05,1.14,11.19,41.32,11.23,,,,,,,116.0
Texas Tech,SWC,,8,4,0,2.09,8.94,11.03,32.04,1.62,,,,,,,49.0
Oregon St.,Pac-8,,6,5,0,3.97,7.0,10.97,33.52,4.43,,,,,,,100.0
