School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Washington,Pac-10,2.0,12,0,0,10.24,15.97,26.22,53.51,-4.49,,,,,,,105.0
Miami (FL),Big East,1.0,12,0,0,6.8,16.96,23.76,42.24,-5.19,,,,,,,19.0
Penn State,Ind,3.0,11,2,0,9.76,10.14,19.9,48.84,2.53,,,,,,,37.0
Florida St.,Ind,4.0,11,2,0,10.76,9.07,19.82,45.81,2.36,,,,,,,16.0
Michigan,Big Ten,6.0,10,2,0,12.05,7.49,19.54,49.14,3.88,,,,,,,31.0
Florida,SEC,7.0,10,2,0,9.65,9.6,19.24,44.62,2.26,,,,,,,110.0
California,Pac-10,8.0,10,2,0,13.25,4.83,18.08,48.28,6.63,,,,,,,97.0
Notre Dame,Ind,13.0,10,3,0,13.24,3.23,16.47,48.02,8.16,,,,,,,70.0
Texas A&M,SWC,12.0,10,2,0,6.6,9.24,15.83,43.72,2.82,,,,,,,119.0
Nebraska,Big 8,15.0,9,2,1,12.01,3.8,15.81,51.28,7.35,,,,,,,34.0
Oklahoma,Big 8,16.0,9,3,0,6.74,7.62,14.36,43.51,3.4,,,,,,,45.0
Syracuse,Big East,11.0,10,2,0,6.92,6.76,13.68,37.9,6.38,,,,,,,23.0
Stanford,Pac-10,22.0,8,4,0,8.47,4.99,13.46,43.9,6.36,,,,,,,101.0
UCLA,Pac-10,19.0,9,3,0,3.4,10.04,13.43,38.32,2.07,,,,,,,102.0
Alabama,SEC,5.0,11,1,0,0.73,11.35,12.08,38.02,1.52,,,,,,,107.0
Tennessee,SEC,14.0,9,3,0,10.17,1.88,12.06,43.45,9.21,,,,,,,118.0
Colorado,Big 8,20.0,8,3,1,3.55,7.68,11.24,38.97,2.77,,,,,,,98.0
Iowa,Big Ten,10.0,10,1,1,4.5,6.68,11.18,38.47,6.63,,,,,,,29.0
Clemson,ACC,18.0,9,2,1,3.43,6.68,10.12,36.58,5.69,,,,,,,14.0
BYU,WAC,23.0,8,3,2,10.81,-1.11,9.71,41.48,14.45,,,,,,,66.0
Georgia,SEC,17.0,9,3,0,6.42,2.95,9.38,39.95,10.18,,,,,,,111.0
East Carolina,Ind,9.0,11,1,0,11.87,-2.59,9.29,42.39,16.12,,,,,,,4.0
Ohio St.,Big Ten,,8,4,0,2.09,6.81,8.9,33.59,5.81,,,,,,,36.0
Georgia Tech,ACC,,8,5,0,2.52,6.37,8.89,33.04,4.6,,,,,,,17.0
Virginia,ACC,,8,3,1,0.56,8.22,8.78,37.08,4.89,,,,,,,24.0
Indiana,Big Ten,,7,4,1,4.24,3.75,8.0,36.31,8.38,,,,,,,28.0
Baylor,SWC,,8,4,0,1.45,5.41,6.87,33.61,6.28,,,,,,,41.0
Illinois,Big Ten,,6,6,0,0.08,6.69,6.77,31.96,3.96,,,,,,,27.0
Kansas,Big 8,,6,5,0,4.5,2.1,6.6,39.25,11.63,,,,,,,43.0
Arizona St.,Pac-10,,6,5,0,0.83,5.75,6.58,32.31,5.21,,,,,,,96.0
NC State,ACC,24.0,9,3,0,2.16,3.6,5.77,34.2,9.81,,,,,,,20.0
Kansas St.,Big 8,,7,4,0,1.31,4.05,5.36,33.75,9.47,,,,,,,44.0
USC,Pac-10,,3,8,0,3.75,1.52,5.27,36.1,7.54,,,,,,,103.0
Tulsa,Ind,21.0,10,2,0,4.72,0.52,5.23,35.83,12.49,,,,,,,12.0
Texas,SWC,,5,6,0,-4.43,9.63,5.2,28.83,0.93,,,,,,,48.0
Mississippi St.,SEC,,7,5,0,0.48,4.65,5.13,35.79,7.18,,,,,,,114.0
Air Force,WAC,25.0,10,3,0,3.39,1.34,4.73,33.56,12.52,,,,,,,83.0
Boston College,Big East,,4,7,0,4.22,0.39,4.61,36.45,11.42,,,,,,,13.0
Pittsburgh,Big East,,6,5,0,2.81,1.62,4.42,33.53,11.21,,,,,,,22.0
North Carolina,ACC,,7,4,0,2.45,1.82,4.27,34.67,10.97,,,,,,,21.0
West Virginia,Big East,,6,5,0,-1.13,5.33,4.2,30.22,9.34,,,,,,,50.0
Virginia Tech,Big East,,5,6,0,0.86,3.08,3.94,34.15,10.57,,,,,,,25.0
Bowling Green,MAC,,11,1,0,0.21,3.04,3.25,27.65,12.45,,,,,,,73.0
Auburn,SEC,,5,6,0,0.83,1.93,2.75,33.77,9.73,,,,,,,109.0
San Diego St.,WAC,,8,4,1,7.38,-4.77,2.61,37.27,18.79,,,,,,,90.0
Fresno St.,Big West,,10,2,0,4.95,-2.57,2.38,40.96,17.31,,,,,,,86.0
Arkansas,SWC,,6,6,0,-4.54,6.4,1.87,25.72,5.58,,,,,,,108.0
Arizona,Pac-10,,4,7,0,5.41,-3.66,1.75,37.05,18.55,,,,,,,95.0
Houston,SWC,,4,7,0,9.29,-7.62,1.67,45.62,21.56,,,,,,,5.0
LSU,SEC,,5,6,0,1.42,0.08,1.5,34.4,12.33,,,,,,,113.0
Texas Tech,SWC,,6,5,0,5.48,-4.23,1.25,37.56,16.59,,,,,,,49.0
Ole Miss,SEC,,5,6,0,0.52,0.36,0.88,31.81,11.82,,,,,,,116.0
South Carolina,Ind,,3,6,2,0.91,-0.57,0.35,34.28,13.41,,,,,,,117.0
Memphis,Ind,,5,6,0,-1.73,1.76,0.02,29.47,10.62,,,,,,,6.0
