School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Oklahoma,Big 8,1.0,11,1,0,12.68,11.47,24.15,44.2,-3.4,,,,,,,45.0
Ohio St.,Big Ten,4.0,11,1,0,9.04,14.66,23.7,43.73,-3.08,,,,,,,36.0
Alabama,SEC,3.0,11,1,0,7.79,15.26,23.05,43.65,-4.27,,,,,,,107.0
Texas,SWC,6.0,10,2,0,13.39,8.1,21.49,46.17,2.04,,,,,,,48.0
Arkansas,SWC,7.0,10,2,0,8.86,12.42,21.27,39.43,-3.27,,,,,,,108.0
Nebraska,Big 8,9.0,10,2,0,9.57,11.1,20.67,44.64,-1.66,,,,,,,34.0
Michigan,Big Ten,8.0,8,2,2,5.51,12.48,17.99,38.76,-2.06,,,,,,,31.0
Penn State,Ind,10.0,9,3,0,4.83,12.47,17.3,31.96,-4.21,,,,,,,37.0
Texas A&M,SWC,11.0,10,2,0,4.8,12.19,16.99,35.36,-1.88,,,,,,,119.0
Arizona St.,WAC,2.0,12,0,0,8.44,8.51,16.95,36.03,3.01,,,,,,,96.0
Florida,SEC,,9,3,0,6.48,10.1,16.59,37.45,0.11,,,,,,,110.0
UCLA,Pac-8,5.0,9,2,1,13.81,2.23,16.04,41.23,7.21,,,,,,,102.0
Colorado,Big 8,16.0,9,3,0,11.24,3.84,15.08,41.51,6.32,,,,,,,98.0
Pittsburgh,Ind,15.0,8,4,0,6.36,8.4,14.76,39.82,2.17,,,,,,,22.0
California,Pac-8,14.0,8,3,0,12.87,1.87,14.74,40.88,8.94,,,,,,,97.0
Missouri,Big 8,,6,5,0,12.47,1.82,14.29,42.02,5.57,,,,,,,115.0
Notre Dame,Ind,,8,3,0,6.49,7.77,14.26,33.65,3.41,,,,,,,70.0
Oklahoma St.,Big 8,,7,4,0,6.09,7.92,14.01,40.17,1.84,,,,,,,46.0
Kansas,Big 8,,7,5,0,6.69,7.13,13.82,35.54,0.76,,,,,,,43.0
Georgia,SEC,19.0,9,3,0,8.23,5.53,13.76,37.29,4.88,,,,,,,111.0
USC,Pac-8,17.0,8,4,0,3.51,9.99,13.5,31.25,-0.03,,,,,,,103.0
Arkansas St.,Southland,,11,0,0,4.0,9.1,13.11,35.84,3.77,,,,,,,122.0
Maryland,ACC,13.0,9,2,1,5.53,6.83,12.36,34.74,4.3,,,,,,,30.0
Arizona,WAC,18.0,9,2,0,8.38,3.83,12.22,36.51,7.57,,,,,,,95.0
West Virginia,Ind,20.0,9,3,0,5.95,5.86,11.81,34.17,5.2,,,,,,,50.0
Michigan St.,Big Ten,,7,4,0,5.39,6.3,11.69,32.03,3.93,,,,,,,32.0
San Jose St.,PCAA,,9,2,0,4.7,5.31,10.01,30.68,6.16,,,,,,,91.0
Ole Miss,SEC,,6,5,0,2.59,6.94,9.53,30.17,2.99,,,,,,,116.0
Texas Tech,SWC,,6,5,0,8.92,0.17,9.09,37.78,8.86,,,,,,,49.0
Tennessee,SEC,,7,5,0,5.32,3.65,8.97,32.66,6.9,,,,,,,118.0
NC State,ACC,,7,4,1,5.46,3.49,8.96,32.82,7.12,,,,,,,20.0
Washington,Pac-8,,6,5,0,5.03,3.74,8.77,31.15,7.56,,,,,,,105.0
Stanford,Pac-8,,6,4,1,11.03,-2.51,8.52,41.21,13.64,,,,,,,101.0
Georgia Tech,Ind,,7,4,0,6.76,1.32,8.08,34.85,9.4,,,,,,,17.0
Miami (OH),MAC,12.0,11,1,0,2.3,5.58,7.88,30.99,6.71,,,,,,,78.0
Navy,Ind,,7,4,0,-0.08,7.96,7.88,28.08,2.09,,,,,,,7.0
San Diego St.,PCAA,,8,3,0,3.94,3.19,7.13,33.25,9.09,,,,,,,90.0
Southern Miss,Ind,,7,4,0,0.74,6.1,6.84,33.12,4.53,,,,,,,60.0
Illinois,Big Ten,,5,6,0,6.33,0.39,6.72,32.89,10.71,,,,,,,27.0
Minnesota,Big Ten,,6,5,0,4.24,2.05,6.29,31.16,9.28,,,,,,,33.0
South Carolina,Ind,,7,5,0,7.63,-1.36,6.27,35.66,12.11,,,,,,,117.0
LSU,SEC,,4,7,0,1.5,4.51,6.01,30.2,5.11,,,,,,,113.0
Mississippi St.,SEC,,6,4,1,0.18,5.56,5.74,27.59,4.2,,,,,,,114.0
Louisiana Tech,Southland,,8,2,0,7.36,-2.06,5.3,34.44,13.8,,,,,,,54.0
Baylor,SWC,,3,6,2,1.69,3.55,5.24,30.13,6.82,,,,,,,41.0
Rutgers,Ind,,9,2,0,-0.33,5.32,4.99,33.39,7.12,,,,,,,39.0
Boston College,Ind,,7,4,0,0.64,3.99,4.63,28.09,7.58,,,,,,,13.0
