School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Florida St.,Ind,2.0,11,1,0,13.89,9.61,23.5,53.05,0.6,,,,,,,16.0
Miami (FL),Ind,1.0,12,0,0,9.98,12.75,22.73,48.24,-2.22,,,,,,,19.0
Nebraska,Big 8,6.0,10,2,0,8.74,10.43,19.18,49.57,0.16,,,,,,,34.0
UCLA,Pac-10,9.0,10,2,0,11.15,8.01,19.17,47.94,3.36,,,,,,,102.0
Oklahoma,Big 8,3.0,11,1,0,4.55,14.04,18.6,50.01,-1.97,,,,,,,45.0
Auburn,SEC,7.0,9,1,2,3.05,15.2,18.25,39.37,-3.7,,,,,,,109.0
LSU,SEC,5.0,10,1,1,9.26,8.77,18.03,43.26,3.01,,,,,,,113.0
Syracuse,Ind,4.0,11,0,1,9.75,6.72,16.47,43.87,6.3,,,,,,,23.0
South Carolina,Ind,15.0,8,4,0,3.87,12.51,16.38,41.08,-0.78,,,,,,,117.0
Notre Dame,Ind,17.0,8,4,0,9.48,5.77,15.25,44.28,5.33,,,,,,,70.0
Michigan St.,Big Ten,8.0,9,2,1,1.12,13.19,14.31,36.05,-1.01,,,,,,,32.0
Georgia,SEC,13.0,9,3,0,7.82,6.48,14.29,40.23,3.47,,,,,,,111.0
Texas A&M,SWC,10.0,10,2,0,3.87,10.38,14.25,35.75,2.25,,,,,,,119.0
Clemson,ACC,12.0,10,2,0,5.96,7.75,13.71,39.59,4.38,,,,,,,14.0
USC,Pac-10,18.0,8,4,0,7.53,5.43,12.96,40.33,5.97,,,,,,,103.0
Tennessee,SEC,14.0,10,2,1,8.82,3.84,12.66,43.63,8.04,,,,,,,118.0
Michigan,Big Ten,19.0,8,4,0,3.31,8.59,11.9,39.43,3.52,,,,,,,31.0
Oklahoma St.,Big 8,11.0,10,2,0,8.92,2.58,11.5,43.59,9.88,,,,,,,46.0
Iowa,Big Ten,16.0,10,3,0,8.03,3.13,11.16,39.79,9.02,,,,,,,29.0
Florida,SEC,,6,6,0,0.78,10.36,11.14,40.37,0.44,,,,,,,110.0
Alabama,SEC,,7,5,0,3.85,6.95,10.8,36.97,4.2,,,,,,,107.0
Ohio St.,Big Ten,,6,4,1,2.29,6.54,8.83,34.71,4.61,,,,,,,36.0
Arizona St.,Pac-10,20.0,7,4,1,7.57,1.1,8.68,39.61,10.57,,,,,,,96.0
Indiana,Big Ten,,8,4,0,4.82,3.41,8.24,36.25,8.65,,,,,,,28.0
Pittsburgh,Ind,,8,4,0,-2.75,10.85,8.11,29.65,1.42,,,,,,,22.0
Arkansas,SWC,,9,4,0,0.07,7.8,7.87,31.47,5.42,,,,,,,108.0
West Virginia,Ind,,6,6,0,4.45,3.28,7.73,38.89,7.96,,,,,,,50.0
Washington,Pac-10,,7,4,1,3.6,4.12,7.72,35.19,9.3,,,,,,,105.0
Wyoming,WAC,,10,3,0,5.01,2.61,7.62,37.78,9.83,,,,,,,94.0
Penn State,Ind,,8,4,0,3.86,3.39,7.26,36.84,9.63,,,,,,,37.0
Colorado,Big 8,,7,4,0,0.72,5.83,6.55,33.59,5.05,,,,,,,98.0
Virginia,ACC,,8,4,0,4.7,1.49,6.19,36.62,12.73,,,,,,,24.0
