School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Texas,Big 12 (South),1.0,13,0,14.05,10.93,24.98,64.57,1.46,10.44,4.25,7.02,2.57,8.19,3.34,48
USC,Pac-10,2.0,12,1,17.06,7.51,24.57,63.11,4.34,9.97,4.64,7.13,2.82,8.49,3.67,103
Ohio St.,Big Ten,4.0,10,2,7.09,15.88,22.97,47.44,-4.18,10.58,4.39,5.3,1.14,7.27,2.92,36
Penn State,Big Ten,3.0,11,1,8.75,11.66,20.41,49.61,1.08,8.92,4.22,5.88,1.54,7.03,2.98,37
Virginia Tech,ACC (Coastal),7.0,11,2,6.14,12.83,18.96,48.98,0.75,9.71,3.9,5.14,2.44,6.72,3.19,25
Notre Dame,Ind,9.0,9,3,14.72,2.74,17.46,53.33,9.09,10.27,6.05,4.61,3.04,7.26,4.7,70
Miami (FL),ACC (Coastal),17.0,9,3,3.83,11.26,15.09,42.19,2.56,9.34,4.06,4.69,2.52,6.63,3.2,19
Michigan,Big Ten,,7,5,5.19,9.67,14.86,44.71,2.34,8.09,4.36,4.63,2.8,6.09,3.66,31
LSU,SEC (West),6.0,11,2,4.35,9.83,14.18,44.3,3.62,9.33,4.15,4.59,2.39,6.63,3.27,113
Georgia,SEC (East),10.0,10,3,5.1,8.65,13.75,43.8,4.01,9.66,5.04,5.5,3.14,7.34,3.93,111
Auburn,SEC (West),14.0,9,3,5.62,8.01,13.63,46.14,5.58,9.16,5.54,5.49,3.13,7.07,4.31,109
Oregon,Pac-10,12.0,10,2,8.22,4.91,13.13,47.79,8.4,8.74,4.46,4.61,3.08,6.78,3.77,99
West Virginia,Big East,5.0,11,1,6.53,6.52,13.05,45.89,5.87,8.62,5.14,5.88,2.36,6.73,3.66,50
Alabama,SEC (West),8.0,10,2,0.15,12.74,12.89,37.12,0.02,8.81,4.38,4.58,2.94,6.46,3.57,107
Florida,SEC (East),12.0,9,3,5.4,6.92,12.32,44.16,7.01,8.74,5.28,4.73,2.58,6.56,3.87,110
Boston College,ACC (Atlantic),18.0,9,3,1.21,10.8,12.01,39.33,2.58,8.53,4.8,4.65,2.08,6.45,3.54,13
Wisconsin,Big Ten,15.0,10,3,8.09,3.71,11.81,46.42,9.36,10.0,5.52,4.42,3.83,6.5,4.67,40
Texas Tech,Big 12 (South),20.0,9,3,5.26,6.15,11.4,51.79,7.5,8.94,4.95,5.07,3.23,7.59,4.02,49
Minnesota,Big Ten,,7,5,12.31,-1.0,11.31,51.66,13.98,9.67,5.79,6.14,3.59,7.38,4.79,33
Iowa,Big Ten,,7,5,3.66,7.64,11.3,42.98,5.12,8.85,5.51,5.5,2.5,7.01,4.11,29
Oklahoma,Big 12 (South),22.0,8,4,4.65,6.59,11.24,41.59,5.32,7.81,4.69,4.92,1.77,6.07,3.27,45
UCLA,Pac-10,16.0,10,2,13.68,-2.46,11.22,52.23,18.78,9.52,5.39,5.23,4.4,7.25,4.77,102
TCU,MWC,11.0,11,1,4.83,6.38,11.21,43.26,8.58,7.55,5.02,4.91,2.51,6.01,3.79,47
Louisville,Big East,19.0,9,3,11.63,-0.51,11.12,56.8,13.9,10.79,5.95,5.53,2.62,7.9,4.16,18
Clemson,ACC (Atlantic),21.0,8,4,4.87,6.22,11.09,40.33,6.11,8.85,5.16,5.15,2.86,6.77,3.92,14
Arizona St.,Pac-10,,7,5,11.21,-1.59,9.63,49.41,14.11,10.45,6.68,4.72,3.65,7.67,4.95,96
Florida St.,ACC (Atlantic),23.0,8,5,5.93,3.43,9.36,45.08,9.41,8.74,5.09,4.23,2.2,6.72,3.62,16
Northwestern,Big Ten,,7,5,11.28,-2.01,9.27,47.81,16.65,8.54,5.47,5.78,4.05,7.13,4.79,35
California,Pac-10,25.0,8,4,3.58,5.07,8.64,42.92,7.66,8.19,5.01,6.39,2.65,7.13,3.78,97
Iowa St.,Big 12 (North),,7,5,3.52,4.96,8.48,40.89,7.63,8.96,5.97,3.71,2.2,5.88,4.16,42
Michigan St.,Big Ten,,5,6,6.81,1.52,8.32,47.52,12.49,9.91,5.62,5.69,3.78,7.53,4.64,32
Nebraska,Big 12 (North),24.0,8,4,2.97,4.6,7.57,39.35,7.86,7.59,5.23,3.87,2.69,5.66,3.87,34
Georgia Tech,ACC (Coastal),,7,5,-1.03,8.35,7.31,35.15,6.39,7.42,5.11,4.84,2.27,6.02,3.78,17
Purdue,Big Ten,,5,6,5.31,1.82,7.13,43.82,11.17,7.54,6.28,5.46,2.56,6.41,4.37,38
Colorado,Big 12 (North),,7,6,-1.66,8.26,6.6,37.93,7.68,7.67,5.27,4.3,1.81,6.01,3.66,98
NC State,ACC (Atlantic),,7,5,-1.59,7.32,5.73,36.35,6.34,8.27,4.84,4.36,2.41,6.02,3.51,20
