School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Army,Ind,,6,4,0,-2.25,2.65,0.39,23.01,12.62,,,,,,,65.0
Louisville,MVC,,6,3,1,-3.6,3.97,0.37,22.88,7.13,,,,,,,18.0
Texas Tech,SWC,,4,7,0,-6.1,6.32,0.22,20.9,4.46,,,,,,,49.0
Miami (OH),MAC,,7,3,0,-6.17,6.29,0.13,25.04,7.95,,,,,,,78.0
TCU,SWC,,6,4,1,1.7,-1.59,0.11,29.46,16.92,,,,,,,47.0
Rice,SWC,,3,7,1,-1.46,1.51,0.05,25.61,10.32,,,,,,,59.0
BYU,WAC,,5,6,0,-2.45,2.27,-0.18,25.09,10.02,,,,,,,66.0
Cincinnati,Ind,,7,4,0,-0.98,0.55,-0.43,26.18,13.15,,,,,,,2.0
Wake Forest,ACC,,6,5,0,-2.03,1.28,-0.75,25.0,10.53,,,,,,,26.0
Arizona,WAC,,5,6,0,-2.76,1.82,-0.94,24.16,11.16,,,,,,,95.0
Texas A&M,SWC,,5,6,0,-3.81,2.8,-1.01,23.82,10.07,,,,,,,119.0
Villanova,Ind,,6,4,1,-3.61,2.59,-1.02,25.21,9.08,,,,,,,162.0
Mississippi St.,SEC,,2,9,0,-1.7,0.06,-1.65,24.99,14.22,,,,,,,114.0
Kentucky,SEC,,3,8,0,-1.6,-0.23,-1.83,25.33,13.45,,,,,,,112.0
Wyoming,WAC,,5,6,0,1.58,-3.59,-2.01,27.82,18.89,,,,,,,94.0
SMU,SWC,,4,7,0,-2.4,-0.02,-2.42,24.03,12.02,,,,,,,8.0
Hawaii,Ind,,7,4,0,-0.93,-1.67,-2.6,26.82,15.61,,,,,,,87.0
Bowling Green,MAC,,6,4,0,4.49,-7.11,-2.63,29.87,18.99,,,,,,,73.0
Utah,WAC,,3,8,0,3.44,-6.18,-2.74,29.82,18.37,,,,,,,104.0
Missouri,Big 8,,1,10,0,-5.46,2.67,-2.79,21.41,9.05,,,,,,,115.0
Virginia Tech,Ind,,4,7,0,2.72,-5.78,-3.06,30.1,18.59,,,,,,,25.0
Pittsburgh,Ind,,3,8,0,5.69,-8.89,-3.2,31.9,22.85,,,,,,,22.0
Idaho,Ind,,8,3,0,-4.23,0.8,-3.43,23.61,13.03,,,,,,,133.0
William & Mary,Southern,,5,6,0,2.75,-6.23,-3.47,29.44,17.26,,,,,,,163.0
Columbia,Ivy,,6,3,0,-2.27,-1.23,-3.5,22.06,12.99,,,,,,,166.0
Navy,Ind,,3,8,0,-0.17,-4.14,-4.31,25.36,19.85,,,,,,,7.0
Drake,MVC,,7,4,0,-1.56,-2.89,-4.45,25.95,15.51,,,,,,,220.0
Indiana,Big Ten,,3,8,0,-3.61,-1.01,-4.62,24.11,14.6,,,,,,,28.0
Princeton,Ivy,,4,5,0,-3.24,-1.94,-5.18,25.01,14.84,,,,,,,171.0
Harvard,Ivy,,5,4,0,-1.51,-3.95,-5.46,23.82,16.29,,,,,,,169.0
UTEP,WAC,,5,6,0,-7.0,1.22,-5.78,19.65,12.7,,,,,,,62.0
Pacific,PCAA,,3,8,0,-3.4,-2.72,-6.11,21.96,13.37,,,,,,,376.0
Citadel,Southern,,8,3,0,7.09,-13.39,-6.31,33.37,25.67,,,,,,,228.0
New Mexico State,Ind,,5,5,1,-2.97,-3.38,-6.35,22.77,16.89,,,,,,,69.0
Fresno St.,PCAA,,6,5,0,-5.6,-0.77,-6.37,21.65,12.45,,,,,,,86.0
Maryland,ACC,,2,9,0,1.2,-7.69,-6.49,29.4,19.82,,,,,,,30.0
Northern Illinois,Ind,,5,5,1,-3.19,-3.59,-6.78,22.26,16.71,,,,,,,79.0
Tulsa,MVC,,4,7,0,-2.05,-4.92,-6.97,24.57,20.24,,,,,,,12.0
Virginia,ACC,,3,8,0,-4.85,-2.53,-7.37,20.73,17.09,,,,,,,24.0
Yale,Ivy,,4,5,0,-6.77,-1.75,-8.52,19.76,13.76,,,,,,,172.0
Richmond,Southern,,5,6,0,-9.62,1.05,-8.57,16.47,11.4,,,,,,,159.0
Colorado St.,WAC,,3,8,0,-4.63,-4.25,-8.87,21.74,19.74,,,,,,,85.0
Colgate,Ind,,6,4,0,2.91,-11.89,-8.99,30.47,24.72,,,,,,,211.0
Iowa,Big Ten,,1,10,0,-4.94,-4.73,-9.67,23.0,20.92,,,,,,,29.0
Dayton,Ind,,5,6,0,-5.61,-4.15,-9.75,20.62,17.3,,,,,,,219.0
Holy Cross,Ind,,4,6,0,-3.57,-6.79,-10.36,22.74,20.7,,,,,,,214.0
California-Santa Barbara,PCAA,,3,8,0,-6.78,-3.74,-10.52,19.98,21.88,,,,,,,
NC State,ACC,,3,8,0,-5.74,-5.06,-10.79,20.73,17.71,,,,,,,20.0
Rutgers,Ind,,4,7,0,-5.92,-5.9,-11.82,19.64,19.24,,,,,,,39.0
Kent State,MAC,,3,8,0,-4.32,-8.21,-12.53,21.5,22.24,,,,,,,77.0
East Carolina,Southern,,4,6,0,-4.98,-8.19,-13.16,21.59,23.81,,,,,,,4.0
Chattanooga,Ind,,2,9,0,-3.7,-9.54,-13.24,22.85,24.55,,,,,,,227.0
Baylor,SWC,,1,9,0,-9.77,-3.86,-13.64,17.14,16.19,,,,,,,41.0
Furman,Southern,,5,5,1,-9.34,-4.86,-14.2,17.75,17.6,,,,,,,230.0
