School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Notre Dame,Ind,1.0,12,0,0,12.25,12.1,24.35,49.59,-2.56,,,,,,,70.0
Miami (FL),Ind,2.0,11,1,0,9.0,15.08,24.08,49.07,-5.77,,,,,,,19.0
USC,Pac-10,7.0,10,2,0,11.39,10.81,22.2,49.05,-0.24,,,,,,,103.0
Florida St.,Ind,3.0,11,1,0,11.8,8.69,20.49,52.68,2.91,,,,,,,16.0
West Virginia,Ind,5.0,11,1,0,13.94,5.13,19.06,53.68,6.06,,,,,,,50.0
Michigan,Big Ten,4.0,9,2,1,7.95,10.09,18.04,45.74,-0.13,,,,,,,31.0
UCLA,Pac-10,6.0,10,2,0,8.32,9.62,17.94,47.15,1.15,,,,,,,102.0
Auburn,SEC,8.0,10,2,0,0.69,15.91,16.61,38.95,-5.12,,,,,,,109.0
Clemson,ACC,9.0,10,2,0,6.75,9.76,16.5,41.29,1.34,,,,,,,14.0
Syracuse,Ind,13.0,10,2,0,5.92,8.69,14.61,41.56,2.34,,,,,,,23.0
Oklahoma St.,Big 8,11.0,10,2,0,20.88,-6.85,14.03,57.6,18.07,,,,,,,46.0
Washington St.,Pac-10,16.0,9,3,0,14.93,-1.08,13.85,50.46,11.82,,,,,,,106.0
Nebraska,Big 8,10.0,11,2,0,6.59,6.95,13.55,46.78,4.65,,,,,,,34.0
Houston,SWC,18.0,9,3,0,9.32,4.2,13.51,49.67,6.7,,,,,,,5.0
Oklahoma,Big 8,14.0,9,3,0,1.42,11.51,12.93,37.65,-0.82,,,,,,,45.0
Wyoming,WAC,,11,2,0,7.34,4.61,11.94,45.52,9.86,,,,,,,94.0
Alabama,SEC,17.0,9,3,0,5.93,5.62,11.55,40.8,5.33,,,,,,,107.0
Georgia,SEC,15.0,9,3,0,9.48,1.7,11.19,44.23,9.4,,,,,,,111.0
Arkansas,SWC,12.0,10,2,0,4.43,6.52,10.95,41.2,3.98,,,,,,,108.0
LSU,SEC,19.0,8,4,0,3.0,7.9,10.91,36.78,3.98,,,,,,,113.0
Indiana,Big Ten,20.0,8,3,1,9.7,1.19,10.9,45.98,10.49,,,,,,,28.0
Arizona,Pac-10,,7,4,0,4.15,6.05,10.2,40.85,4.96,,,,,,,95.0
Michigan St.,Big Ten,,6,5,1,-0.9,10.65,9.75,36.28,0.18,,,,,,,32.0
Pittsburgh,Ind,,6,5,0,1.22,7.66,8.88,41.18,2.76,,,,,,,22.0
Washington,Pac-10,,6,5,0,5.55,2.76,8.31,37.72,5.97,,,,,,,105.0
Stanford,Pac-10,,3,6,2,1.72,6.26,7.98,36.4,3.78,,,,,,,101.0
Southern Miss,Ind,,10,2,0,7.8,-0.24,7.56,40.04,13.75,,,,,,,60.0
NC State,ACC,,8,3,1,-1.24,8.71,7.48,37.0,3.04,,,,,,,20.0
Penn State,Ind,,5,6,0,-0.35,7.73,7.38,34.97,2.4,,,,,,,37.0
Colorado,Big 8,,8,4,0,0.66,6.44,7.1,36.08,4.21,,,,,,,98.0
Iowa,Big Ten,,6,4,3,4.13,2.45,6.58,37.64,8.45,,,,,,,29.0
Texas A&M,SWC,,7,5,0,1.13,5.06,6.19,36.33,6.72,,,,,,,119.0
BYU,WAC,,9,4,0,3.35,1.97,5.32,39.79,10.65,,,,,,,66.0
