School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Nebraska,Big 8,7.0,10,2,0,11.96,13.79,25.74,51.79,-3.18,,,,,,,34.0
Pittsburgh,Ind,2.0,11,1,0,12.46,12.0,24.46,44.57,-1.02,,,,,,,22.0
Alabama,SEC,6.0,10,2,0,9.13,14.68,23.8,41.38,-3.38,,,,,,,107.0
Florida St.,Ind,5.0,10,2,0,9.71,14.07,23.78,44.46,-4.03,,,,,,,16.0
Oklahoma,Big 8,3.0,10,2,0,14.87,6.33,21.2,46.35,3.87,,,,,,,45.0
USC,Pac-10,11.0,8,2,1,6.93,12.89,19.82,36.79,-2.07,,,,,,,103.0
Michigan,Big Ten,4.0,10,2,0,7.83,11.96,19.79,35.85,-1.01,,,,,,,31.0
Penn State,Ind,8.0,10,2,0,8.82,10.96,19.78,39.95,-0.95,,,,,,,37.0
Georgia,SEC,1.0,12,0,0,8.47,11.01,19.48,38.77,0.28,,,,,,,111.0
North Carolina,ACC,10.0,11,1,0,5.89,12.8,18.69,35.05,0.44,,,,,,,21.0
UCLA,Pac-10,13.0,9,2,0,7.03,11.48,18.52,36.74,0.14,,,,,,,102.0
BYU,WAC,12.0,12,1,0,16.93,1.53,18.46,51.18,12.03,,,,,,,66.0
Notre Dame,Ind,9.0,9,2,1,5.35,12.94,18.29,33.48,-1.04,,,,,,,70.0
Ohio St.,Big Ten,15.0,9,3,0,9.15,7.59,16.74,42.82,4.71,,,,,,,36.0
Baylor,SWC,14.0,10,2,0,6.42,9.74,16.16,36.41,3.34,,,,,,,41.0
Missouri,Big 8,,8,4,0,7.22,8.54,15.76,37.57,2.41,,,,,,,115.0
SMU,SWC,20.0,8,4,0,8.36,6.78,15.14,36.53,4.45,,,,,,,8.0
Miami (FL),Ind,18.0,9,3,0,6.19,8.07,14.27,35.42,3.26,,,,,,,19.0
Florida,SEC,,8,4,0,5.87,7.85,13.72,34.54,3.13,,,,,,,110.0
Oregon,Pac-10,,6,3,2,6.53,6.52,13.05,33.94,4.61,,,,,,,99.0
Arizona St.,Pac-10,,7,4,0,9.83,3.14,12.97,39.14,8.13,,,,,,,96.0
Mississippi St.,SEC,19.0,9,3,0,10.33,2.59,12.92,36.99,8.47,,,,,,,114.0
Purdue,Big Ten,17.0,9,3,0,10.03,2.61,12.64,37.83,9.98,,,,,,,38.0
South Carolina,Ind,,8,4,0,6.54,5.96,12.49,40.55,6.01,,,,,,,117.0
Washington,Pac-10,16.0,9,3,0,6.33,6.1,12.43,36.77,6.29,,,,,,,105.0
Maryland,ACC,,8,4,0,1.33,10.57,11.9,29.29,1.63,,,,,,,30.0
Houston,SWC,,7,5,0,2.79,8.49,11.28,31.89,3.87,,,,,,,5.0
Texas,SWC,,7,5,0,6.07,4.99,11.06,33.9,6.83,,,,,,,48.0
LSU,SEC,,7,4,0,4.06,6.72,10.78,31.23,4.65,,,,,,,113.0
Tennessee,SEC,,5,6,0,4.31,5.86,10.16,35.96,4.14,,,,,,,118.0
Southern Miss,Ind,,9,3,0,2.96,6.9,9.86,31.33,6.82,,,,,,,60.0
Stanford,Pac-10,,6,5,0,10.41,-0.84,9.57,39.55,12.43,,,,,,,101.0
Iowa St.,Big 8,,6,5,0,0.63,8.01,8.64,31.42,5.05,,,,,,,42.0
Arkansas,SWC,,7,5,0,6.5,1.97,8.47,33.73,10.44,,,,,,,108.0
Kansas,Big 8,,4,5,2,0.3,7.84,8.14,28.91,4.91,,,,,,,43.0
Auburn,SEC,,5,6,0,4.46,3.05,7.5,34.16,9.64,,,,,,,109.0
Tulane,Ind,,7,5,0,6.12,0.76,6.88,32.45,11.19,,,,,,,11.0
Clemson,ACC,,6,5,0,5.15,1.42,6.57,32.38,9.76,,,,,,,14.0
Virginia Tech,Ind,,8,4,0,-1.42,7.9,6.48,27.7,3.97,,,,,,,25.0
Navy,Ind,,8,4,0,-1.14,7.38,6.23,27.54,6.32,,,,,,,7.0
Wake Forest,ACC,,5,6,0,6.29,-0.4,5.89,34.1,10.18,,,,,,,26.0
Rice,SWC,,5,6,0,1.3,4.22,5.53,28.43,8.43,,,,,,,59.0
Rutgers,Ind,,7,4,0,2.15,3.2,5.36,30.78,9.03,,,,,,,39.0
Syracuse,Ind,,5,6,0,2.12,3.21,5.33,29.45,8.72,,,,,,,23.0
Texas Tech,SWC,,5,6,0,-0.3,5.39,5.08,26.15,7.33,,,,,,,49.0
Boston College,Ind,,7,4,0,0.91,3.89,4.8,27.22,8.78,,,,,,,13.0
NC State,ACC,,6,5,0,1.73,3.01,4.74,30.88,8.82,,,,,,,20.0
Ole Miss,SEC,,3,8,0,6.55,-1.85,4.7,37.05,12.58,,,,,,,116.0
West Virginia,Ind,,6,6,0,8.77,-4.12,4.65,36.05,15.82,,,,,,,50.0
Tulsa,MVC,,8,3,0,1.75,2.6,4.36,28.12,12.21,,,,,,,12.0
Indiana,Big Ten,,6,5,0,3.08,1.15,4.24,30.26,11.6,,,,,,,28.0
Texas A&M,SWC,,4,7,0,0.46,3.71,4.17,27.96,10.6,,,,,,,119.0
UNLV,Ind,,7,4,0,5.68,-1.68,4.0,38.28,16.71,,,,,,,92.0
Washington St.,Pac-10,,4,7,0,5.98,-2.34,3.64,33.26,13.75,,,,,,,106.0
Minnesota,Big Ten,,5,6,0,1.8,1.78,3.58,28.6,12.62,,,,,,,33.0
McNeese State,Southland,,10,2,0,1.08,2.33,3.41,28.28,10.37,,,,,,,241.0
Louisville,Ind,,5,6,0,-0.76,3.66,2.9,26.18,9.8,,,,,,,18.0
North Texas,Ind,,6,5,0,4.62,-2.58,2.05,30.4,14.93,,,,,,,57.0
Wyoming,WAC,,6,5,0,4.35,-2.36,1.99,30.72,15.68,,,,,,,94.0
Furman,Southern,,9,1,1,3.02,-1.15,1.87,30.09,13.42,,,,,,,230.0
Michigan St.,Big Ten,,3,8,0,2.91,-1.15,1.76,30.54,15.35,,,,,,,32.0
Iowa,Big Ten,,4,7,0,-5.29,6.74,1.45,23.01,9.42,,,,,,,29.0
Oklahoma St.,Big 8,,3,7,1,-0.36,1.72,1.36,28.19,12.06,,,,,,,46.0
Wisconsin,Big Ten,,4,7,0,-4.49,5.69,1.2,22.11,7.07,,,,,,,40.0
San Jose St.,PCAA,,7,4,0,5.66,-4.49,1.17,32.32,16.44,,,,,,,91.0
Arizona,Pac-10,,5,6,0,3.38,-2.25,1.13,29.6,15.09,,,,,,,95.0
Illinois,Big Ten,,3,7,1,5.04,-4.44,0.6,31.52,18.46,,,,,,,27.0
Kentucky,SEC,,3,8,0,-0.14,0.73,0.59,27.83,12.72,,,,,,,112.0
Drake,MVC,,8,3,0,-0.07,0.33,0.27,27.18,13.01,,,,,,,220.0
Citadel,Southern,,7,4,0,-0.36,0.52,0.15,28.82,10.85,,,,,,,228.0
