School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Miami (FL),Big East,1.0,12,0,9.65,16.52,26.17,58.57,-3.83,9.95,3.58,6.63,1.98,8.25,2.54,19
Florida,SEC (East),3.0,10,2,11.19,12.19,23.38,59.78,1.04,11.01,3.72,5.54,1.97,8.84,2.73,110
Tennessee,SEC (East),4.0,11,2,10.03,9.19,19.22,48.85,3.51,10.0,4.65,5.5,1.24,7.53,2.87,118
Texas,Big 12 (South),5.0,11,2,8.59,10.07,18.67,52.76,2.89,9.05,3.36,5.13,1.92,7.04,2.48,48
Oregon,Pac-10,2.0,11,1,9.08,7.83,16.92,47.41,6.4,9.65,5.01,6.39,2.37,7.85,3.83,99
Nebraska,Big 12 (North),8.0,11,2,7.72,8.76,16.48,51.61,3.64,9.89,3.92,6.92,2.27,7.77,3.01,34
Oklahoma,Big 12 (South),6.0,11,2,3.61,11.78,15.39,45.02,0.24,7.81,4.31,4.76,1.55,6.5,2.78,45
LSU,SEC (West),7.0,10,3,6.86,7.47,14.33,45.8,6.37,10.31,5.36,5.24,2.38,7.71,3.88,113
Syracuse,Big East,14.0,10,3,3.56,9.98,13.54,43.01,4.25,9.53,4.71,5.27,3.3,6.69,3.81,23
Colorado,Big 12 (North),9.0,10,3,9.95,3.49,13.44,48.28,8.91,9.99,4.69,6.01,2.52,7.56,3.61,98
Florida St.,ACC,15.0,8,4,9.71,3.08,12.79,50.35,8.93,11.06,5.0,5.61,2.37,8.02,3.51,16
Illinois,Big Ten,12.0,10,2,9.52,3.19,12.71,47.24,10.67,9.42,4.34,4.79,2.85,6.97,3.51,27
Michigan,Big Ten,20.0,8,4,4.25,8.4,12.65,42.32,4.72,8.27,3.81,4.81,1.59,6.5,2.64,31
South Carolina,SEC (East),13.0,9,3,3.48,8.88,12.36,40.95,4.92,8.13,4.31,5.93,2.55,6.85,3.16,117
UCLA,Pac-10,,7,4,4.42,7.9,12.32,43.16,5.74,10.08,3.91,5.31,2.27,7.19,3.03,102
Virginia Tech,Big East,18.0,8,4,2.59,9.57,12.16,45.89,3.06,8.4,3.87,5.36,1.2,6.68,2.34,25
Stanford,Pac-10,16.0,9,3,12.28,-0.14,12.13,49.17,13.86,10.04,4.79,5.61,2.41,7.41,3.76,101
Washington St.,Pac-10,10.0,10,2,7.5,4.59,12.09,44.76,9.46,9.92,4.66,4.55,2.96,7.08,3.8,106
Georgia,SEC (East),22.0,8,4,3.46,8.06,11.51,41.13,5.04,9.92,4.96,5.26,1.86,7.49,3.31,111
Maryland,ACC,11.0,10,2,6.15,4.63,10.78,47.41,9.2,8.52,5.03,5.73,1.76,7.0,3.28,30
Boston College,Big East,21.0,8,4,4.5,5.78,10.27,42.18,6.88,8.64,4.92,6.46,2.23,7.47,3.25,13
Iowa,Big Ten,,7,5,5.21,4.75,9.96,46.99,7.44,10.08,5.09,5.31,1.87,7.38,3.12,29
Fresno St.,WAC,,11,3,9.01,0.9,9.9,48.69,13.5,10.18,5.22,4.83,2.14,7.58,3.58,86
Alabama,SEC (West),,7,5,3.58,6.07,9.66,42.01,6.3,9.56,5.96,6.43,2.06,7.71,3.91,107
Kansas St.,Big 12 (North),,6,6,-0.34,9.97,9.63,43.24,2.26,8.08,4.19,5.68,1.73,6.64,2.8,44
USC,Pac-10,,6,6,-0.34,9.25,8.92,38.57,2.93,9.1,4.16,4.03,2.54,6.45,3.17,103
Ohio St.,Big Ten,,7,5,2.92,5.64,8.56,40.63,6.99,9.6,5.05,5.26,2.33,6.85,3.45,36
Texas Tech,Big 12 (South),,7,5,7.13,1.44,8.56,49.34,10.69,8.42,4.53,4.99,3.26,7.33,3.78,49
Louisville,CUSA,17.0,11,2,-0.12,8.61,8.49,37.82,5.53,8.84,5.04,3.95,2.59,6.41,3.49,18
Arkansas,SEC (West),,7,5,5.25,3.16,8.4,41.75,9.81,7.85,5.21,5.4,2.72,6.33,3.74,108
BYU,MWC,25.0,12,2,14.02,-6.06,7.96,53.22,21.04,9.65,6.06,6.41,4.12,8.15,4.79,66
