School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Florida,SEC (East),1.0,12,1,15.69,7.91,23.6,61.83,4.47,,,,,,,110
Ohio St.,Big Ten,2.0,11,1,6.61,15.84,22.45,51.91,-3.3,,,,,,,36
Nebraska,Big 12 (North),6.0,11,2,6.35,15.87,22.22,55.65,-3.1,,,,,,,34
Florida St.,ACC,3.0,11,1,9.2,12.34,21.54,50.92,0.58,,,,,,,16
Arizona St.,Pac-10,4.0,11,1,12.7,7.22,19.92,53.93,4.17,,,,,,,96
North Carolina,ACC,10.0,10,2,3.94,13.62,17.55,42.64,0.11,,,,,,,21
Colorado,Big 12 (North),8.0,10,2,7.66,9.5,17.16,43.44,2.1,,,,,,,98
Syracuse,Big East,21.0,9,3,9.4,7.59,16.99,47.36,6.88,,,,,,,23
Penn State,Big Ten,7.0,11,2,6.51,10.47,16.97,44.75,2.92,,,,,,,37
Tennessee,SEC (East),9.0,10,2,7.56,8.56,16.12,49.57,5.25,,,,,,,118
Notre Dame,Ind,19.0,8,3,7.59,8.48,16.07,50.09,4.17,,,,,,,70
Washington,Pac-10,16.0,9,3,7.85,7.17,15.02,46.38,5.64,,,,,,,105
Virginia Tech,Big East,13.0,10,2,6.21,7.64,13.84,41.91,6.62,,,,,,,25
BYU,WAC (Mountain),5.0,14,1,9.43,4.22,13.65,46.48,10.42,,,,,,,66
Iowa,Big Ten,18.0,9,3,6.18,7.48,13.65,41.46,5.72,,,,,,,29
Kansas St.,Big 12 (North),17.0,9,3,1.5,11.63,13.13,40.04,1.34,,,,,,,44
Michigan,Big Ten,20.0,8,4,1.29,11.75,13.03,37.56,0.64,,,,,,,31
Alabama,SEC (West),11.0,10,3,3.41,9.1,12.51,38.02,3.41,,,,,,,107
Miami (FL),Big East,14.0,9,3,4.73,6.47,11.2,42.72,7.72,,,,,,,19
Virginia,ACC,,7,5,2.85,8.19,11.03,40.4,5.19,,,,,,,24
Texas,Big 12 (South),23.0,8,5,8.92,1.73,10.65,48.3,9.19,,,,,,,48
LSU,SEC (West),12.0,10,2,2.78,7.48,10.25,40.29,7.95,,,,,,,113
Auburn,SEC (West),24.0,8,4,7.73,1.93,9.66,45.87,12.85,,,,,,,109
Texas Tech,Big 12 (South),,7,5,2.2,7.3,9.5,39.37,4.91,,,,,,,49
Southern Miss,CUSA,,8,3,4.75,4.48,9.23,39.15,11.75,,,,,,,60
Wisconsin,Big Ten,,8,5,3.64,5.36,8.99,40.08,8.22,,,,,,,40
West Virginia,Big East,,8,4,-1.57,10.45,8.88,33.19,3.52,,,,,,,50
Northwestern,Big Ten,15.0,9,3,7.78,0.97,8.75,40.72,12.25,,,,,,,35
Michigan St.,Big Ten,,6,6,7.18,1.48,8.66,45.7,13.81,,,,,,,32
Army,Ind,25.0,10,2,6.54,1.96,8.49,39.93,11.7,,,,,,,65
USC,Pac-10,,6,6,2.47,5.76,8.23,40.63,6.17,,,,,,,103
East Carolina,Ind,,8,3,5.19,2.98,8.17,39.46,10.88,,,,,,,4
UCLA,Pac-10,,5,6,7.07,-0.96,6.12,44.94,13.39,,,,,,,102
Stanford,Pac-10,,7,5,-3.77,9.82,6.05,31.63,3.71,,,,,,,101
Wyoming,WAC (Pacific),22.0,10,2,6.92,-1.0,5.92,43.19,15.48,,,,,,,94
Texas A&M,Big 12 (South),,6,6,0.61,5.04,5.65,40.02,8.84,,,,,,,119
Air Force,WAC (Pacific),,6,5,2.17,3.08,5.24,38.69,10.04,,,,,,,83
South Carolina,SEC (East),,6,5,2.05,3.09,5.14,36.57,9.42,,,,,,,117
Georgia,SEC (East),,5,6,1.72,3.11,4.83,36.03,10.35,,,,,,,111
Arizona,Pac-10,,5,6,2.32,2.48,4.8,39.59,10.95,,,,,,,95
Oregon,Pac-10,,6,5,9.96,-5.51,4.46,45.85,17.94,,,,,,,99
Navy,Ind,,9,3,7.52,-3.35,4.17,41.64,17.76,,,,,,,7
Rice,WAC (Mountain),,7,4,2.19,1.69,3.88,39.11,18.66,,,,,,,59
San Diego St.,WAC (Pacific),,8,3,7.87,-4.1,3.76,42.86,18.77,,,,,,,90
Houston,CUSA,,7,5,8.76,-5.08,3.68,42.81,18.85,,,,,,,5
Clemson,ACC,,7,5,-2.3,5.21,2.9,31.96,9.84,,,,,,,14
Colorado St.,WAC (Pacific),,7,5,4.73,-1.86,2.87,38.93,17.56,,,,,,,85
Georgia Tech,ACC,,5,6,-2.35,4.13,1.78,31.85,10.9,,,,,,,17
Nevada,Big West,,9,3,4.16,-2.67,1.49,42.91,18.18,,,,,,,88
Washington St.,Pac-10,,5,6,3.96,-2.54,1.41,39.82,15.91,,,,,,,106
California,Pac-10,,6,6,7.99,-6.75,1.23,42.47,19.44,,,,,,,97
Cincinnati,CUSA,,6,5,-1.72,2.77,1.05,32.07,12.6,,,,,,,2
Kansas,Big 12 (North),,4,7,4.1,-3.24,0.87,41.01,18.64,,,,,,,43
Mississippi St.,SEC (West),,5,6,-1.55,2.31,0.76,34.84,12.68,,,,,,,114
Louisville,CUSA,,5,6,-4.71,4.97,0.27,28.69,8.93,,,,,,,18
Utah,WAC (Mountain),,8,4,1.31,-1.14,0.17,34.76,17.36,,,,,,,104
Minnesota,Big Ten,,4,7,2.66,-2.7,-0.04,36.34,17.92,,,,,,,33
Purdue,Big Ten,,3,8,-1.26,1.17,-0.09,33.81,13.52,,,,,,,38
Indiana,Big Ten,,3,8,1.78,-2.28,-0.5,36.91,14.59,,,,,,,28
Arkansas,SEC (West),,4,7,-5.22,4.44,-0.78,28.77,10.86,,,,,,,108
Missouri,Big 12 (North),,5,6,5.1,-6.22,-1.12,40.2,21.2,,,,,,,115
Boston College,Big East,,5,7,2.18,-4.25,-2.07,34.07,19.86,,,,,,,13
Baylor,Big 12 (South),,4,7,-0.67,-1.43,-2.1,35.04,15.58,,,,,,,41
New Mexico,WAC (Mountain),,6,5,2.71,-4.9,-2.19,35.84,19.25,,,,,,,89
Tulane,CUSA,,2,9,-2.58,0.2,-2.38,31.95,13.48,,,,,,,11
SMU,WAC (Mountain),,5,6,-3.66,1.19,-2.48,30.21,14.56,,,,,,,8
Memphis,CUSA,,4,7,-8.94,6.09,-2.85,24.68,7.36,,,,,,,6
Ole Miss,SEC (West),,5,6,-3.66,0.73,-2.93,30.34,15.63,,,,,,,116
Miami (OH),MAC,,6,5,-6.79,3.77,-3.03,29.98,11.8,,,,,,,78
Kentucky,SEC (East),,4,7,-6.02,2.71,-3.31,29.01,16.59,,,,,,,112
Iowa St.,Big 12 (North),,2,9,7.18,-10.54,-3.36,42.25,22.3,,,,,,,42
Ball St.,MAC,,8,4,-5.54,2.13,-3.41,28.33,12.28,,,,,,,72
Vanderbilt,SEC (East),,2,9,-8.72,5.3,-3.42,25.96,8.5,,,,,,,120
Oklahoma St.,Big 12 (South),,5,6,-3.08,-0.41,-3.5,31.43,17.28,,,,,,,46
Maryland,ACC,,5,6,-7.28,3.57,-3.71,28.37,13.3,,,,,,,30
Pittsburgh,Big East,,4,7,-3.51,-0.43,-3.94,30.83,25.76,,,,,,,22
NC State,ACC,,3,8,4.84,-9.09,-4.25,39.46,26.48,,,,,,,20
Illinois,Big Ten,,2,9,-3.13,-1.38,-4.52,32.77,20.33,,,,,,,27
Utah St.,Big West,,6,5,2.52,-7.44,-4.92,36.42,23.76,,,,,,,93
Oklahoma,Big 12 (South),,3,8,2.1,-7.19,-5.1,36.66,22.13,,,,,,,45
Louisiana,Ind,,5,6,3.9,-9.24,-5.34,37.9,25.46,,,,,,,126
Ohio,MAC,,6,6,-4.11,-1.99,-6.09,31.12,17.27,,,,,,,80
Louisiana Tech,Ind,,6,5,2.36,-8.6,-6.24,36.54,25.66,,,,,,,54
Fresno St.,WAC (Pacific),,4,7,-4.85,-3.0,-7.85,28.64,21.35,,,,,,,86
Tulsa,WAC (Mountain),,4,7,-2.5,-5.41,-7.92,30.96,21.1,,,,,,,12
