School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
USC,Pac-10,2.0,11,0,1,13.78,10.17,23.95,44.5,0.67,,,,,,,103.0
Alabama,SEC,1.0,12,0,0,7.03,15.68,22.7,42.18,-4.83,,,,,,,107.0
Oklahoma,Big 8,3.0,11,1,0,13.18,9.37,22.54,44.78,1.6,,,,,,,45.0
Ohio St.,Big Ten,4.0,11,1,0,8.07,13.64,21.71,41.17,-2.94,,,,,,,36.0
Arkansas,SWC,8.0,10,2,0,9.71,10.79,20.5,37.39,-0.41,,,,,,,108.0
Texas,SWC,12.0,9,3,0,5.26,14.6,19.86,32.97,-4.73,,,,,,,48.0
Nebraska,Big 8,9.0,10,2,0,9.03,10.63,19.67,41.87,-0.24,,,,,,,34.0
Houston,SWC,5.0,11,1,0,7.55,11.61,19.16,37.98,-1.1,,,,,,,5.0
Pittsburgh,Ind,7.0,11,1,0,5.52,12.75,18.27,34.0,-1.55,,,,,,,22.0
BYU,WAC,13.0,11,1,0,12.86,5.27,18.13,47.14,5.69,,,,,,,66.0
North Carolina,ACC,15.0,8,3,1,8.46,7.99,16.45,37.1,1.93,,,,,,,21.0
Florida St.,Ind,6.0,11,1,0,9.01,7.06,16.08,39.3,3.32,,,,,,,16.0
Washington,Pac-10,11.0,9,3,0,6.35,9.55,15.9,37.44,1.36,,,,,,,105.0
Texas A&M,SWC,,6,5,0,8.04,7.61,15.65,36.23,1.46,,,,,,,119.0
Penn State,Ind,20.0,8,4,0,5.74,9.84,15.58,33.94,1.27,,,,,,,37.0
Michigan,Big Ten,18.0,8,4,0,5.92,9.44,15.36,36.0,0.28,,,,,,,31.0
Temple,Ind,17.0,10,2,0,11.99,2.8,14.79,41.34,7.62,,,,,,,10.0
LSU,SEC,,7,5,0,4.71,9.68,14.38,35.15,-0.22,,,,,,,113.0
Clemson,ACC,,8,4,0,0.39,13.89,14.28,29.01,-3.47,,,,,,,14.0
Baylor,SWC,14.0,8,4,0,5.85,8.21,14.06,35.82,3.79,,,,,,,41.0
NC State,ACC,,7,4,0,9.77,4.12,13.89,36.85,5.41,,,,,,,20.0
