School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Alabama,SEC (West),1.0,14,1,9.34,14.38,23.72,56.01,-3.79,9.84,3.87,6.33,1.16,7.65,2.7,107
Ohio St.,Big Ten (East),4.0,12,1,6.45,14.28,20.73,52.8,-2.61,9.59,3.88,6.88,2.07,7.76,3.07,36
Clemson,ACC (Atlantic),2.0,14,1,12.53,6.35,18.88,59.12,3.34,10.49,4.31,6.38,2.0,8.07,3.19,14
Stanford,Pac-12 (North),3.0,12,2,12.14,6.67,18.81,56.49,3.59,11.37,4.77,6.47,2.91,8.08,3.96,101
Oklahoma,Big 12,5.0,11,2,8.23,9.6,17.84,59.24,1.53,10.92,3.91,6.13,2.69,8.12,3.3,45
Michigan,Big Ten (East),12.0,10,3,4.17,12.17,16.34,50.42,-0.45,9.57,3.72,5.72,2.28,7.28,3.13,31
Michigan St.,Big Ten (East),6.0,12,2,4.5,10.87,15.36,47.73,1.25,9.43,4.87,5.24,2.04,6.87,3.77,32
LSU,SEC (West),16.0,9,3,6.61,8.44,15.04,50.76,2.24,9.83,3.92,7.28,2.31,8.13,3.26,113
Ole Miss,SEC (West),10.0,10,3,8.16,6.25,14.42,58.84,5.06,10.87,4.33,6.55,2.17,8.63,3.43,116
Notre Dame,Ind,11.0,10,3,10.99,3.33,14.33,56.56,6.66,10.93,4.74,7.35,3.16,8.76,4.17,70
Tennessee,SEC (East),22.0,9,4,9.07,4.87,13.94,54.89,5.33,9.03,4.73,6.18,3.07,7.2,3.98,118
Florida St.,ACC (Atlantic),14.0,10,3,4.84,8.75,13.59,50.27,1.65,9.68,3.93,6.63,2.65,8.01,3.44,16
Mississippi St.,SEC (West),,9,4,8.45,5.14,13.59,53.37,5.4,10.33,4.71,5.91,2.92,8.13,3.75,114
Baylor,Big 12,13.0,10,3,12.69,0.39,13.08,60.81,10.82,11.03,4.99,6.63,2.84,8.22,3.85,41
Arkansas,SEC (West),,8,5,11.32,1.47,12.79,55.22,9.24,11.48,6.49,6.4,2.44,8.43,4.65,108
North Carolina,ACC (Coastal),15.0,11,3,10.46,2.27,12.73,57.28,8.48,10.74,4.32,7.14,4.08,8.61,4.27,21
Houston,American (West),8.0,13,1,8.01,4.31,12.32,53.7,7.71,9.43,6.07,5.79,2.42,7.11,4.53,5
USC,Pac-12 (South),,8,6,4.68,6.85,11.53,52.08,3.33,10.13,5.25,5.81,2.36,7.64,3.86,103
TCU,Big 12,7.0,11,2,8.94,2.46,11.39,54.96,8.4,10.34,4.36,5.78,3.07,7.89,3.73,47
Utah,Pac-12 (South),17.0,10,3,3.23,8.16,11.39,47.92,2.06,8.63,4.81,5.61,1.81,6.66,3.53,104
