School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
USC,Pac-8,1.0,12,0,0,16.77,13.56,30.33,50.05,-0.53,,,,,,,103.0
Oklahoma,Big 8,2.0,11,1,0,8.47,18.27,26.74,45.51,-7.71,,,,,,,45.0
Alabama,SEC,7.0,10,2,0,16.2,9.41,25.6,49.03,2.37,,,,,,,107.0
Nebraska,Big 8,4.0,9,2,1,9.1,16.47,25.57,52.89,-5.74,,,,,,,34.0
Texas,SWC,3.0,10,1,0,9.36,14.36,23.72,38.99,-3.06,,,,,,,48.0
Michigan,Big Ten,6.0,10,1,0,4.19,16.77,20.96,33.93,-4.17,,,,,,,31.0
Tennessee,SEC,8.0,10,2,0,6.16,14.37,20.53,36.2,-2.18,,,,,,,118.0
Auburn,SEC,5.0,10,1,0,6.95,12.21,19.16,33.84,-0.23,,,,,,,109.0
LSU,SEC,11.0,9,2,1,7.95,11.18,19.14,34.98,1.03,,,,,,,113.0
Notre Dame,Ind,14.0,8,3,0,10.56,6.32,16.88,38.8,4.8,,,,,,,70.0
Florida,SEC,,5,5,1,5.14,11.72,16.86,34.66,-0.34,,,,,,,110.0
Penn State,Ind,10.0,10,2,0,9.66,7.06,16.72,38.36,5.14,,,,,,,37.0
Ohio St.,Big Ten,9.0,9,2,0,8.74,7.72,16.46,35.64,5.36,,,,,,,36.0
UCLA,Pac-8,15.0,8,3,0,14.32,2.02,16.34,43.94,9.17,,,,,,,102.0
NC State,ACC,17.0,8,3,1,14.81,0.0,14.81,42.47,12.94,,,,,,,20.0
Georgia,SEC,,7,4,0,4.32,10.26,14.58,31.06,1.36,,,,,,,111.0
North Carolina,ACC,12.0,11,1,0,11.54,2.85,14.38,36.63,10.47,,,,,,,21.0
Colorado,Big 8,16.0,8,4,0,7.3,5.93,13.23,37.25,4.09,,,,,,,98.0
Oklahoma St.,Big 8,,6,5,0,7.5,4.85,12.35,36.26,4.81,,,,,,,46.0
Georgia Tech,Ind,20.0,7,4,1,9.33,2.73,12.06,37.11,10.44,,,,,,,17.0
Baylor,SWC,,5,6,0,1.92,10.12,12.04,30.68,2.03,,,,,,,41.0
Purdue,Big Ten,,6,5,0,4.29,7.49,11.78,32.76,4.58,,,,,,,38.0
SMU,SWC,,7,4,0,3.68,8.08,11.76,34.36,4.36,,,,,,,8.0
Texas Tech,SWC,,8,4,0,4.83,6.89,11.72,32.82,5.72,,,,,,,49.0
Ole Miss,SEC,,5,5,0,4.29,6.68,10.97,32.65,4.44,,,,,,,116.0
Arizona St.,WAC,13.0,10,2,0,17.58,-6.74,10.84,49.62,19.7,,,,,,,96.0
Michigan St.,Big Ten,,5,5,1,-0.85,11.6,10.76,26.43,2.18,,,,,,,32.0
Stanford,Pac-8,,6,5,0,4.59,5.8,10.39,32.71,5.89,,,,,,,101.0
Miami (FL),Ind,,5,6,0,2.85,7.04,9.89,31.46,4.48,,,,,,,19.0
Washington,Pac-8,,8,3,0,4.04,5.7,9.73,29.94,7.16,,,,,,,105.0
Washington St.,Pac-8,19.0,7,4,0,6.37,3.24,9.61,32.61,11.1,,,,,,,106.0
Iowa St.,Big 8,,5,6,1,6.57,2.71,9.27,35.73,7.18,,,,,,,42.0
Yale,Ivy,,7,2,0,7.49,1.69,9.18,36.58,10.81,,,,,,,172.0
Arkansas,SWC,,6,5,0,6.43,2.2,8.63,32.95,9.17,,,,,,,108.0
Rice,SWC,,5,5,1,5.23,3.16,8.39,31.48,9.68,,,,,,,59.0
Missouri,Big 8,,6,6,0,4.74,3.19,7.93,30.93,9.27,,,,,,,115.0
Tulane,Ind,,6,5,0,-0.43,8.04,7.6,28.69,5.14,,,,,,,11.0
West Virginia,Ind,,8,4,0,12.88,-5.34,7.55,41.52,19.14,,,,,,,50.0
Florida St.,Ind,,7,4,0,7.0,0.51,7.51,34.41,11.76,,,,,,,16.0
San Diego St.,PCAA,,10,1,0,2.09,5.26,7.35,28.82,9.65,,,,,,,90.0
Dartmouth,Ivy,,7,1,1,6.65,0.66,7.3,35.33,12.61,,,,,,,168.0
Virginia Tech,Ind,,6,4,1,7.63,-1.64,5.99,35.5,14.28,,,,,,,25.0
Houston,Ind,,6,4,1,4.22,1.76,5.98,33.86,10.2,,,,,,,5.0
Louisville,MVC,18.0,9,1,0,2.15,3.76,5.91,33.25,9.92,,,,,,,18.0
Oregon,Pac-8,,4,7,0,1.94,3.79,5.73,29.11,13.34,,,,,,,99.0
TCU,SWC,,5,6,0,4.05,1.51,5.56,31.23,12.22,,,,,,,47.0
Tampa,Ind,,10,2,0,1.03,3.93,4.95,29.95,8.7,,,,,,,
Utah St.,Ind,,8,3,0,5.0,-0.24,4.75,33.03,15.35,,,,,,,93.0
Mississippi St.,SEC,,4,7,0,2.08,2.34,4.43,30.49,12.2,,,,,,,114.0
