School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
USC,Pac-10,4.0,11,2,12.93,11.26,24.19,55.14,-0.97,9.73,4.1,5.24,1.75,7.47,2.97,103
Miami (FL),Big East,2.0,12,1,14.02,6.33,20.35,57.06,5.96,9.83,3.26,6.5,2.77,8.15,2.93,19
Oklahoma,Big 12 (South),5.0,12,2,6.67,12.36,19.02,53.09,-0.27,8.07,4.93,5.55,2.13,6.68,3.21,45
Georgia,SEC (East),3.0,13,1,6.94,11.23,18.18,48.73,1.58,9.05,5.11,4.74,1.82,6.79,3.22,111
Ohio St.,Big Ten,1.0,14,0,2.02,16.11,18.13,42.29,-3.47,9.97,5.02,5.19,1.14,6.81,3.11,36
Texas,Big 12 (South),6.0,11,2,7.4,9.92,17.32,49.48,0.59,9.38,4.16,4.5,2.96,6.8,3.38,48
Kansas St.,Big 12 (North),7.0,11,2,2.95,13.55,16.49,56.24,-1.79,10.27,4.59,5.97,1.26,7.2,2.71,44
Iowa,Big Ten,8.0,11,2,7.19,8.76,15.94,49.84,3.9,9.8,5.38,6.02,1.35,7.48,3.47,29
Alabama,SEC (West),11.0,10,3,5.61,10.2,15.8,46.15,1.79,9.54,5.08,5.65,1.44,7.15,3.13,107
Florida St.,ACC,21.0,9,5,8.99,5.87,14.86,48.6,5.77,8.63,5.74,6.02,2.71,7.22,4.06,16
Penn State,Big Ten,16.0,9,4,4.78,9.81,14.59,48.88,2.22,8.3,4.66,6.79,1.73,7.48,3.07,37
Washington St.,Pac-10,10.0,10,3,8.63,4.84,13.47,48.15,7.05,9.18,4.75,5.08,2.03,7.31,3.32,106
Michigan,Big Ten,9.0,10,3,6.91,6.52,13.44,46.39,5.29,8.06,5.29,5.44,2.27,6.7,3.65,31
NC State,ACC,12.0,11,3,5.18,7.68,12.86,45.55,5.01,8.47,4.71,4.86,2.37,6.63,3.36,20
Maryland,ACC,13.0,11,3,2.72,10.0,12.73,45.75,4.44,9.08,5.69,5.69,2.47,6.98,3.84,30
Auburn,SEC (West),14.0,9,4,3.6,8.77,12.36,45.66,2.93,9.28,4.49,5.98,2.77,7.2,3.47,109
Boise St.,WAC,15.0,12,1,5.89,6.39,12.28,50.34,9.14,9.77,5.13,5.19,2.73,7.25,3.68,84
Colorado,Big 12 (North),20.0,9,5,5.62,6.16,11.77,44.64,4.62,7.49,4.62,6.16,3.19,6.72,3.71,98
Virginia Tech,Big East,18.0,10,4,3.68,7.48,11.16,45.03,4.92,9.61,5.84,5.57,2.42,6.92,3.9,25
Notre Dame,Ind,17.0,10,3,-0.59,11.48,10.89,38.68,0.91,7.94,4.63,4.65,1.6,6.03,3.14,70
Arkansas,SEC (West),,9,5,4.6,5.73,10.33,44.38,6.09,7.89,5.6,6.2,2.22,6.87,3.79,108
California,Pac-10,,7,5,10.1,0.22,10.32,50.02,10.81,8.22,6.04,4.44,2.4,6.52,3.99,97
Pittsburgh,Big East,19.0,9,4,1.79,8.2,9.99,40.03,3.49,8.76,4.72,4.61,2.13,6.38,3.27,22
Texas Tech,Big 12 (South),,9,5,12.38,-2.86,9.53,55.35,16.25,8.48,5.94,4.87,3.32,7.34,4.39,49
Oregon St.,Pac-10,,8,5,2.82,6.62,9.45,46.04,6.16,8.33,4.42,5.14,2.11,6.79,3.0,100
Boston College,Big East,,9,4,3.14,6.09,9.22,43.35,6.24,8.21,5.11,5.41,2.86,6.79,3.78,13
UCLA,Pac-10,,8,5,5.04,3.93,8.97,45.87,8.43,9.5,5.6,4.53,2.79,6.69,3.79,102
Virginia,ACC,22.0,9,5,6.7,1.9,8.6,45.63,10.48,8.31,5.71,4.87,3.18,6.61,4.2,24
Florida,SEC (East),,8,5,2.08,6.5,8.58,43.12,5.83,8.32,4.41,4.94,2.72,6.81,3.37,110
Wisconsin,Big Ten,,8,6,4.95,3.6,8.55,42.57,8.16,8.43,5.92,5.4,2.67,6.43,4.09,40
Washington,Pac-10,,7,6,5.35,3.01,8.36,44.84,9.16,8.23,5.97,3.3,2.2,6.27,3.78,105
LSU,SEC (West),,8,5,0.38,7.97,8.35,41.25,4.42,7.41,4.09,5.72,2.91,6.44,3.31,113
Purdue,Big Ten,,7,6,4.57,3.02,7.59,43.85,8.79,8.5,5.0,5.6,2.35,6.9,3.57,38
Tennessee,SEC (East),,8,5,-1.66,9.06,7.41,38.16,3.13,8.65,4.51,4.89,2.25,6.54,3.1,118
West Virginia,Big East,25.0,9,4,2.93,4.37,7.3,44.65,8.86,7.37,5.44,6.2,2.56,6.62,3.93,50
South Florida,Ind,,9,2,0.57,6.55,7.11,42.34,7.68,7.25,5.5,4.43,1.31,5.99,3.31,9
Texas A&M,Big 12 (South),,6,6,2.94,3.46,6.4,42.22,8.0,8.41,5.07,4.32,2.53,6.52,3.49,119
Iowa St.,Big 12 (North),,7,7,3.17,3.0,6.17,45.63,10.72,8.58,4.88,4.86,2.94,6.61,3.71,42
TCU,CUSA,23.0,10,2,2.16,3.74,5.9,39.83,9.98,7.51,4.77,4.69,1.3,5.91,2.89,47
Colorado St.,MWC,,10,4,4.23,1.19,5.42,42.09,12.39,8.18,5.78,5.75,3.53,6.8,4.3,85
Arizona St.,Pac-10,,8,6,6.39,-1.01,5.38,47.56,13.18,8.77,5.5,3.88,2.74,6.62,3.83,96
Minnesota,Big Ten,,8,5,3.25,1.77,5.02,42.11,11.79,7.99,5.19,5.78,3.2,6.63,3.96,33
Oklahoma St.,Big 12 (South),,8,5,7.05,-2.24,4.81,47.76,13.67,8.52,5.74,5.24,2.74,7.05,4.02,46
