School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
USC,Pac-10,4.0,11,2,9.19,11.17,20.36,46.98,-1.86,8.74,5.12,5.43,1.71,7.2,3.36,103
Louisville,Big East,6.0,12,1,13.21,6.73,19.94,51.81,3.25,10.81,5.56,6.13,2.45,8.25,4.06,18
Florida,SEC (East),1.0,13,1,7.58,12.08,19.66,46.4,-2.58,9.65,4.06,5.8,1.54,7.7,2.81,110
LSU,SEC (West),3.0,11,2,6.91,11.94,18.86,49.13,-1.47,10.0,4.23,5.92,2.2,7.9,2.96,113
Ohio St.,Big Ten,2.0,12,1,7.4,11.36,18.76,48.01,-0.42,9.04,4.93,6.0,2.09,7.24,3.46,36
West Virginia,Big East,10.0,11,2,15.22,1.58,16.8,52.88,8.77,10.02,6.29,7.75,1.99,8.46,4.19,50
Michigan,Big Ten,8.0,11,2,7.41,9.25,16.66,43.16,1.16,8.43,4.93,5.33,0.77,6.59,3.2,31
California,Pac-10,14.0,10,3,11.2,5.16,16.36,47.98,4.71,8.91,6.53,6.12,2.82,7.59,4.52,97
BYU,MWC,16.0,11,2,9.25,5.96,15.21,49.39,4.42,10.12,5.5,5.08,3.09,7.85,4.25,66
Boise St.,WAC,5.0,13,0,10.21,4.44,14.65,48.19,6.51,9.0,5.77,5.67,2.49,7.02,3.92,84
Tennessee,SEC (East),25.0,9,4,7.82,6.34,14.15,44.27,2.66,9.4,5.47,4.79,2.62,7.36,3.7,118
Auburn,SEC (West),9.0,11,2,3.65,9.86,13.51,39.96,-0.13,9.17,5.3,5.23,2.72,6.87,3.67,109
Arkansas,SEC (West),15.0,10,4,7.46,5.66,13.12,45.56,4.84,8.16,4.59,7.08,2.51,7.65,3.43,108
Rutgers,Big East,12.0,11,2,3.92,8.96,12.88,42.46,1.2,8.25,5.35,5.7,1.57,6.68,3.17,39
Oklahoma,Big 12 (South),11.0,11,3,5.49,7.27,12.75,43.71,1.04,8.73,5.02,5.51,2.07,6.81,3.41,45
