School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
USC,Pac-10,1.0,13,0,11.18,14.88,26.06,56.25,-2.63,10.48,3.45,5.97,1.86,7.87,2.87,103
Utah,MWC,4.0,12,0,16.73,5.03,21.76,57.61,9.69,10.88,4.8,6.18,3.34,7.95,4.13,104
California,Pac-10,9.0,10,2,9.23,12.03,21.26,51.88,0.82,10.69,4.78,6.96,1.92,8.38,3.56,97
Oklahoma,Big 12 (South),3.0,12,1,8.0,13.24,21.23,49.13,0.35,9.63,4.8,5.99,1.91,7.38,3.46,45
Auburn,SEC (West),2.0,13,0,6.69,13.18,19.86,45.91,0.17,11.69,4.78,5.26,2.21,7.53,3.6,109
Texas,Big 12 (South),5.0,11,1,9.01,10.26,19.27,48.76,3.42,8.58,5.08,6.83,2.18,7.3,3.75,48
Miami (FL),ACC,11.0,9,3,8.34,9.69,18.03,48.73,1.99,9.54,4.47,5.07,2.48,7.04,3.44,19
Louisville,CUSA,6.0,11,1,10.61,6.6,17.21,57.21,7.63,10.3,4.86,6.34,2.17,7.87,3.54,18
Arizona St.,Pac-10,19.0,9,3,8.95,6.32,15.28,48.13,7.53,9.84,4.25,4.71,2.75,7.18,3.6,96
Florida St.,ACC,15.0,9,3,2.33,12.67,15.0,39.91,0.33,7.92,4.78,5.25,1.24,6.42,3.08,16
Iowa,Big Ten,8.0,10,2,4.43,9.96,14.39,40.79,4.32,9.49,4.36,3.05,1.86,5.93,3.32,29
Virginia Tech,ACC,10.0,10,3,1.42,12.68,14.1,45.56,-0.57,9.14,4.26,5.13,2.23,6.58,3.18,25
Boise St.,WAC,12.0,11,1,13.62,0.43,14.04,56.09,12.96,10.3,5.67,5.05,2.73,7.02,4.37,84
Virginia,ACC,23.0,8,4,4.72,8.85,13.57,44.93,4.85,9.19,5.75,6.21,2.62,7.23,4.11,24
Texas Tech,Big 12 (South),18.0,8,4,11.01,1.87,12.88,50.83,11.37,8.72,4.06,5.16,3.06,7.44,3.69,49
Georgia,SEC (East),7.0,10,2,4.02,8.64,12.66,43.07,4.67,9.89,4.99,5.07,2.12,7.05,3.55,111
Michigan,Big Ten,14.0,9,3,8.92,3.31,12.24,45.6,9.59,8.32,4.98,4.92,2.76,6.24,3.89,31
Texas A&M,Big 12 (South),,7,5,5.7,6.37,12.07,43.52,7.0,9.96,4.84,5.76,2.41,7.57,3.75,119
LSU,SEC (West),16.0,9,3,3.79,8.11,11.89,44.14,5.42,9.4,3.88,5.73,2.21,7.08,3.09,113
Oregon St.,Pac-10,,7,5,7.25,4.56,11.8,45.32,8.26,9.18,3.41,3.85,2.39,6.68,3.07,100
Tennessee,SEC (East),13.0,10,3,8.75,2.94,11.69,45.11,10.12,9.25,5.23,5.79,2.4,7.1,4.03,118
Ohio St.,Big Ten,20.0,8,4,2.71,8.6,11.31,39.65,5.15,8.64,4.31,4.99,2.77,6.37,3.72,36
Purdue,Big Ten,,7,5,3.98,6.95,10.93,46.08,5.67,9.6,5.43,4.48,2.62,6.99,4.26,38
Oklahoma St.,Big 12 (South),,7,5,7.46,2.18,9.64,47.01,11.48,10.34,5.63,5.74,3.6,6.91,4.6,46
UCLA,Pac-10,,6,6,9.61,0.01,9.61,46.91,11.38,9.65,4.61,5.99,4.31,7.45,4.55,102
