School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Alabama,SEC (West),2.0,14,1,8.01,17.62,25.62,58.39,-6.83,9.76,3.62,7.42,0.07,8.2,2.06,107
Clemson,ACC (Atlantic),1.0,14,1,9.4,10.68,20.08,59.54,-0.13,10.18,3.54,6.35,2.1,8.07,3.09,14
Washington,Pac-12 (North),4.0,12,2,7.59,12.39,19.98,56.98,0.69,10.71,4.1,6.5,2.2,8.15,3.19,105
Ohio St.,Big Ten (East),6.0,11,2,3.69,15.13,18.82,58.54,-4.03,8.92,3.37,7.15,2.02,7.7,2.85,36
Michigan,Big Ten (East),10.0,10,3,4.71,12.85,17.56,59.79,-2.59,9.7,3.87,6.52,1.76,7.67,2.81,31
USC,Pac-12 (South),3.0,10,3,7.71,9.56,17.27,52.37,4.42,10.11,4.59,6.88,2.47,8.22,3.66,103
LSU,SEC (West),13.0,8,4,2.68,13.25,15.93,47.48,-3.92,9.69,4.37,7.84,1.43,8.42,2.95,113
Penn State,Big Ten (East),7.0,11,3,11.63,4.09,15.72,57.14,7.96,11.59,4.67,6.35,2.38,8.4,3.66,37
Wisconsin,Big Ten (West),9.0,11,3,2.13,13.17,15.3,48.3,-1.66,10.03,4.7,6.0,1.85,7.21,3.46,40
Florida St.,ACC (Atlantic),8.0,10,3,9.49,5.52,15.01,54.26,6.02,10.36,5.07,6.9,2.19,8.28,3.64,16
Oklahoma,Big 12,5.0,11,2,14.64,0.34,14.98,61.69,10.26,12.86,5.18,6.73,3.3,9.16,4.33,45
Miami (FL),ACC (Coastal),20.0,9,4,3.39,9.96,13.36,50.75,2.68,10.02,4.12,6.05,1.93,7.86,3.2,19
Stanford,Pac-12 (North),12.0,10,3,0.01,12.54,12.54,42.7,1.09,8.71,4.72,6.53,2.61,7.26,3.69,101
Colorado,Pac-12 (South),17.0,10,4,2.32,9.86,12.18,48.18,3.08,9.51,3.66,5.44,2.62,7.04,3.23,98
Western Michigan,MAC (West),15.0,13,1,7.61,4.42,12.03,53.94,10.27,10.76,5.96,6.22,3.68,7.77,4.86,82
Auburn,SEC (West),24.0,8,5,-1.04,13.02,11.97,49.58,-1.17,9.69,4.33,7.03,2.03,7.73,3.35,109
Louisville,ACC (Atlantic),21.0,9,4,8.81,3.06,11.87,60.74,9.1,10.44,5.06,7.89,1.89,8.82,3.46,18
Oklahoma St.,Big 12,11.0,10,3,8.39,2.77,11.16,53.5,8.84,10.96,5.5,5.7,3.46,8.15,4.35,46
Virginia Tech,ACC (Coastal),16.0,10,4,4.26,6.74,11.0,50.43,5.47,9.85,4.22,5.39,2.4,7.06,3.38,25
Florida,SEC (East),14.0,9,4,-2.62,13.6,10.98,43.18,0.07,8.93,3.92,5.28,2.13,6.86,2.99,110
Tennessee,SEC (East),22.0,9,4,11.58,-0.99,10.59,56.37,14.41,10.46,5.37,6.91,3.55,8.24,4.49,118
West Virginia,Big 12,18.0,10,3,4.01,5.56,9.57,46.83,5.94,10.0,4.91,6.37,3.05,7.84,3.94,50
Washington St.,Pac-12 (North),,8,5,5.7,3.33,9.03,52.9,9.91,9.11,6.09,5.6,2.89,7.54,4.67,106
Temple,American (East),,10,4,2.0,6.96,8.97,45.82,5.62,9.93,4.68,5.61,2.41,7.23,3.54,10
Appalachian St.,Sun Belt,,10,3,-0.86,9.68,8.83,39.47,5.48,8.31,4.42,6.91,3.04,7.29,3.91,121
Texas A&M,SEC (West),,8,5,5.4,3.37,8.77,52.91,8.21,8.98,5.27,7.31,2.79,7.95,4.02,119
