School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Clemson,ACC (Atlantic),1.0,15,0,9.41,17.04,26.45,61.9,-5.8,10.0,4.36,7.97,1.35,8.73,2.88,14
Alabama,SEC (West),2.0,14,1,12.19,13.1,25.29,64.54,-3.29,12.98,4.01,6.82,1.67,9.35,2.94,107
Georgia,SEC (East),7.0,11,3,9.53,11.17,20.69,57.85,-1.14,10.97,3.46,7.46,2.73,8.7,3.29,111
Oklahoma,Big 12,4.0,12,2,21.41,-3.35,18.06,68.7,13.55,13.26,5.99,8.1,2.95,10.19,4.64,45
Ohio St.,Big Ten (East),3.0,13,1,15.24,2.5,17.74,62.53,8.99,11.12,5.42,5.69,3.29,8.21,4.51,36
Notre Dame,Ind,5.0,12,1,5.57,11.84,17.4,50.14,-0.14,9.8,3.78,5.73,2.59,7.35,3.32,70
Michigan,Big Ten (East),14.0,10,3,5.92,10.56,16.47,54.84,0.39,10.03,4.0,6.27,2.45,7.61,3.19,31
LSU,SEC (West),6.0,10,3,8.4,6.81,15.2,52.79,2.34,9.73,3.78,5.63,2.17,7.19,3.11,113
Central Florida,American (East),11.0,12,1,10.24,4.29,14.53,54.72,8.41,9.73,5.61,6.75,3.5,7.8,4.54,1
Florida,SEC (East),7.0,10,3,5.91,7.75,13.66,54.6,3.01,9.67,4.14,6.78,3.0,7.86,3.58,110
Texas A&M,SEC (West),16.0,9,4,10.78,2.82,13.61,57.57,5.61,9.48,5.91,7.07,1.65,8.02,4.01,119
Mississippi St.,SEC (West),,8,5,-2.98,16.22,13.24,48.69,-6.24,9.01,3.4,7.25,1.39,7.83,2.52,114
Iowa,Big Ten (West),25.0,9,4,3.6,9.53,13.14,49.89,0.99,8.94,4.44,5.33,1.73,6.83,3.15,29
Missouri,SEC (East),,8,5,9.51,3.63,13.14,56.47,5.8,10.18,5.53,6.19,2.03,7.85,3.93,115
West Virginia,Big 12,20.0,8,4,10.45,2.14,12.6,57.94,8.46,11.24,5.94,5.82,2.93,8.4,4.44,50
Fresno St.,MWC (West),18.0,12,2,-0.04,12.36,12.32,47.52,0.07,9.5,4.78,5.27,2.94,7.17,3.84,86
Penn State,Big Ten (East),17.0,9,4,5.05,7.27,12.32,54.17,3.07,9.43,4.39,6.55,2.35,7.65,3.37,37
Washington St.,Pac-12 (North),10.0,11,2,10.05,2.14,12.19,54.03,10.41,9.11,5.6,4.82,3.54,7.63,4.48,106
Syracuse,ACC (Atlantic),15.0,10,3,10.39,1.75,12.14,54.29,10.12,8.64,5.81,5.35,3.06,6.67,4.5,23
Kentucky,SEC (East),12.0,10,3,0.57,11.49,12.06,46.1,-1.67,9.27,4.61,6.4,2.62,7.34,3.63,112
Washington,Pac-12 (North),13.0,10,4,-0.2,11.62,11.42,43.76,-0.9,10.21,3.96,5.57,2.64,7.49,3.28,105
Texas,Big 12,9.0,10,4,5.83,5.33,11.15,49.92,4.4,9.54,4.83,5.05,2.18,6.96,3.68,48
Auburn,SEC (West),,8,5,0.59,10.17,10.76,50.71,-0.41,9.78,4.49,5.88,2.35,7.38,3.47,109
Utah,Pac-12 (South),,9,5,1.68,8.23,9.91,46.43,4.3,9.28,4.63,5.91,2.18,7.28,3.37,104
Appalachian St.,Sun Belt (East),,11,2,0.09,9.68,9.76,48.68,4.0,8.52,4.28,6.56,2.48,7.21,3.52,121
Utah St.,MWC (Mountain),22.0,11,2,7.51,2.08,9.58,59.21,11.16,8.98,5.91,6.5,3.13,7.63,4.43,93
Boise St.,MWC (Mountain),23.0,10,3,5.61,3.09,8.69,51.66,7.88,9.38,6.63,5.26,2.72,7.13,4.7,84
Iowa St.,Big 12,,8,5,1.25,6.53,7.78,44.33,3.75,10.47,4.97,4.85,2.26,7.17,3.6,42
Stanford,Pac-12 (North),,9,4,3.5,4.21,7.71,46.08,7.81,10.42,5.7,4.75,2.98,7.62,4.36,101
Wisconsin,Big Ten (West),,8,5,3.5,4.17,7.68,48.37,6.32,8.73,5.54,7.54,3.24,7.9,4.39,40
Northwestern,Big Ten (West),21.0,9,5,2.41,5.1,7.51,44.67,5.18,8.64,5.68,4.47,2.44,6.34,4.21,35
South Carolina,SEC (East),,7,6,5.42,1.92,7.34,50.45,7.95,10.01,4.85,5.87,2.95,7.75,3.9,117
Army,Ind,19.0,11,2,-3.18,10.45,7.27,42.26,2.52,11.57,5.92,5.56,3.02,6.12,4.57,65
Cincinnati,American (East),24.0,11,2,-2.43,9.58,7.15,45.57,3.86,8.54,4.91,5.82,2.25,6.75,3.7,2
Virginia,ACC (Coastal),,8,5,-0.26,7.38,7.11,42.18,3.42,9.1,4.89,5.24,2.95,6.72,3.97,24
Purdue,Big Ten (West),,6,7,5.72,1.32,7.04,51.38,10.67,9.85,5.91,5.93,3.05,7.86,4.58,38
Oklahoma St.,Big 12,,7,6,10.15,-3.33,6.82,55.69,13.58,9.61,5.48,6.13,3.57,7.66,4.55,46
NC State,ACC (Atlantic),,9,4,2.18,4.62,6.8,48.37,9.38,9.49,6.29,5.07,3.11,7.14,4.89,20
Oregon,Pac-12 (North),,9,4,5.25,1.42,6.67,50.05,11.76,9.43,5.39,5.46,3.23,7.18,4.16,99
Miami (FL),ACC (Coastal),,7,6,-3.13,9.7,6.58,44.79,2.57,7.81,3.92,6.2,2.25,6.75,3.05,19
Duke,ACC (Coastal),,8,5,2.82,3.54,6.37,47.35,10.32,8.52,4.48,5.52,3.62,6.82,4.32,15
Vanderbilt,SEC (East),,6,7,3.5,2.75,6.25,47.46,7.79,9.69,5.44,6.4,3.61,7.85,4.53,120
Michigan St.,Big Ten (East),,7,6,-5.9,11.91,6.01,37.35,-2.84,7.65,4.53,4.73,1.17,6.09,3.11,32
Pittsburgh,ACC (Coastal),,7,7,1.25,4.45,5.7,44.57,8.16,8.28,5.33,6.88,3.38,7.29,4.42,22
Arizona St.,Pac-12 (South),,7,6,5.2,0.17,5.37,48.35,11.63,9.44,5.73,6.19,3.7,7.57,4.59,96
Minnesota,Big Ten (West),,7,6,0.93,4.35,5.28,46.03,7.32,9.41,5.05,5.43,3.68,6.89,4.45,33
Texas Tech,Big 12,,5,7,5.12,-0.03,5.09,53.24,11.05,9.54,5.63,4.72,2.75,7.17,4.23,49
Boston College,ACC (Atlantic),,7,5,2.04,2.57,4.61,46.35,7.8,9.17,5.15,5.19,2.77,6.57,3.93,13
Ohio,MAC (East),,9,4,6.67,-2.16,4.51,52.37,13.84,9.78,6.84,6.98,3.84,7.93,5.5,80
TCU,Big 12,,7,6,-4.55,8.43,3.88,40.42,3.15,8.43,4.19,5.36,2.58,6.59,3.32,47
Georgia Southern,Sun Belt (East),,10,3,0.2,3.6,3.8,41.52,9.71,9.76,6.15,6.13,3.07,6.69,4.55,124
Nebraska,Big Ten (West),,4,8,5.53,-2.04,3.48,49.23,14.03,9.1,5.16,6.93,3.9,7.77,4.56,34
Baylor,Big 12,,7,6,3.71,-0.47,3.25,46.93,13.81,9.38,5.74,5.63,4.4,7.3,5.13,41
BYU,Ind,,7,6,-2.17,5.24,3.07,40.95,6.12,8.61,4.44,5.27,2.74,6.68,3.57,66
Troy,Sun Belt (East),,10,3,-1.62,4.67,3.05,41.25,9.21,8.28,6.03,5.22,2.2,6.46,4.07,129
Maryland,Big Ten (East),,5,7,2.87,0.01,2.88,47.85,10.52,9.17,5.82,7.1,3.31,7.71,4.38,30
Ole Miss,SEC (West),,5,7,7.0,-4.19,2.81,53.33,17.32,11.26,5.97,6.44,3.72,8.77,4.76,116
Georgia Tech,ACC (Coastal),,7,6,4.43,-1.66,2.76,49.96,13.35,10.56,6.11,6.54,3.19,7.32,4.64,17
Indiana,Big Ten (East),,5,7,3.9,-1.46,2.44,47.43,11.7,8.6,6.16,5.82,3.36,7.09,4.69,28
Wake Forest,ACC (Atlantic),,7,6,4.56,-2.15,2.41,49.04,17.12,8.41,5.6,5.76,3.58,6.67,4.7,26
Memphis,American (West),,8,6,7.75,-5.48,2.27,52.53,17.9,8.91,6.24,6.97,3.0,7.62,4.68,6
USC,Pac-12 (South),,5,7,0.55,1.68,2.22,42.74,9.79,9.35,4.84,5.22,3.37,7.21,4.01,103
UAB,CUSA (West),,11,3,-3.8,5.79,1.99,42.51,7.8,9.24,5.59,5.61,3.02,6.71,4.28,61
Temple,American (East),,8,5,2.3,-0.52,1.78,46.73,13.0,8.58,4.43,4.85,2.88,6.49,3.77,10
California,Pac-12 (North),,7,6,-5.72,7.39,1.67,37.0,5.34,7.6,4.11,5.19,2.81,6.27,3.27,97
Buffalo,MAC (East),,10,4,3.52,-1.95,1.57,48.22,15.06,9.0,5.92,5.48,3.54,6.85,4.78,74
Kansas St.,Big 12,,5,7,-2.41,3.81,1.39,40.42,6.96,8.32,4.96,5.74,3.78,6.55,4.49,44
Houston,American (West),,8,5,10.81,-9.64,1.18,55.7,25.21,9.19,6.32,6.28,3.9,7.48,5.23,5
Arkansas St.,Sun Belt (West),,8,5,0.0,0.92,0.92,41.8,13.56,8.64,5.51,5.47,3.62,6.92,4.59,122
Marshall,CUSA (East),,9,4,-1.21,1.9,0.69,39.88,10.89,7.82,5.75,5.26,2.51,6.33,4.19,55
Middle Tennessee,CUSA (East),,8,6,1.28,-0.64,0.65,43.93,13.9,9.04,5.52,4.6,3.24,6.65,4.45,56
North Texas,CUSA (West),,9,4,1.51,-0.93,0.58,44.39,13.7,8.76,6.44,5.04,3.07,6.89,4.86,57
Tennessee,SEC (East),,5,7,-3.21,3.59,0.39,43.55,8.31,9.93,5.17,5.23,2.7,7.07,3.93,118
Virginia Tech,ACC (Coastal),,6,7,3.51,-3.88,-0.37,47.05,16.07,9.62,6.25,5.69,4.39,7.3,5.37,25
Florida Intl,CUSA (East),,9,4,0.32,-0.85,-0.53,45.11,14.24,9.08,5.96,5.58,4.4,7.03,5.1,53
Arizona,Pac-12 (South),,5,7,2.69,-3.27,-0.57,45.68,16.64,9.71,5.8,5.87,3.32,7.56,4.48,95
Toledo,MAC (West),,7,6,7.26,-7.95,-0.7,53.86,19.24,8.9,6.38,6.14,4.04,7.28,5.24,81
Miami (OH),MAC (East),,6,6,1.18,-1.9,-0.73,42.93,12.45,7.97,5.56,5.36,3.22,6.44,4.52,78
Tulane,American (West),,7,6,-2.86,2.0,-0.86,38.14,12.1,9.08,6.02,5.69,2.78,6.7,4.54,11
Eastern Michigan,MAC (West),,7,6,-1.3,0.14,-1.16,40.62,10.85,8.7,4.55,4.87,3.88,6.47,4.42,76
Colorado,Pac-12 (South),,5,7,-1.51,0.34,-1.17,41.73,12.42,8.85,5.3,4.58,2.77,6.62,3.87,98
Nevada,MWC (West),,8,5,-1.31,-0.32,-1.62,42.65,13.1,8.08,5.69,5.2,2.96,6.64,4.28,88
Florida St.,ACC (Atlantic),,5,7,-1.22,-0.45,-1.67,40.26,13.34,8.97,5.62,4.13,2.28,6.54,4.02,16
Air Force,MWC (Mountain),,5,7,0.47,-2.19,-1.72,43.7,13.31,10.27,7.86,5.66,2.51,6.44,5.2,83
Northern Illinois,MAC (West),,8,6,-5.55,3.63,-1.92,36.16,8.03,7.14,5.99,5.07,1.88,5.8,3.88,79
UCLA,Pac-12 (South),,3,9,1.68,-3.87,-2.19,45.09,15.66,9.29,5.62,5.67,3.46,7.29,4.35,102
Louisiana,Sun Belt (West),,7,7,4.76,-7.23,-2.46,46.24,21.55,9.61,7.39,6.63,3.83,7.67,5.24,126
Florida Atlantic,CUSA (East),,5,7,1.02,-3.75,-2.73,44.08,17.49,8.78,5.95,6.13,3.78,7.0,4.87,52
San Diego St.,MWC (West),,7,6,-7.68,4.36,-3.32,33.64,7.3,8.65,5.94,4.92,2.31,6.19,4.09,90
Wyoming,MWC (Mountain),,6,6,-9.14,5.69,-3.45,32.64,5.92,6.35,4.49,5.8,3.22,5.9,3.79,94
Southern Miss,CUSA (West),,6,5,-4.2,0.02,-4.18,38.86,11.76,7.87,5.01,4.14,2.92,5.89,4.08,60
Arkansas,SEC (West),,2,10,-3.67,-0.96,-4.63,41.14,15.36,8.05,6.27,5.46,2.77,6.48,4.28,108
North Carolina,ACC (Coastal),,2,9,2.63,-7.38,-4.75,44.17,19.69,8.32,6.04,6.44,4.01,7.21,5.01,21
Louisiana Tech,CUSA (West),,8,5,-5.29,0.51,-4.78,37.05,13.01,7.76,5.48,4.84,3.46,6.25,4.44,54
Kansas,Big 12,,3,9,-3.3,-1.56,-4.86,41.02,12.89,7.78,6.41,5.67,3.49,6.52,4.82,43
Western Michigan,MAC (West),,7,6,0.29,-5.22,-4.92,45.57,21.22,9.25,7.8,5.35,3.64,6.86,5.43,82
SMU,American (West),,5,7,2.39,-7.77,-5.38,43.87,20.22,8.2,5.95,4.34,3.03,6.24,4.49,8
