School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Florida,SEC (East),1.0,13,1,11.01,14.36,25.37,60.32,-3.53,10.52,4.22,7.5,2.27,8.63,3.24,110
Oklahoma,Big 12 (South),5.0,12,2,19.85,4.94,24.79,67.28,4.36,10.86,4.65,5.96,2.24,8.25,3.47,45
Texas,Big 12 (South),4.0,12,1,11.93,12.05,23.98,56.73,-1.89,10.36,4.91,5.25,1.84,7.67,3.54,48
USC,Pac-10,3.0,12,1,5.49,16.76,22.24,54.34,-6.99,10.52,3.23,6.26,1.63,8.2,2.3,103
Penn State,Big Ten,8.0,11,2,8.19,9.62,17.82,55.39,0.31,9.86,4.88,6.58,1.54,8.02,3.19,37
Alabama,SEC (West),6.0,12,2,5.57,10.57,16.15,46.87,0.65,8.65,4.51,5.94,1.52,6.95,3.14,107
Texas Tech,Big 12 (South),12.0,11,2,12.6,2.86,15.46,55.96,9.26,8.97,5.25,5.91,2.99,8.02,4.01,49
Ohio St.,Big Ten,9.0,10,3,1.5,12.44,13.94,44.78,-2.17,8.9,3.95,6.17,2.4,7.07,3.19,36
Utah,MWC,2.0,13,0,8.13,5.65,13.79,49.51,6.13,8.59,5.26,5.16,2.19,6.84,3.66,104
TCU,MWC,7.0,11,2,0.4,13.07,13.47,45.64,-1.99,7.8,4.61,5.31,0.89,6.36,2.67,47
Missouri,Big 12 (North),19.0,10,4,9.73,3.39,13.11,56.1,8.39,9.33,5.03,6.29,2.25,8.03,3.73,115
Oklahoma St.,Big 12 (South),16.0,9,4,11.55,1.54,13.09,53.63,8.53,10.95,5.05,6.62,3.14,8.19,4.06,46
Boise St.,WAC,11.0,12,1,2.11,10.72,12.83,46.59,1.55,9.54,4.76,5.18,2.52,7.4,3.43,84
Oregon,Pac-10,10.0,10,3,14.7,-2.32,12.39,58.24,12.47,9.0,5.03,7.24,2.08,8.1,3.55,99
Ole Miss,SEC (West),14.0,9,4,6.42,5.69,12.11,48.28,5.25,9.89,5.72,5.83,1.62,7.44,3.68,116
Georgia,SEC (East),13.0,10,3,10.25,1.35,11.6,49.67,11.22,10.59,5.49,6.06,2.61,8.24,3.98,111
Iowa,Big Ten,20.0,9,4,0.6,10.51,11.11,44.49,-0.34,8.6,4.31,6.12,2.2,7.07,3.33,29
Nebraska,Big 12 (North),,9,4,10.43,0.49,10.92,50.43,11.93,9.9,6.47,5.63,2.88,7.67,4.39,34
Florida St.,ACC (Atlantic),21.0,9,4,6.11,4.56,10.67,49.67,7.46,7.88,5.24,6.09,2.7,6.85,3.9,16
California,Pac-10,,9,4,4.33,6.1,10.43,48.18,4.59,7.83,4.39,6.59,2.23,7.27,3.14,97
Oregon St.,Pac-10,18.0,9,4,5.93,4.33,10.26,47.09,5.77,9.0,5.12,5.56,2.71,7.28,3.65,100
Kansas,Big 12 (North),,8,5,8.38,0.85,9.23,47.31,10.77,8.97,5.15,4.96,3.05,7.09,4.16,43
Arizona,Pac-10,,8,5,7.42,1.79,9.21,50.18,7.64,9.22,4.76,5.02,3.09,7.05,3.78,95
Pittsburgh,Big East,,9,4,4.79,4.08,8.87,43.44,7.29,8.07,5.23,4.94,2.25,6.35,3.63,22
Virginia Tech,ACC (Coastal),15.0,10,4,0.49,7.66,8.14,37.73,3.97,7.37,6.36,5.17,2.25,5.81,4.03,25
Michigan St.,Big Ten,24.0,9,4,2.23,5.7,7.92,41.31,6.17,8.49,5.29,4.68,2.62,6.36,3.88,32
North Carolina,ACC (Coastal),,8,5,5.54,2.36,7.9,44.29,9.21,9.13,5.6,4.88,2.6,6.64,4.06,21
Wake Forest,ACC (Atlantic),,8,5,-0.27,7.71,7.45,38.44,3.33,7.64,4.79,4.46,2.21,5.8,3.54,26
West Virginia,Big East,23.0,9,4,1.67,5.42,7.09,39.37,6.3,7.5,5.32,6.61,2.7,6.95,3.92,50
Tulsa,CUSA (West),,11,3,12.09,-5.03,7.06,55.38,18.5,10.36,7.26,6.03,3.27,7.85,4.93,12
Clemson,ACC (Atlantic),,7,6,0.67,6.3,6.97,40.84,4.8,8.23,4.37,4.71,2.76,6.38,3.57,14
Georgia Tech,ACC (Coastal),22.0,9,4,1.72,5.06,6.78,39.11,7.47,8.95,5.27,6.87,2.77,7.24,4.0,17
Boston College,ACC (Atlantic),,9,5,1.7,5.02,6.72,41.38,6.84,6.71,5.0,5.12,1.86,5.87,3.49,13
Rutgers,Big East,,8,5,1.02,5.33,6.35,42.37,7.36,9.33,7.05,4.97,2.45,7.17,4.41,39
Ball St.,MAC (West),,12,2,3.12,3.14,6.26,42.37,9.79,9.11,5.57,5.41,3.63,7.18,4.5,72
Cincinnati,Big East,17.0,11,3,1.18,4.85,6.03,38.97,7.35,8.29,5.26,4.79,2.23,6.66,3.67,2
LSU,SEC (West),,8,5,6.0,-0.09,5.91,45.57,11.35,8.04,5.39,5.57,2.2,6.67,3.82,113
South Carolina,SEC (East),,7,6,-1.89,7.1,5.21,37.58,5.95,7.69,4.99,4.31,2.32,6.05,3.43,117
BYU,MWC,25.0,10,3,4.87,0.09,4.96,45.84,11.83,9.18,6.15,4.97,3.21,7.38,4.52,66
Miami (FL),ACC (Coastal),,7,6,4.45,0.4,4.85,43.9,10.12,7.46,5.48,5.28,2.92,6.37,4.02,19
Northwestern,Big Ten,,9,4,0.48,4.33,4.82,38.8,6.92,7.37,4.91,4.98,2.48,6.14,3.7,35
Connecticut,Big East,,8,5,0.48,4.2,4.67,39.31,7.6,6.48,4.97,6.33,2.44,6.39,3.57,3
Vanderbilt,SEC (East),,7,6,-1.32,5.79,4.48,36.44,5.01,6.32,5.27,5.12,2.9,5.62,3.86,120
South Florida,Big East,,8,5,0.22,4.23,4.45,40.83,8.65,8.65,6.04,5.29,1.88,6.78,3.74,9
Rice,CUSA (West),,10,3,10.87,-6.95,3.92,51.57,21.08,8.6,6.69,4.75,4.33,6.98,5.23,59
Kentucky,SEC (East),,7,6,-0.85,4.4,3.55,38.16,9.66,6.68,6.07,5.08,2.86,5.87,4.21,112
Navy,Ind,,8,5,3.48,0.05,3.53,42.59,12.23,9.37,7.36,6.46,3.36,6.78,4.96,7
Notre Dame,Ind,,7,6,0.16,2.83,2.99,39.16,8.47,8.3,4.99,4.37,3.04,6.45,4.02,70
Illinois,Big Ten,,5,7,4.23,-1.28,2.96,43.75,11.48,9.53,5.67,5.77,2.54,7.47,3.86,27
Maryland,ACC (Atlantic),,8,5,-1.22,4.18,2.96,36.39,8.84,7.78,5.86,5.6,2.93,6.64,4.28,30
Baylor,Big 12 (South),,4,8,1.92,0.67,2.59,42.27,9.68,8.71,5.34,6.0,2.42,7.02,3.72,41
Air Force,MWC,,8,5,0.48,2.08,2.55,38.17,10.16,8.35,6.17,5.36,2.65,5.86,4.0,83
Nevada,WAC,,7,6,8.96,-6.72,2.25,47.26,21.08,8.15,6.97,6.67,2.47,7.41,4.85,88
Houston,CUSA (West),,8,5,8.88,-6.67,2.21,49.86,18.49,8.82,6.11,5.66,3.37,7.78,4.5,5
Wisconsin,Big Ten,,7,6,2.63,-0.81,1.82,41.96,12.18,8.54,5.14,6.06,2.53,7.01,3.79,40
Tennessee,SEC (East),,5,7,-4.2,5.84,1.64,34.88,4.73,7.16,5.02,4.92,1.67,5.94,3.1,118
Arizona St.,Pac-10,,5,7,-2.27,3.89,1.62,36.41,6.64,8.19,4.68,3.84,2.38,6.17,3.42,96
East Carolina,CUSA (East),,9,5,-1.53,3.12,1.58,35.59,8.95,7.7,5.74,4.21,2.71,5.9,4.0,4
NC State,ACC (Atlantic),,6,7,1.81,-0.4,1.41,40.6,13.02,8.04,6.28,5.13,3.45,6.51,4.86,20
Virginia,ACC (Coastal),,5,7,-4.68,6.08,1.4,34.47,8.53,7.0,5.59,4.88,2.64,6.08,3.92,24
Auburn,SEC (West),,5,7,-5.96,7.22,1.26,32.44,4.94,7.09,4.82,4.82,2.88,5.76,3.8,109
Troy,Sun Belt,,8,5,-0.29,1.35,1.06,42.22,10.71,6.98,4.79,5.5,2.49,6.32,3.53,129
Southern Miss,CUSA (East),,7,6,1.79,-1.33,0.46,42.13,12.67,7.51,5.92,5.44,3.45,6.55,4.5,60
Minnesota,Big Ten,,7,6,-1.34,1.35,0.01,38.06,12.02,8.33,6.55,4.28,2.89,6.27,4.62,33
Stanford,Pac-10,,5,7,2.75,-2.79,-0.04,43.72,12.3,8.39,5.79,6.23,3.52,7.18,4.47,101
Arkansas,SEC (West),,5,7,2.26,-2.62,-0.36,38.8,14.81,8.33,5.63,5.0,3.25,6.77,4.32,108
Duke,ACC (Coastal),,4,8,-1.56,1.18,-0.39,37.13,11.09,7.0,6.91,4.31,2.8,5.65,4.6,15
Buffalo,MAC (East),,8,6,4.0,-4.41,-0.41,41.83,16.01,7.8,6.35,4.61,4.07,6.3,4.95,74
Purdue,Big Ten,,4,8,-1.12,0.58,-0.54,40.51,9.8,7.33,4.83,5.28,3.34,6.39,3.98,38
Western Michigan,MAC (West),,9,4,-0.4,-0.48,-0.87,37.13,12.94,7.7,6.28,4.68,3.17,6.62,4.54,82
Colorado,Big 12 (North),,5,7,-3.95,2.89,-1.07,33.69,10.48,6.79,4.93,4.33,3.14,5.5,3.85,98
Bowling Green,MAC (East),,6,6,-0.7,-1.3,-2.0,38.14,12.63,7.28,5.47,4.6,3.4,6.12,4.16,73
Northern Illinois,MAC (West),,6,7,-6.89,4.15,-2.73,33.89,8.13,7.17,5.44,5.11,3.29,6.0,4.15,79
Central Michigan,MAC (West),,8,5,3.88,-6.63,-2.75,39.85,19.48,8.65,6.96,4.22,3.33,6.54,5.09,75
Temple,MAC (East),,5,7,-4.65,1.27,-3.38,33.91,11.03,7.55,5.76,3.46,2.98,5.46,4.15,10
Kansas St.,Big 12 (North),,5,7,3.41,-6.8,-3.39,44.93,18.44,8.39,5.95,4.66,4.09,6.58,4.75,44
Fresno St.,WAC,,7,6,3.74,-7.26,-3.53,39.61,21.2,8.11,5.8,5.74,5.03,6.89,5.14,86
Louisiana Tech,WAC,,8,5,-2.3,-1.27,-3.56,34.04,15.32,6.88,6.92,5.2,2.62,6.0,4.66,54
Louisville,Big East,,5,7,-0.93,-2.9,-3.83,38.36,18.04,7.4,6.81,5.5,3.16,6.45,4.93,18
Colorado St.,MWC,,7,6,1.01,-4.98,-3.96,37.61,17.72,8.6,6.48,5.2,4.26,6.98,5.17,85
UCLA,Pac-10,,4,8,-4.86,0.88,-3.98,33.39,12.21,7.26,4.56,3.7,3.2,5.67,3.65,102
