School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Penn State,Ind,3.0,10,2,0,14.05,10.97,25.02,45.55,0.04,,,,,,,37.0
Pittsburgh,Ind,4.0,11,1,0,11.39,10.63,22.02,43.12,2.26,,,,,,,22.0
Nebraska,Big 8,11.0,9,3,0,9.39,12.4,21.79,43.34,-1.13,,,,,,,34.0
Georgia,SEC,6.0,10,2,0,9.46,11.98,21.43,42.57,-0.76,,,,,,,111.0
Clemson,ACC,1.0,12,0,0,7.93,13.41,21.34,40.17,-2.33,,,,,,,14.0
SMU,SWC,5.0,10,1,0,10.75,8.7,19.45,41.62,3.68,,,,,,,8.0
Miami (FL),Ind,8.0,9,2,0,8.47,10.33,18.8,35.81,0.9,,,,,,,19.0
Texas,SWC,2.0,10,1,1,5.61,11.83,17.44,33.24,0.74,,,,,,,48.0
Michigan,Big Ten,12.0,9,3,0,8.83,8.45,17.29,37.72,4.14,,,,,,,31.0
Alabama,SEC,7.0,9,2,1,8.56,8.51,17.07,36.04,3.19,,,,,,,107.0
Arizona St.,Pac-10,16.0,9,2,0,12.65,4.05,16.71,43.59,7.52,,,,,,,96.0
North Carolina,ACC,9.0,10,2,0,6.63,9.33,15.97,40.38,2.39,,,,,,,21.0
USC,Pac-10,14.0,9,3,0,6.3,8.87,15.17,34.63,2.47,,,,,,,103.0
West Virginia,Ind,17.0,9,3,0,5.03,9.51,14.54,33.08,1.58,,,,,,,50.0
UCLA,Pac-10,,7,4,1,8.7,5.64,14.35,37.06,5.17,,,,,,,102.0
Oklahoma,Big 8,20.0,7,4,1,8.26,5.54,13.81,39.45,6.08,,,,,,,45.0
Florida,SEC,,7,5,0,5.16,7.75,12.9,35.59,3.44,,,,,,,110.0
Southern Miss,Ind,,9,2,1,4.13,8.73,12.86,35.09,3.43,,,,,,,60.0
