School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Oregon,Pac-12 (North),2.0,13,2,14.36,7.86,22.22,61.16,5.13,11.38,5.12,6.54,3.41,8.56,4.16,99
Ohio St.,Big Ten (East),1.0,14,1,13.44,7.0,20.44,62.75,5.78,10.68,4.47,6.95,2.63,8.35,3.54,36
Alabama,SEC (West),4.0,12,2,9.46,10.88,20.34,57.12,-0.11,10.69,4.53,6.32,1.98,8.2,3.43,107
TCU,Big 12,3.0,12,1,11.2,7.76,18.96,61.91,4.27,9.49,5.34,6.19,1.98,7.86,3.53,47
Georgia,SEC (East),9.0,10,3,10.88,7.96,18.84,59.13,3.93,9.81,4.13,7.27,3.15,8.24,3.64,111
Ole Miss,SEC (West),17.0,9,4,0.87,15.93,16.8,47.62,-4.36,9.75,4.21,5.6,2.21,7.49,3.16,116
Michigan St.,Big Ten (East),5.0,11,2,9.76,6.31,16.07,56.98,6.56,9.99,5.25,6.13,2.04,7.71,3.88,32
Georgia Tech,ACC (Coastal),8.0,11,3,13.44,2.48,15.92,55.23,9.17,10.92,6.2,7.2,3.85,8.06,5.01,17
Mississippi St.,SEC (West),11.0,10,3,8.49,6.55,15.04,55.06,4.93,10.31,5.06,6.29,3.1,7.98,4.3,114
Auburn,SEC (West),22.0,8,5,11.92,3.07,14.99,56.34,6.61,11.1,4.99,6.74,3.09,8.28,3.98,109
Baylor,Big 12,7.0,11,2,13.69,1.28,14.97,62.06,10.54,10.43,6.16,5.45,2.33,7.73,4.15,41
Arkansas,SEC (West),,7,6,4.3,10.62,14.91,51.57,-0.01,8.82,4.83,6.28,2.05,7.29,3.51,108
Florida St.,ACC (Atlantic),5.0,13,1,10.59,3.9,14.48,52.0,9.91,9.94,5.56,5.71,3.27,7.93,4.31,16
UCLA,Pac-12 (South),10.0,10,3,11.01,3.39,14.4,53.08,8.68,9.56,4.75,6.2,3.05,7.67,3.92,102
USC,Pac-12 (South),20.0,9,4,7.74,6.65,14.39,51.31,6.26,9.84,4.93,5.05,2.96,7.27,3.93,103
Arizona St.,Pac-12 (South),12.0,10,3,10.24,3.02,13.26,52.01,11.48,9.09,6.1,5.16,3.21,7.03,4.42,96
Kansas St.,Big 12,18.0,9,4,6.32,6.42,12.73,51.21,5.43,10.5,5.12,4.63,3.04,7.36,4.1,44
Wisconsin,Big Ten (West),13.0,11,3,3.21,9.49,12.7,49.61,6.05,8.03,5.32,7.76,2.58,7.97,3.78,40
Marshall,CUSA (East),23.0,13,1,9.23,3.33,12.55,54.77,11.22,9.22,5.0,7.37,3.46,8.23,4.06,55
Stanford,Pac-12 (North),,8,5,-2.79,15.21,12.42,40.91,-2.27,9.12,3.53,5.26,2.31,6.94,2.82,101
Missouri,SEC (East),14.0,11,3,2.51,9.51,12.02,44.7,3.23,8.07,4.71,5.78,2.28,6.73,3.47,115
Arizona,Pac-12 (South),19.0,10,4,6.51,5.39,11.9,49.37,8.71,8.26,5.57,5.38,3.34,6.78,4.31,95
Clemson,ACC (Atlantic),15.0,10,3,-1.31,12.94,11.63,45.25,0.3,8.93,3.62,4.41,1.89,6.46,2.7,14
LSU,SEC (West),,8,5,-1.43,12.18,10.75,46.0,-0.92,9.53,3.68,5.88,3.15,7.04,3.36,113
Boise St.,MWC (Mountain),16.0,12,2,11.44,-0.86,10.58,53.73,15.47,9.64,5.65,5.73,2.96,7.39,4.35,84
Louisville,ACC (Atlantic),24.0,9,4,5.74,4.79,10.52,48.48,7.58,9.39,4.97,4.95,2.52,6.98,3.71,18
Nebraska,Big Ten (West),,9,4,9.43,0.83,10.26,52.95,12.78,9.02,4.87,6.3,3.7,7.37,4.27,34
Oklahoma,Big 12,,8,5,5.98,4.23,10.21,52.96,7.88,8.47,5.35,7.24,2.41,7.77,3.95,45
Texas A&M,SEC (West),,8,5,7.38,2.58,9.96,54.86,11.77,9.5,5.18,5.82,4.08,7.75,4.59,119
Utah,Pac-12 (South),21.0,9,4,4.76,5.08,9.84,47.17,8.08,8.26,5.43,5.35,3.04,6.54,4.0,104
Notre Dame,Ind,,8,5,8.86,-0.3,8.56,51.33,13.76,9.74,5.74,5.58,3.32,7.63,4.44,70
Tennessee,SEC (East),,7,6,3.72,4.42,8.13,47.22,7.0,8.25,5.16,4.93,3.04,6.44,3.94,118
Florida,SEC (East),,7,5,0.92,7.21,8.12,46.71,4.54,8.29,4.37,5.41,2.1,6.55,3.24,110
West Virginia,Big 12,,7,6,6.18,1.89,8.07,49.34,8.69,9.28,4.78,5.32,3.38,7.2,3.99,50
Miami (FL),ACC (Coastal),,6,7,1.26,6.78,8.04,43.95,6.0,9.57,4.61,6.05,2.48,7.69,3.44,19
Memphis,American,25.0,10,3,3.75,3.46,7.22,48.99,9.85,8.35,5.26,4.95,2.86,6.4,4.04,6
Minnesota,Big Ten (West),,8,5,3.41,3.32,6.74,44.51,8.84,8.87,5.06,5.9,3.6,6.85,4.27,33
Virginia Tech,ACC (Coastal),,7,6,-1.93,8.64,6.71,38.72,3.18,7.43,5.03,4.79,2.81,6.01,3.83,25
South Carolina,SEC (East),,7,6,9.39,-2.69,6.7,50.68,13.61,9.78,5.79,5.69,4.35,7.68,4.96,117
Duke,ACC (Coastal),,9,4,3.59,3.05,6.64,46.74,10.5,7.13,5.31,5.67,3.85,6.41,4.5,15
Washington,Pac-12 (North),,8,6,1.73,4.8,6.52,42.78,8.72,8.26,5.83,5.08,2.84,6.37,4.19,105
Boston College,ACC (Atlantic),,7,6,2.16,3.89,6.04,42.99,8.28,8.6,5.66,6.42,2.62,7.11,4.15,13
Colorado St.,MWC (Mountain),,10,3,4.02,1.44,5.47,44.66,14.4,10.23,5.78,5.29,4.17,7.76,5.0,85
Louisiana Tech,CUSA (West),,9,5,2.56,2.9,5.46,48.16,10.98,8.31,5.14,4.87,2.45,6.58,3.86,54
Virginia,ACC (Coastal),,5,7,-0.62,5.46,4.83,41.3,7.36,7.96,5.48,4.68,2.3,6.26,3.84,24
BYU,Ind,,8,5,5.58,-1.2,4.38,50.2,15.49,8.75,5.47,5.19,2.75,6.8,4.21,66
NC State,ACC (Atlantic),,8,5,1.57,2.61,4.17,44.92,13.43,8.17,5.12,6.29,3.5,7.13,4.21,20
Texas,Big 12,,6,7,-4.98,8.96,3.98,37.63,3.53,7.76,3.89,4.97,2.85,6.22,3.24,48
Utah St.,MWC (Mountain),,10,4,-2.91,6.54,3.63,37.02,8.99,8.03,5.35,5.39,2.85,6.56,4.08,93
Rutgers,Big Ten (East),,8,5,1.1,2.09,3.19,41.27,13.77,9.75,6.16,5.54,4.32,7.27,5.06,39
Pittsburgh,ACC (Coastal),,6,7,3.85,-1.11,2.74,48.11,14.27,9.11,6.05,6.46,3.66,7.38,4.76,22
California,Pac-12 (North),,5,7,12.7,-10.15,2.55,54.48,22.53,9.42,6.52,5.13,3.38,7.39,5.05,97
Penn State,Big Ten (East),,7,6,-5.05,7.51,2.46,36.51,4.74,7.6,4.47,4.12,2.02,5.91,3.17,37
Cincinnati,American,,9,4,5.37,-2.95,2.42,48.74,16.75,9.34,6.57,5.55,4.09,7.52,5.18,2
East Carolina,American,,8,5,5.4,-3.06,2.35,48.1,16.72,8.51,6.0,5.54,3.0,7.34,4.54,4
Air Force,MWC (Mountain),,10,3,1.21,0.99,2.2,40.21,14.32,9.96,6.5,4.66,2.95,5.87,4.75,83
Navy,Ind,,8,5,3.34,-1.15,2.19,44.06,14.8,9.2,5.69,6.64,4.02,7.18,4.81,7
Western Kentucky,CUSA (East),,8,5,14.05,-12.06,1.99,55.16,28.01,9.67,7.85,5.4,4.08,7.79,5.75,64
Central Florida,American,,9,4,-0.92,2.89,1.98,40.9,10.88,8.48,5.36,4.12,2.7,6.07,3.94,1
Georgia Southern,Sun Belt,,9,3,1.62,0.28,1.89,46.82,14.21,8.61,6.01,6.82,3.99,7.46,4.96,124
