School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
West Virginia,Big East,6.0,11,2,9.51,9.58,19.09,55.22,3.36,9.15,4.78,6.86,2.57,7.7,3.47,50
LSU,SEC (West),1.0,12,2,10.5,7.92,18.41,56.26,5.23,8.72,4.44,5.93,2.35,7.15,3.38,113
USC,Pac-10,3.0,11,2,5.53,12.57,18.1,47.93,0.37,8.01,4.49,6.24,1.38,7.17,2.82,103
Florida,SEC (East),13.0,9,4,15.18,2.88,18.06,60.65,9.98,11.08,6.07,6.21,2.24,8.36,4.16,110
Oregon,Pac-10,23.0,9,4,11.59,6.23,17.82,55.68,7.02,8.32,5.35,6.71,2.35,7.44,3.77,99
Georgia,SEC (East),2.0,11,2,8.1,9.1,17.2,48.78,3.78,8.44,5.08,5.38,2.36,6.73,3.56,111
Missouri,Big 12 (North),4.0,12,2,11.56,5.21,16.77,54.82,6.19,8.72,5.17,5.49,2.59,7.25,3.82,115
Oklahoma,Big 12 (South),8.0,11,3,7.39,8.48,15.87,55.7,4.05,9.86,5.28,5.48,2.5,7.4,3.73,45
Ohio St.,Big Ten,5.0,11,2,0.11,14.73,14.84,43.49,-0.47,8.61,3.9,5.19,1.5,6.55,2.64,36
Kansas,Big 12 (North),7.0,12,1,3.73,10.72,14.45,52.84,3.03,8.5,4.68,5.38,2.31,7.0,3.53,43
Virginia Tech,ACC (Coastal),9.0,11,3,2.42,11.8,14.22,43.39,2.61,8.4,4.61,4.38,2.3,5.97,3.49,25
Arizona St.,Pac-10,16.0,10,3,6.73,6.94,13.67,48.64,6.36,9.27,4.97,4.59,2.52,6.7,3.64,96
Cincinnati,Big East,17.0,10,3,6.69,6.71,13.4,50.04,6.31,9.23,5.46,4.67,2.56,6.99,3.99,2
South Florida,Big East,,9,4,7.42,4.95,12.37,50.48,8.45,8.45,4.26,5.1,3.02,6.62,3.65,9
Auburn,SEC (West),15.0,9,4,-0.3,12.17,11.87,39.89,-0.02,7.88,4.37,4.79,2.61,6.08,3.38,109
Tennessee,SEC (East),12.0,10,4,8.03,3.65,11.68,49.04,10.99,8.4,5.6,5.19,3.03,6.95,4.24,118
Clemson,ACC (Atlantic),21.0,9,4,4.92,6.48,11.4,47.98,7.85,8.15,4.84,4.93,3.13,6.42,3.91,14
BYU,MWC,14.0,11,2,4.5,6.61,11.11,44.02,7.41,8.96,5.01,4.79,2.34,6.99,3.63,66
Texas,Big 12 (South),10.0,10,3,7.77,3.22,10.99,50.51,9.62,8.54,5.85,5.92,2.13,7.24,3.97,48
Oregon St.,Pac-10,25.0,9,4,2.97,6.96,9.93,45.39,6.7,7.3,5.58,5.5,0.95,6.36,3.16,100
Boston College,ACC (Atlantic),10.0,11,3,5.05,4.7,9.75,43.14,9.63,8.19,5.38,4.14,2.21,6.59,4.11,13
Kentucky,SEC (East),,8,5,10.17,-0.73,9.43,51.7,13.57,8.4,4.79,5.03,3.73,6.81,4.12,112
Penn State,Big Ten,,9,4,2.39,6.7,9.09,44.83,7.32,7.73,5.73,5.61,2.22,6.62,3.95,37
Arkansas,SEC (West),,8,5,7.99,0.92,8.91,51.71,12.62,8.27,4.67,6.63,3.46,7.31,3.93,108
California,Pac-10,,7,6,5.85,2.6,8.46,46.1,10.56,8.24,5.05,6.31,2.8,7.35,3.73,97
Texas Tech,Big 12 (South),22.0,9,4,6.61,1.68,8.28,52.4,11.94,8.66,5.11,3.87,3.19,7.62,3.82,49
Alabama,SEC (West),,7,6,3.18,4.91,8.09,43.52,8.21,7.57,5.74,4.92,2.51,6.25,4.04,107
Illinois,Big Ten,20.0,9,4,3.23,4.84,8.07,42.65,9.13,7.83,5.58,6.57,3.07,7.06,4.28,27
UCLA,Pac-10,,6,7,0.28,7.69,7.97,40.98,5.85,7.79,4.86,5.27,1.91,6.39,3.28,102
Michigan,Big Ten,18.0,9,4,0.78,7.13,7.91,40.7,6.69,7.82,4.83,4.8,3.01,6.14,3.79,31
Utah,MWC,,9,4,-3.13,10.51,7.37,39.26,4.19,7.46,4.19,4.95,3.12,6.15,3.65,104
South Carolina,SEC (East),,6,6,1.53,5.62,7.15,41.45,6.55,8.44,4.34,4.48,3.82,6.63,4.02,117
Connecticut,Big East,,9,4,-0.93,8.0,7.07,40.18,6.73,7.95,4.6,4.61,4.21,6.04,4.33,3
Wake Forest,ACC (Atlantic),,9,4,2.53,4.54,7.07,41.98,10.09,7.66,4.69,3.99,2.94,5.6,3.92,26
