School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Michigan,Big Ten,2.0,10,1,1,5.44,18.37,23.81,39.58,-6.37,,,,,,,31.0
Oklahoma,Big 8,1.0,11,1,0,6.51,14.44,20.95,41.4,-0.57,,,,,,,45.0
Tennessee,SEC,4.0,9,1,2,6.99,12.55,19.54,39.28,1.18,,,,,,,118.0
Alabama,SEC,13.0,9,2,1,10.69,7.26,17.95,39.93,5.59,,,,,,,107.0
Miami (FL),Ind,9.0,10,2,0,8.45,8.79,17.24,43.07,5.07,,,,,,,19.0
UCLA,Pac-10,7.0,9,2,1,11.92,5.3,17.22,41.9,7.02,,,,,,,102.0
Florida,SEC,5.0,9,1,1,7.37,9.8,17.16,37.73,3.4,,,,,,,110.0
Iowa,Big Ten,10.0,10,2,0,8.53,7.95,16.48,46.2,6.49,,,,,,,29.0
Air Force,WAC,8.0,12,1,0,6.27,10.09,16.36,41.32,4.01,,,,,,,83.0
Penn State,Ind,3.0,11,1,0,6.17,10.04,16.2,35.11,3.61,,,,,,,37.0
Maryland,ACC,18.0,9,3,0,9.23,6.4,15.63,39.62,6.47,,,,,,,30.0
Texas A&M,SWC,6.0,10,2,0,8.19,7.27,15.46,38.34,7.58,,,,,,,119.0
Nebraska,Big 8,11.0,9,3,0,5.81,9.42,15.23,43.72,3.97,,,,,,,34.0
Ohio St.,Big Ten,14.0,9,3,0,8.55,6.58,15.13,38.42,5.55,,,,,,,36.0
Auburn,SEC,,8,4,0,8.17,6.86,15.03,40.76,6.23,,,,,,,109.0
Georgia,SEC,,7,3,2,4.87,8.71,13.58,36.49,4.81,,,,,,,111.0
BYU,WAC,16.0,11,3,0,3.59,9.71,13.29,37.71,4.04,,,,,,,66.0
Arkansas,SWC,12.0,10,2,0,3.27,9.85,13.12,32.35,4.78,,,,,,,108.0
Baylor,SWC,17.0,9,3,0,3.6,9.52,13.12,33.08,4.76,,,,,,,41.0
Notre Dame,Ind,,5,6,0,5.24,6.42,11.65,35.91,8.41,,,,,,,70.0
Georgia Tech,ACC,19.0,9,2,1,0.5,10.91,11.42,30.84,2.45,,,,,,,17.0
Florida St.,Ind,15.0,9,3,0,8.79,2.35,11.15,42.75,11.18,,,,,,,16.0
Arizona St.,Pac-10,,8,4,0,2.22,8.6,10.82,32.85,4.84,,,,,,,96.0
LSU,SEC,20.0,9,2,1,-1.71,12.03,10.33,27.95,2.65,,,,,,,113.0
Michigan St.,Big Ten,,7,5,0,3.11,5.7,8.82,32.86,7.33,,,,,,,32.0
Arizona,Pac-10,,8,3,1,-0.88,9.62,8.74,28.77,4.09,,,,,,,95.0
SMU,SWC,,6,5,0,5.07,3.15,8.23,34.09,10.97,,,,,,,8.0
Minnesota,Big Ten,,7,5,0,3.47,4.53,8.0,34.79,9.59,,,,,,,33.0
Illinois,Big Ten,,6,5,1,7.95,-0.45,7.5,36.76,14.95,,,,,,,27.0
Army,Ind,,9,3,0,6.2,1.27,7.48,39.39,13.86,,,,,,,65.0
Texas,SWC,,8,4,0,3.3,3.81,7.11,30.77,11.51,,,,,,,48.0
Colorado,Big 8,,7,5,0,-0.97,8.06,7.1,28.78,5.76,,,,,,,98.0
USC,Pac-10,,6,6,0,-3.93,10.55,6.62,28.26,4.14,,,,,,,103.0
Oklahoma St.,Big 8,,8,4,0,0.71,5.84,6.54,28.59,7.61,,,,,,,46.0
Purdue,Big Ten,,5,6,0,8.36,-2.29,6.07,37.44,16.75,,,,,,,38.0
Fresno St.,PCAA,,11,0,1,6.87,-0.91,5.96,39.7,17.22,,,,,,,86.0
Syracuse,Ind,,7,5,0,-0.34,5.72,5.38,31.49,8.55,,,,,,,23.0
Virginia,ACC,,6,5,0,4.75,0.48,5.24,33.7,12.47,,,,,,,24.0
Clemson,ACC,,6,6,0,1.27,3.9,5.17,30.63,9.03,,,,,,,14.0
West Virginia,Ind,,7,3,1,-4.18,9.06,4.88,25.96,5.93,,,,,,,50.0
Washington,Pac-10,,7,5,0,0.2,4.55,4.75,29.39,9.17,,,,,,,105.0
Pittsburgh,Ind,,5,5,1,-2.16,6.54,4.38,28.13,7.7,,,,,,,22.0
Southern Miss,Ind,,7,4,0,-2.02,5.57,3.56,26.92,8.99,,,,,,,60.0
