School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
USC,AAWU,1.0,10,1,0,7.92,12.41,20.33,37.27,-5.0,,,,,,,103.0
Notre Dame,Ind,5.0,8,2,0,10.8,8.76,19.56,45.52,-1.13,,,,,,,70.0
Purdue,Big Ten,9.0,8,2,0,13.52,4.78,18.3,43.19,3.03,,,,,,,38.0
Tennessee,SEC,2.0,9,2,0,10.76,7.38,18.14,40.09,-1.72,,,,,,,118.0
Oklahoma,Big 8,3.0,10,1,0,8.63,8.53,17.16,38.8,-0.95,,,,,,,45.0
LSU,SEC,,7,3,1,8.66,8.17,16.82,41.16,-2.82,,,,,,,113.0
Houston,Ind,,7,3,0,9.1,7.42,16.52,45.21,-1.99,,,,,,,5.0
UCLA,AAWU,,7,2,1,12.72,3.74,16.46,42.61,3.62,,,,,,,102.0
Alabama,SEC,8.0,8,2,1,6.7,9.44,16.13,34.5,-3.46,,,,,,,107.0
Florida St.,Ind,,7,2,2,11.41,4.49,15.89,39.75,1.87,,,,,,,16.0
Georgia,SEC,,7,4,0,7.8,8.06,15.86,39.21,-2.94,,,,,,,111.0
Wyoming,WAC,6.0,10,1,0,6.9,8.47,15.36,35.1,-2.59,,,,,,,94.0
NC State,ACC,,9,2,0,3.47,11.52,14.99,32.29,-5.24,,,,,,,20.0
Penn State,Ind,10.0,8,2,1,9.68,4.94,14.62,39.71,0.83,,,,,,,37.0
Auburn,SEC,,6,4,0,6.87,7.25,14.12,39.16,-0.91,,,,,,,109.0
Miami (FL),Ind,,7,4,0,5.65,8.15,13.8,38.09,-2.74,,,,,,,19.0
UTEP,Ind,,7,2,1,9.33,3.8,13.13,42.71,0.99,,,,,,,62.0
Oregon St.,AAWU,7.0,7,2,1,3.3,8.91,12.21,30.08,-1.45,,,,,,,100.0
Texas A&M,SWC,,7,4,0,5.59,6.28,11.87,33.87,-0.6,,,,,,,119.0
Colorado,Big 8,,9,2,0,5.68,5.78,11.46,35.36,1.9,,,,,,,98.0
Arizona St.,WAC,,8,2,0,14.02,-2.68,11.35,42.97,9.44,,,,,,,96.0
