School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Notre Dame,Ind,1.0,11,1,0,13.78,12.39,26.18,49.36,-2.37,,,,,,,70.0
Alabama,SEC,2.0,11,1,0,13.25,11.23,24.48,45.69,-1.11,,,,,,,107.0
Texas,SWC,4.0,11,1,0,10.88,12.42,23.3,46.28,-0.72,,,,,,,48.0
Arkansas,SWC,3.0,11,1,0,6.77,15.71,22.48,38.5,-4.09,,,,,,,108.0
Pittsburgh,Ind,8.0,9,2,1,8.84,13.47,22.3,47.0,-2.65,,,,,,,22.0
Penn State,Ind,5.0,11,1,0,14.65,7.46,22.11,45.5,2.95,,,,,,,37.0
Oklahoma,Big 8,7.0,10,2,0,15.85,4.9,20.75,47.31,5.59,,,,,,,45.0
Ohio St.,Big Ten,11.0,9,3,0,7.53,12.41,19.94,40.36,-0.93,,,,,,,36.0
Kentucky,SEC,6.0,10,1,0,6.4,13.43,19.83,36.01,-2.42,,,,,,,112.0
Michigan,Big Ten,9.0,10,2,0,6.76,12.89,19.65,40.98,-0.96,,,,,,,31.0
Nebraska,Big 8,12.0,9,3,0,10.33,7.43,17.75,40.52,3.91,,,,,,,34.0
Washington,Pac-8,10.0,8,4,0,10.09,6.96,17.05,40.83,3.49,,,,,,,105.0
USC,Pac-8,13.0,8,4,0,8.51,8.45,16.95,41.51,2.27,,,,,,,103.0
Florida St.,Ind,14.0,10,2,0,9.03,7.2,16.23,37.54,4.32,,,,,,,16.0
North Carolina,ACC,17.0,8,3,1,3.61,11.73,15.34,32.66,-0.82,,,,,,,21.0
Clemson,ACC,19.0,8,3,1,5.16,9.01,14.16,33.17,2.0,,,,,,,14.0
BYU,WAC,20.0,9,2,0,8.86,4.65,13.51,44.94,8.02,,,,,,,66.0
Texas A&M,SWC,,8,4,0,13.5,-0.34,13.16,40.56,12.51,,,,,,,119.0
Michigan St.,Big Ten,,7,3,1,6.71,6.34,13.04,35.18,4.73,,,,,,,32.0
UCLA,Pac-8,,7,4,0,8.02,4.8,12.81,36.04,5.72,,,,,,,102.0
Arizona St.,WAC,18.0,9,3,0,8.23,4.54,12.78,40.32,7.53,,,,,,,96.0
NC State,ACC,,8,4,0,5.88,6.78,12.65,34.68,4.5,,,,,,,20.0
Colorado,Big 8,,7,3,1,3.79,8.64,12.43,34.9,4.43,,,,,,,98.0
San Diego St.,Ind,16.0,10,1,0,6.89,4.24,11.13,35.74,7.92,,,,,,,90.0
LSU,SEC,,8,4,0,7.19,3.88,11.07,42.46,7.95,,,,,,,113.0
California,Pac-8,,7,4,0,7.43,3.61,11.04,38.38,7.33,,,,,,,97.0
Maryland,ACC,,8,4,0,4.44,6.38,10.82,32.89,5.46,,,,,,,30.0
North Texas,Ind,,9,2,0,7.21,3.12,10.33,35.58,9.15,,,,,,,57.0
Stanford,Pac-8,15.0,9,3,0,7.44,2.6,10.04,34.36,9.98,,,,,,,101.0
Houston,SWC,,6,5,0,6.9,2.92,9.82,35.08,9.46,,,,,,,5.0
Texas Tech,SWC,,7,5,0,4.29,5.25,9.53,33.54,7.62,,,,,,,49.0
Missouri,Big 8,,4,7,0,2.03,6.98,9.02,30.43,2.27,,,,,,,115.0
Georgia Tech,Ind,,6,5,0,4.61,4.27,8.88,33.21,9.26,,,,,,,17.0
Iowa St.,Big 8,,8,4,0,2.14,6.57,8.71,30.78,4.23,,,,,,,42.0
Washington St.,Pac-8,,6,5,0,6.31,2.41,8.71,35.23,8.77,,,,,,,106.0
Syracuse,Ind,,6,5,0,4.71,3.88,8.6,32.11,8.13,,,,,,,23.0
Ole Miss,SEC,,5,6,0,3.32,5.17,8.5,32.64,4.31,,,,,,,116.0
Duke,ACC,,5,6,0,7.28,0.9,8.18,34.58,9.7,,,,,,,15.0
Florida,SEC,,6,4,1,6.13,1.93,8.06,34.78,8.98,,,,,,,110.0
Baylor,SWC,,5,6,0,3.22,4.65,7.87,31.33,6.55,,,,,,,41.0
Minnesota,Big Ten,,7,5,0,-0.69,8.33,7.64,26.57,3.71,,,,,,,33.0
Mississippi St.,SEC,,5,6,0,3.63,3.95,7.57,31.54,6.38,,,,,,,114.0
Fresno St.,PCAA,,9,2,0,5.24,1.5,6.73,35.86,10.3,,,,,,,86.0
Grambling,SWAC,,10,1,0,9.2,-2.47,6.73,46.41,13.29,,,,,,,251.0
Colorado St.,WAC,,9,2,1,2.41,4.27,6.68,30.49,9.5,,,,,,,85.0
Navy,Ind,,5,6,0,4.83,1.7,6.52,33.19,8.86,,,,,,,7.0
Tennessee,SEC,,4,7,0,3.37,3.12,6.49,33.89,7.88,,,,,,,118.0
Auburn,SEC,,5,6,0,4.05,1.9,5.95,32.45,9.41,,,,,,,109.0
Memphis,Ind,,6,5,0,3.33,2.23,5.56,31.09,8.1,,,,,,,6.0
Georgia,SEC,,5,6,0,-0.6,5.47,4.86,26.62,6.13,,,,,,,111.0
Indiana,Big Ten,,5,5,1,3.71,1.12,4.83,30.41,10.07,,,,,,,28.0
Purdue,Big Ten,,5,6,0,2.8,1.89,4.69,31.58,11.73,,,,,,,38.0
