School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Alabama,SEC (West),1.0,13,1,6.53,17.98,24.51,56.7,-6.37,11.0,4.01,6.85,1.25,8.4,2.58,107
Oregon,Pac-12 (North),2.0,12,1,17.21,6.22,23.43,66.16,4.82,9.5,4.11,6.82,3.4,7.89,3.67,99
Texas A&M,SEC (West),5.0,11,2,14.01,6.05,20.05,61.72,4.75,10.11,5.18,7.19,2.66,8.52,3.93,119
Georgia,SEC (East),5.0,12,2,9.85,8.08,17.93,55.36,3.91,11.94,5.16,6.1,3.05,8.68,3.89,111
Florida,SEC (East),9.0,11,2,2.27,15.09,17.35,44.83,-3.59,8.56,3.56,5.81,1.82,6.84,2.77,110
Notre Dame,Ind,4.0,12,1,1.84,15.15,16.98,46.37,-3.13,9.62,4.26,6.04,2.51,7.62,3.43,70
Kansas St.,Big 12,12.0,11,2,7.52,9.4,16.92,55.19,1.19,9.96,5.06,5.66,2.53,7.35,3.8,44
South Carolina,SEC (East),8.0,11,2,5.03,10.94,15.97,47.98,1.36,10.13,4.7,4.83,2.22,7.09,3.2,117
Stanford,Pac-12 (North),7.0,12,2,2.47,13.11,15.58,45.37,-1.84,8.74,4.13,5.27,2.26,6.81,3.22,101
LSU,SEC (West),14.0,10,3,5.49,9.27,14.76,48.11,1.65,9.07,3.95,5.5,1.96,6.95,3.04,113
Clemson,ACC (Atlantic),11.0,11,2,13.72,1.04,14.75,56.81,11.7,10.62,5.74,5.22,3.69,7.67,4.7,14
Oklahoma,Big 12,15.0,10,3,9.05,5.27,14.32,56.14,5.05,8.99,4.49,5.98,3.88,7.69,4.13,45
Ohio St.,Big Ten (Leaders),3.0,12,0,9.92,3.89,13.81,52.34,8.68,9.36,4.98,5.96,2.84,7.24,3.96,36
Florida St.,ACC (Atlantic),10.0,12,2,3.12,10.44,13.56,52.92,2.29,10.12,3.57,6.51,2.28,8.18,2.94,16
Oklahoma St.,Big 12,,8,5,11.19,2.31,13.5,61.44,7.9,9.93,4.99,6.31,2.52,8.1,3.78,46
Oregon St.,Pac-12 (North),20.0,9,4,4.2,7.94,12.14,50.84,2.5,9.81,4.6,4.63,3.18,7.4,3.9,100
Baylor,Big 12,,8,5,18.47,-7.25,11.22,61.8,17.41,10.65,5.91,6.13,3.5,8.16,4.69,41
Texas,Big 12,19.0,9,4,8.01,3.18,11.18,53.2,8.37,9.99,6.08,5.55,3.53,7.54,4.38,48
Utah St.,WAC,16.0,11,2,1.91,8.8,10.71,44.65,4.71,9.1,4.69,5.97,2.65,7.48,3.57,93
