School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Alabama,SEC (West),1.0,14,0,7.09,16.6,23.69,49.69,-6.48,9.62,3.27,6.47,1.21,7.62,2.46,107
Florida,SEC (East),3.0,13,1,5.61,15.54,21.15,52.63,-4.51,10.81,3.69,7.0,1.7,8.44,2.64,110
Texas,Big 12 (South),2.0,13,1,11.08,9.12,20.21,56.55,1.0,9.06,3.93,5.58,1.3,7.28,2.55,48
Virginia Tech,ACC (Coastal),10.0,10,3,8.01,10.56,18.57,50.48,-0.18,11.85,4.04,6.16,2.75,7.85,3.46,25
TCU,MWC,6.0,12,1,5.91,11.14,17.05,50.87,0.86,10.33,4.0,6.08,2.02,7.66,3.02,47
Oregon,Pac-10,11.0,10,3,12.09,3.39,15.48,53.38,7.44,8.91,4.31,6.89,2.01,7.57,3.17,99
Ohio St.,Big Ten,5.0,11,2,1.58,13.13,14.71,43.63,-1.4,8.89,3.7,5.71,1.54,6.85,2.86,36
Cincinnati,Big East,8.0,12,1,11.76,2.47,14.23,53.58,9.18,9.94,5.42,6.22,2.42,8.24,3.9,2
Penn State,Big Ten,9.0,11,2,2.04,11.82,13.86,42.85,0.14,9.26,4.59,6.13,2.02,7.49,3.38,37
Georgia Tech,ACC (Coastal),13.0,11,3,11.79,1.75,13.54,51.66,9.42,12.78,5.58,6.52,3.9,7.75,4.82,17
Boise St.,WAC,4.0,14,0,7.15,6.36,13.5,51.11,6.04,9.18,4.41,5.47,3.04,7.23,3.7,84
Oklahoma,Big 12 (South),,8,5,1.15,12.06,13.21,47.47,-3.45,9.06,3.46,4.96,1.77,7.0,2.61,45
Arkansas,SEC (West),,8,5,11.43,1.71,13.14,52.95,8.65,10.7,6.3,5.79,2.46,8.26,4.27,108
Pittsburgh,Big East,15.0,10,3,7.59,5.16,12.75,47.32,5.78,9.52,4.88,6.2,2.22,7.49,3.76,22
LSU,SEC (West),17.0,9,4,2.28,10.42,12.7,42.82,-0.6,8.84,4.18,5.23,1.86,6.75,3.05,113
Miami (FL),ACC (Coastal),19.0,9,4,8.37,3.82,12.2,47.94,6.45,10.2,4.92,5.13,2.64,7.38,3.92,19
Clemson,ACC (Atlantic),24.0,9,5,5.49,6.24,11.73,46.78,3.96,8.64,4.08,5.82,2.42,6.98,3.23,14
Ole Miss,SEC (West),20.0,9,4,3.89,7.61,11.5,45.24,3.47,9.17,4.23,6.21,2.42,7.39,3.35,116
Nebraska,Big 12 (North),14.0,10,4,-3.4,14.81,11.41,41.24,-5.64,8.45,3.45,5.26,1.83,6.57,2.63,34
Stanford,Pac-10,,8,5,12.23,-1.35,10.88,52.34,11.79,10.57,6.03,6.57,3.18,7.97,4.66,101
Texas Tech,Big 12 (South),21.0,9,4,8.7,2.09,10.79,51.08,6.95,9.14,4.96,4.66,2.48,7.6,3.6,49
Auburn,SEC (West),,8,5,11.13,-0.87,10.26,50.74,11.81,9.72,4.75,6.57,2.74,7.75,3.8,109
Iowa,Big Ten,7.0,11,2,0.25,10.01,10.26,38.24,1.27,8.79,3.37,4.58,2.3,6.43,2.97,29
BYU,MWC,12.0,11,2,5.62,4.05,9.67,48.4,8.78,10.17,4.81,4.85,2.62,7.37,3.81,66
USC,Pac-10,22.0,9,4,2.21,6.9,9.11,42.96,4.67,9.36,4.38,6.3,2.51,7.57,3.53,103
Georgia,SEC (East),,8,5,7.16,1.89,9.06,47.12,8.41,9.67,5.2,6.13,1.86,7.62,3.54,111
Tennessee,SEC (East),,7,6,5.3,3.64,8.94,47.91,6.38,9.4,3.87,5.76,2.6,7.38,3.37,118
Oregon St.,Pac-10,,8,5,7.16,1.31,8.47,45.95,9.12,8.9,5.25,5.3,2.45,7.05,3.99,100
Wisconsin,Big Ten,16.0,10,3,5.11,3.08,8.19,45.5,8.64,9.71,5.7,5.59,1.98,7.09,3.85,40
North Carolina,ACC (Coastal),,8,5,-0.8,8.84,8.04,38.02,1.3,7.71,3.53,4.58,1.93,5.82,2.92,21
Connecticut,Big East,,8,5,8.16,-0.13,8.03,47.94,10.36,9.24,5.97,5.64,2.81,7.06,4.36,3
Oklahoma St.,Big 12 (South),,9,4,2.24,5.76,8.01,42.69,4.6,8.59,4.65,5.64,2.0,6.77,3.33,46
West Virginia,Big East,25.0,9,4,2.71,4.76,7.48,40.67,6.87,8.47,4.8,6.02,2.58,6.92,3.78,50
Utah,MWC,18.0,10,3,3.34,3.94,7.28,42.21,7.96,8.72,4.28,5.19,2.95,6.8,3.61,104
South Carolina,SEC (East),,7,6,-0.52,7.62,7.1,37.97,2.12,8.59,4.15,5.0,2.16,6.71,3.07,117
Arizona,Pac-10,,8,5,5.35,1.64,6.98,44.42,9.21,7.86,4.7,6.21,2.68,6.94,3.8,95
Air Force,MWC,,8,5,-0.78,7.35,6.57,41.42,4.29,8.79,4.72,5.36,3.06,6.03,3.79,83
Notre Dame,Ind,,6,6,5.71,0.78,6.49,44.88,8.88,10.06,5.95,5.02,3.16,7.53,4.63,70
Rutgers,Big East,,9,4,0.71,5.63,6.34,41.28,6.93,8.6,5.72,4.85,2.18,6.27,3.94,39
Florida St.,ACC (Atlantic),,7,6,9.19,-3.11,6.08,47.52,13.48,10.15,6.48,5.94,4.33,7.91,5.39,16
Kentucky,SEC (East),,7,6,3.14,2.89,6.03,43.58,7.97,7.64,5.2,6.09,3.27,6.65,4.12,112
Mississippi St.,SEC (West),,5,7,3.33,2.42,5.76,43.79,7.74,8.51,5.88,6.3,2.22,7.03,3.96,114
