School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Florida St.,ACC,1.0,12,0,13.05,10.44,23.5,54.0,-0.29,,,,,,,16
Nebraska,Big 12 (North),3.0,12,1,8.99,12.16,21.15,50.77,-2.23,,,,,,,34
Tennessee,SEC (East),9.0,9,3,9.78,10.45,20.23,48.82,0.06,,,,,,,118
Virginia Tech,Big East,2.0,11,1,7.49,11.17,18.66,53.14,0.62,,,,,,,25
Penn State,Big Ten,11.0,10,3,8.56,9.23,17.79,47.71,1.0,,,,,,,37
Alabama,SEC (West),8.0,10,3,10.69,6.5,17.19,48.64,3.55,,,,,,,107
Michigan,Big Ten,5.0,10,2,9.72,7.05,16.77,47.75,3.34,,,,,,,31
Florida,SEC (East),12.0,9,4,9.33,6.23,15.55,48.12,4.48,,,,,,,110
Kansas St.,Big 12 (North),6.0,11,1,4.22,10.89,15.11,49.82,1.03,,,,,,,44
Michigan St.,Big Ten,7.0,10,2,7.19,7.76,14.95,48.65,3.63,,,,,,,32
Wisconsin,Big Ten,4.0,10,2,2.69,12.19,14.88,46.76,-0.65,,,,,,,40
Miami (FL),Big East,15.0,9,4,2.58,9.97,12.55,47.29,1.87,,,,,,,19
Mississippi St.,SEC (West),13.0,10,2,0.59,11.25,11.84,37.46,-0.32,,,,,,,114
Minnesota,Big Ten,18.0,8,4,4.68,7.13,11.81,44.0,3.21,,,,,,,33
Illinois,Big Ten,24.0,8,4,6.57,4.83,11.4,47.04,7.06,,,,,,,27
Ole Miss,SEC (West),22.0,8,4,6.4,4.39,10.79,43.16,5.6,,,,,,,116
Georgia Tech,ACC,20.0,8,4,15.52,-5.22,10.3,54.09,15.82,,,,,,,17
Arkansas,SEC (West),17.0,8,4,4.31,5.87,10.18,45.42,5.68,,,,,,,108
Oklahoma,Big 12 (South),,7,5,4.29,5.84,10.14,47.7,5.48,,,,,,,45
Marshall,MAC (East),10.0,13,0,-0.73,10.49,9.76,41.28,3.13,,,,,,,55
Purdue,Big Ten,25.0,7,5,8.55,1.22,9.76,48.2,9.6,,,,,,,38
Southern Miss,CUSA,14.0,9,3,-0.19,9.94,9.75,40.05,1.95,,,,,,,60
Utah,MWC,,9,3,4.38,4.7,9.07,43.49,8.04,,,,,,,104
Texas A&M,Big 12 (South),23.0,8,4,0.35,8.7,9.05,40.03,4.44,,,,,,,119
Texas,Big 12 (South),21.0,9,5,4.84,3.88,8.72,47.59,6.16,,,,,,,48
Oregon,Pac-10,19.0,9,3,6.88,1.29,8.17,46.95,10.85,,,,,,,99
Stanford,Pac-10,,8,4,11.24,-3.27,7.97,48.62,16.69,,,,,,,101
Ohio St.,Big Ten,,6,6,3.94,3.7,7.64,41.53,6.5,,,,,,,36
Clemson,ACC,,6,6,4.52,3.03,7.55,44.26,6.1,,,,,,,14
BYU,MWC,,8,4,5.0,2.43,7.43,41.57,9.59,,,,,,,66
Georgia,SEC (East),16.0,8,4,7.02,0.31,7.33,43.7,10.71,,,,,,,111
Colorado,Big 12 (North),,7,5,7.74,-0.86,6.88,46.44,11.92,,,,,,,98
East Carolina,CUSA,,9,3,2.83,4.01,6.84,41.33,7.05,,,,,,,4
Notre Dame,Ind,,5,7,6.52,0.07,6.59,44.62,10.12,,,,,,,70
Colorado St.,MWC,,8,4,3.35,2.5,5.85,40.96,10.21,,,,,,,85
Washington,Pac-10,,7,5,5.17,0.51,5.68,41.75,10.55,,,,,,,105
Syracuse,Big East,,7,5,-1.33,6.14,4.82,36.38,8.21,,,,,,,23
USC,Pac-10,,6,6,2.63,1.99,4.62,41.33,9.17,,,,,,,103
Louisiana Tech,Ind,,8,3,8.58,-4.11,4.47,46.33,17.47,,,,,,,54
Wake Forest,ACC,,7,5,-3.81,8.18,4.37,34.72,3.43,,,,,,,26
Louisville,CUSA,,7,5,12.48,-8.13,4.36,50.54,18.63,,,,,,,18
Memphis,CUSA,,5,6,-3.96,7.93,3.97,34.12,2.31,,,,,,,6
Auburn,SEC (West),,5,6,-1.17,5.11,3.94,37.45,6.5,,,,,,,109
TCU,WAC,,8,4,0.59,3.08,3.67,38.58,10.01,,,,,,,47
Virginia,ACC,,7,5,6.79,-3.22,3.57,43.88,15.39,,,,,,,24
Kentucky,SEC (East),,6,6,4.81,-1.51,3.3,42.59,14.14,,,,,,,112
Wyoming,MWC,,7,4,4.08,-1.14,2.94,39.62,14.58,,,,,,,94
Oregon St.,Pac-10,,7,5,1.03,1.73,2.76,39.06,10.74,,,,,,,100
Air Force,MWC,,6,5,-0.86,3.21,2.35,35.3,9.26,,,,,,,83
Fresno St.,WAC,,8,5,1.88,0.43,2.31,39.89,12.07,,,,,,,86
Vanderbilt,SEC (East),,5,6,-1.32,3.17,1.85,38.09,9.47,,,,,,,120
Maryland,ACC,,5,6,-0.66,2.05,1.4,39.51,10.34,,,,,,,30
San Diego St.,MWC,,5,6,-1.48,2.83,1.35,36.81,8.65,,,,,,,90
Pittsburgh,Big East,,5,6,1.43,-0.16,1.27,38.14,12.09,,,,,,,22
Boise St.,Big West,,10,3,0.56,0.69,1.25,39.51,13.16,,,,,,,84
Houston,CUSA,,7,4,-4.3,5.19,0.9,33.95,6.97,,,,,,,5
Boston College,Big East,,8,4,2.46,-1.66,0.8,36.3,13.48,,,,,,,13
Oklahoma St.,Big 12 (South),,5,6,0.5,0.28,0.78,38.17,11.33,,,,,,,46
Arizona,Pac-10,,6,6,4.01,-3.43,0.58,40.55,16.27,,,,,,,95
Arizona St.,Pac-10,,6,6,0.94,-0.71,0.23,37.08,12.71,,,,,,,96
West Virginia,Big East,,4,7,1.74,-2.09,-0.35,40.18,13.32,,,,,,,50
Hawaii,WAC,,9,4,2.22,-2.59,-0.37,37.89,17.6,,,,,,,87
Iowa St.,Big 12 (North),,4,7,-0.21,-0.39,-0.6,35.82,10.67,,,,,,,42
UAB,CUSA,,5,6,-1.98,1.26,-0.72,35.71,11.36,,,,,,,61
California,Pac-10,,4,7,-6.35,4.99,-1.36,29.85,8.26,,,,,,,97
Indiana,Big Ten,,4,7,6.02,-7.4,-1.38,43.07,20.99,,,,,,,28
LSU,SEC (West),,3,8,-3.7,2.3,-1.41,36.16,9.65,,,,,,,113
Texas Tech,Big 12 (South),,6,5,-1.47,-0.18,-1.65,34.47,14.68,,,,,,,49
Navy,Ind,,5,7,-0.78,-0.91,-1.69,35.01,13.8,,,,,,,7
NC State,ACC,,6,6,-2.28,0.59,-1.69,35.22,10.9,,,,,,,20
Missouri,Big 12 (North),,4,7,-0.55,-1.34,-1.89,36.78,18.18,,,,,,,115
UCLA,Pac-10,,4,7,-2.63,0.61,-2.01,34.73,13.25,,,,,,,102
Cincinnati,CUSA,,3,8,0.9,-3.41,-2.52,39.14,14.22,,,,,,,2
Kansas,Big 12 (North),,5,7,-1.54,-1.43,-2.98,38.47,16.81,,,,,,,43
Rice,WAC,,5,6,-4.72,1.13,-3.59,32.53,12.06,,,,,,,59
Miami (OH),MAC (East),,7,4,0.01,-4.84,-4.83,36.85,17.95,,,,,,,78
North Carolina,ACC,,3,8,-8.24,3.35,-4.89,30.16,9.87,,,,,,,21
Duke,ACC,,3,8,-1.47,-3.44,-4.91,36.16,18.21,,,,,,,15
Washington St.,Pac-10,,3,9,-6.05,1.12,-4.93,31.95,13.77,,,,,,,106
Toledo,MAC (West),,6,5,-4.61,-0.44,-5.05,32.36,13.91,,,,,,,81
Western Michigan,MAC (West),,7,5,4.06,-9.15,-5.09,38.64,22.0,,,,,,,82
New Mexico,MWC,,4,7,-3.24,-2.11,-5.34,32.97,16.29,,,,,,,89
Idaho,Big West,,7,4,-0.26,-5.18,-5.44,34.72,19.26,,,,,,,133
Iowa,Big Ten,,1,10,-5.53,0.04,-5.49,32.61,14.74,,,,,,,29
Central Florida,Ind,,4,7,-3.35,-2.14,-5.49,33.63,16.01,,,,,,,1
Northwestern,Big Ten,,3,8,-8.02,2.26,-5.76,28.35,10.21,,,,,,,35
New Mexico State,Big West,,6,5,-4.67,-1.61,-6.28,35.55,17.21,,,,,,,69
UTEP,WAC,,5,7,0.73,-7.93,-7.2,35.8,20.65,,,,,,,62
Tulane,CUSA,,3,8,2.32,-9.78,-7.46,40.14,26.55,,,,,,,11
Utah St.,Big West,,4,7,-5.22,-2.35,-7.57,30.91,16.55,,,,,,,93
Akron,MAC (East),,7,4,-0.63,-7.0,-7.63,34.28,22.65,,,,,,,71
Temple,Big East,,2,9,-7.72,0.03,-7.69,29.08,18.19,,,,,,,10
