School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Penn State,Ind,1.0,11,1,0,14.43,8.67,23.1,49.97,0.57,,,,,,,37.0
Nebraska,Big 8,3.0,12,1,0,12.76,9.18,21.94,53.03,0.8,,,,,,,34.0
UCLA,Pac-10,5.0,10,1,1,16.27,5.4,21.66,48.22,4.04,,,,,,,102.0
USC,Pac-10,15.0,8,3,0,8.67,12.39,21.05,43.7,-2.9,,,,,,,103.0
Georgia,SEC,4.0,11,1,0,8.84,9.84,18.68,42.24,-0.58,,,,,,,111.0
Arizona St.,Pac-10,6.0,10,2,0,6.83,11.26,18.09,38.55,-1.62,,,,,,,96.0
Pittsburgh,Ind,10.0,9,3,0,4.19,13.11,17.3,39.14,-4.16,,,,,,,22.0
Washington,Pac-10,7.0,10,2,0,8.58,7.9,16.48,42.61,2.64,,,,,,,105.0
Maryland,ACC,20.0,8,4,0,12.43,3.79,16.22,45.03,4.98,,,,,,,30.0
Michigan,Big Ten,,8,4,0,7.7,8.19,15.89,42.67,1.11,,,,,,,31.0
Florida St.,Ind,13.0,9,3,0,13.33,2.23,15.57,49.45,7.76,,,,,,,16.0
North Carolina,ACC,18.0,8,4,0,5.49,9.95,15.44,40.7,-0.8,,,,,,,21.0
LSU,SEC,11.0,8,3,1,8.73,6.52,15.26,44.6,1.42,,,,,,,113.0
Alabama,SEC,,8,4,0,8.81,6.18,14.99,41.91,2.39,,,,,,,107.0
Ohio St.,Big Ten,12.0,9,3,0,7.39,7.59,14.99,40.65,0.94,,,,,,,36.0
Texas,SWC,17.0,9,3,0,7.1,7.83,14.94,42.5,2.3,,,,,,,48.0
Oklahoma,Big 8,16.0,8,4,0,9.35,5.48,14.83,42.01,3.54,,,,,,,45.0
Auburn,SEC,14.0,9,3,0,5.82,8.48,14.3,36.4,1.21,,,,,,,109.0
Arizona,Pac-10,,6,4,1,10.12,3.65,13.78,43.78,6.16,,,,,,,95.0
Clemson,ACC,8.0,9,1,1,4.21,9.43,13.63,37.15,1.02,,,,,,,14.0
SMU,SWC,2.0,11,0,1,6.7,6.65,13.36,39.72,3.67,,,,,,,8.0
West Virginia,Ind,19.0,9,3,0,5.58,7.68,13.25,37.36,1.84,,,,,,,50.0
Arkansas,SWC,9.0,9,2,1,2.38,10.51,12.89,36.41,-0.24,,,,,,,108.0
Notre Dame,Ind,,6,4,1,3.49,9.09,12.58,35.52,-0.35,,,,,,,70.0
Florida,SEC,,8,4,0,5.58,6.97,12.55,39.94,3.62,,,,,,,110.0
Miami (FL),Ind,,7,4,0,3.61,8.22,11.83,34.99,-0.47,,,,,,,19.0
Stanford,Pac-10,,5,6,0,13.07,-2.07,10.99,45.51,10.78,,,,,,,101.0
Illinois,Big Ten,,7,5,0,7.5,3.4,10.9,42.53,5.0,,,,,,,27.0
California,Pac-10,,7,4,0,3.15,7.0,10.14,34.25,6.58,,,,,,,97.0
BYU,WAC,,8,4,0,4.86,4.06,8.92,40.16,6.59,,,,,,,66.0
Boston College,Ind,,8,3,1,5.21,3.35,8.56,35.88,8.07,,,,,,,13.0
New Mexico,WAC,,10,1,0,7.71,-0.09,7.61,39.98,12.33,,,,,,,89.0
Southern Miss,Ind,,7,4,0,3.11,4.3,7.41,36.74,5.98,,,,,,,60.0
Mississippi St.,SEC,,5,6,0,6.44,0.95,7.39,38.15,8.75,,,,,,,114.0
Tennessee,SEC,,6,5,1,5.18,1.81,6.99,36.82,7.67,,,,,,,118.0
Wisconsin,Big Ten,,7,5,0,5.14,1.66,6.8,37.14,7.23,,,,,,,40.0
Iowa,Big Ten,,8,4,0,0.18,6.44,6.62,31.89,3.1,,,,,,,29.0
Vanderbilt,SEC,,8,4,0,4.82,1.43,6.25,37.37,8.22,,,,,,,120.0
Duke,ACC,,6,5,0,9.61,-3.75,5.86,40.54,14.36,,,,,,,15.0
Tulsa,MVC,,10,1,0,3.95,1.58,5.53,35.08,12.28,,,,,,,12.0
Kansas St.,Big 8,,6,5,1,-1.78,7.06,5.28,31.0,3.56,,,,,,,44.0
NC State,ACC,,6,5,0,-1.29,5.82,4.53,30.74,9.31,,,,,,,20.0
San Jose St.,PCAA,,8,3,0,4.39,-0.12,4.27,36.31,11.75,,,,,,,91.0
Missouri,Big 8,,5,4,2,0.3,3.57,3.87,30.9,6.12,,,,,,,115.0
Air Force,WAC,,8,5,0,10.84,-7.52,3.32,40.86,17.99,,,,,,,83.0
San Diego St.,WAC,,7,5,0,4.13,-1.02,3.11,35.26,14.42,,,,,,,90.0
Fresno St.,PCAA,,11,1,0,6.67,-3.74,2.93,35.48,16.12,,,,,,,86.0
Indiana,Big Ten,,5,6,0,0.16,2.38,2.54,32.53,7.89,,,,,,,28.0
Utah,WAC,,5,6,0,0.15,2.25,2.4,31.09,7.59,,,,,,,104.0
Ole Miss,SEC,,4,7,0,0.83,1.38,2.22,33.9,9.35,,,,,,,116.0
Navy,Ind,,6,5,0,-1.74,3.35,1.6,29.27,7.71,,,,,,,7.0
Oregon,Pac-10,,2,8,1,-5.71,6.89,1.18,24.99,4.31,,,,,,,99.0
Cincinnati,Ind,,6,5,0,-1.06,2.14,1.09,34.72,9.89,,,,,,,2.0
Michigan St.,Big Ten,,2,9,0,0.57,0.35,0.92,32.94,7.4,,,,,,,32.0
Temple,Ind,,4,7,0,-1.76,2.66,0.9,30.5,7.41,,,,,,,10.0
Iowa St.,Big 8,,4,6,1,-2.09,2.8,0.71,30.37,9.37,,,,,,,42.0
Houston,SWC,,5,5,1,-0.6,1.19,0.59,32.15,12.48,,,,,,,5.0
Georgia Tech,Ind,,6,5,0,0.79,-0.22,0.58,33.48,13.72,,,,,,,17.0
Virginia Tech,Ind,,7,4,0,-7.04,7.57,0.53,25.64,5.55,,,,,,,25.0
Oklahoma St.,Big 8,,4,5,2,1.23,-1.15,0.08,32.52,12.82,,,,,,,46.0
Tulane,Ind,,4,7,0,-0.68,0.3,-0.39,30.6,11.31,,,,,,,11.0
Baylor,SWC,,4,6,1,2.53,-3.18,-0.65,32.74,12.73,,,,,,,41.0
Hawaii,WAC,,6,5,0,-1.17,0.21,-0.95,30.0,9.96,,,,,,,87.0
South Carolina,Ind,,4,7,0,-0.2,-0.89,-1.09,31.18,11.63,,,,,,,117.0
Syracuse,Ind,,2,9,0,-3.58,2.42,-1.16,29.01,8.17,,,,,,,23.0
Texas Tech,SWC,,4,7,0,-4.28,2.78,-1.49,25.13,6.72,,,,,,,49.0
East Carolina,Ind,,7,4,0,-0.31,-1.38,-1.69,29.43,14.7,,,,,,,4.0
Washington St.,Pac-10,,3,7,1,-3.33,1.13,-2.2,27.38,9.51,,,,,,,106.0
Texas A&M,SWC,,5,6,0,2.84,-5.16,-2.32,36.33,19.05,,,,,,,119.0
Purdue,Big Ten,,3,8,0,1.19,-3.76,-2.57,33.33,13.94,,,,,,,38.0
Wyoming,WAC,,5,7,0,0.08,-3.23,-3.15,29.63,13.97,,,,,,,94.0
Oregon St.,Pac-10,,1,9,1,-4.18,0.41,-3.77,27.3,12.76,,,,,,,100.0
Minnesota,Big Ten,,3,8,0,-0.13,-3.67,-3.8,34.58,14.83,,,,,,,33.0
Wichita State,MVC,,8,3,0,1.18,-5.3,-4.12,30.59,17.59,,,,,,,
Rutgers,Ind,,5,6,0,-2.38,-2.24,-4.62,27.82,15.71,,,,,,,39.0
Long Beach State,PCAA,,6,5,0,-0.24,-4.53,-4.77,28.74,17.67,,,,,,,
TCU,SWC,,3,8,0,-1.37,-3.69,-5.06,29.29,13.74,,,,,,,47.0
Colorado St.,WAC,,4,7,0,-2.95,-2.12,-5.07,27.18,13.51,,,,,,,85.0
Western Michigan,MAC,,7,2,2,-9.68,4.58,-5.1,19.95,8.28,,,,,,,82.0
Bowling Green,MAC,,7,5,0,-2.35,-2.84,-5.19,28.08,14.99,,,,,,,73.0
Colorado,Big 8,,2,8,1,-2.87,-2.41,-5.28,28.46,13.98,,,,,,,98.0
Miami (OH),MAC,,7,4,0,-8.02,2.49,-5.53,21.1,9.7,,,,,,,78.0
Wake Forest,ACC,,3,8,0,-0.24,-5.93,-6.16,29.55,17.88,,,,,,,26.0
Kansas,Big 8,,2,7,2,-5.6,-0.67,-6.27,25.57,13.14,,,,,,,43.0
Virginia,ACC,,2,9,0,-0.99,-5.82,-6.81,29.82,19.28,,,,,,,24.0
Louisville,Ind,,5,6,0,-0.58,-6.26,-6.84,31.28,23.49,,,,,,,18.0
Louisiana,Ind,,7,3,1,-4.27,-3.39,-7.66,24.21,16.24,,,,,,,126.0
Northwestern,Big Ten,,3,8,0,0.44,-8.11,-7.67,32.51,22.72,,,,,,,35.0
Kentucky,SEC,,0,10,1,-6.11,-1.62,-7.73,25.84,11.43,,,,,,,112.0
Army,Ind,,4,7,0,-6.64,-2.24,-8.88,23.99,16.15,,,,,,,65.0
Toledo,MAC,,6,5,0,-6.37,-2.78,-9.15,21.65,14.65,,,,,,,81.0
Central Michigan,MAC,,6,4,1,-2.49,-6.68,-9.17,25.83,19.51,,,,,,,75.0
Southern Illinois,MVC,,6,5,0,-8.99,-0.29,-9.27,19.77,15.08,,,,,,,189.0
UNLV,PCAA,,3,8,0,-0.24,-9.47,-9.71,29.2,21.17,,,,,,,92.0
UTEP,WAC,,2,10,0,-5.46,-5.45,-10.92,25.15,21.96,,,,,,,62.0
Memphis,Ind,,1,10,0,-8.17,-2.85,-11.02,22.41,13.13,,,,,,,6.0
Utah St.,PCAA,,5,6,0,-6.34,-4.95,-11.29,22.83,17.85,,,,,,,93.0
Northern Illinois,MAC,,5,5,0,-12.05,-1.11,-13.16,17.46,13.56,,,,,,,79.0
New Mexico State,MVC,,3,8,0,-4.6,-8.7,-13.29,23.71,25.38,,,,,,,69.0
Indiana State,MVC,,5,6,0,-10.74,-2.61,-13.34,16.82,17.15,,,,,,,183.0
Rice,SWC,,0,11,0,-6.25,-7.34,-13.59,25.03,20.42,,,,,,,59.0
Drake,MVC,,4,7,0,-1.18,-13.45,-14.63,27.14,26.28,,,,,,,220.0
Ohio,MAC,,6,5,0,-8.47,-6.56,-15.03,19.99,24.14,,,,,,,80.0
North Texas,Ind,,2,9,0,-8.33,-7.68,-16.01,20.61,19.11,,,,,,,57.0
Pacific,PCAA,,2,9,0,-6.79,-9.36,-16.15,23.09,23.73,,,,,,,376.0
Ball St.,MAC,,5,6,0,-10.21,-6.19,-16.4,19.41,19.9,,,,,,,72.0
West Texas A&M,MVC,,3,8,0,-3.95,-12.55,-16.5,23.91,28.92,,,,,,,416.0
Cal State Fullerton,PCAA,,3,9,0,-14.71,-3.38,-18.08,13.93,16.02,,,,,,,
William & Mary,Ind,,3,8,0,-5.29,-12.79,-18.08,23.46,28.56,,,,,,,163.0
Richmond,Ind,,0,10,0,-13.54,-7.97,-21.51,15.02,21.72,,,,,,,159.0
Eastern Michigan,MAC,,1,9,1,-16.52,-5.16,-21.68,11.75,19.08,,,,,,,76.0
Illinois State,MVC,,2,9,0,-10.78,-12.04,-22.81,17.08,26.99,,,,,,,182.0
Kent State,MAC,,0,11,0,-12.9,-10.76,-23.66,16.0,24.57,,,,,,,77.0
