School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Kentucky,SEC (East),,2,10,-2.99,-0.52,-3.51,38.85,16.43,8.27,6.88,5.2,4.07,6.59,5.18,112
Florida Atlantic,CUSA (East),,6,6,-6.44,2.91,-3.53,34.38,12.21,6.93,5.05,4.68,4.07,5.77,4.36,52
Iowa St.,Big 12,,3,9,-0.69,-2.89,-3.57,40.75,20.51,7.97,5.74,4.41,4.75,6.11,5.11,42
Nevada,MWC (West),,4,8,-1.7,-1.9,-3.6,38.41,18.15,7.93,6.76,4.77,5.91,6.23,6.13,88
Middle Tennessee,CUSA (East),,8,5,-0.97,-2.74,-3.71,38.03,17.55,7.08,6.55,5.31,4.12,6.22,4.98,56
West Virginia,Big 12,,4,8,0.29,-4.02,-3.74,40.88,18.36,8.25,6.54,4.9,3.95,6.68,4.95,50
Illinois,Big Ten (Leaders),,4,8,3.96,-7.82,-3.86,44.56,21.3,8.83,7.34,5.08,4.6,7.05,5.69,27
UNLV,MWC (West),,7,6,0.73,-4.63,-3.9,39.87,20.82,6.72,6.1,4.85,4.5,5.91,5.11,92
San Diego St.,MWC (West),,8,5,-1.19,-3.49,-4.68,36.78,18.22,7.36,6.08,4.29,2.99,5.9,4.38,90
Virginia,ACC (Coastal),,2,10,-6.11,1.17,-4.94,37.14,14.93,6.39,5.38,4.94,3.43,5.73,4.25,24
Troy,Sun Belt,,6,6,3.05,-8.38,-5.33,44.29,26.74,8.55,8.89,4.29,3.73,6.6,6.02,129
NC State,ACC (Atlantic),,3,9,-2.56,-3.1,-5.66,37.53,16.31,7.86,5.86,4.72,4.42,6.22,4.97,20
Rutgers,American,,6,7,-1.75,-3.93,-5.68,37.97,19.01,7.57,6.99,4.44,2.54,6.07,4.79,39
Ohio,MAC (East),,7,6,-3.05,-2.72,-5.77,36.79,21.11,7.73,7.07,3.99,4.63,5.94,5.51,80
UL Monroe,Sun Belt,,6,6,-6.34,-0.47,-6.81,33.22,19.3,6.55,6.27,4.5,4.45,5.73,5.22,130
Memphis,American,,3,9,-7.99,0.58,-7.41,32.18,13.61,6.41,6.18,4.56,2.77,5.49,4.41,6
SMU,American,,5,7,-0.67,-6.77,-7.44,39.24,21.4,7.55,6.5,4.36,3.42,6.47,4.75,8
California,Pac-12 (North),,1,11,0.74,-9.32,-8.58,42.03,25.56,8.24,7.58,4.52,3.74,6.64,5.52,97
Kansas,Big 12,,3,9,-10.02,1.44,-8.58,30.03,16.1,6.5,5.93,4.47,4.12,5.41,4.85,43
Wyoming,MWC (Mountain),,5,7,-1.42,-7.95,-9.36,38.6,25.34,7.22,7.48,5.65,4.05,6.64,5.34,94
Kent State,MAC (East),,4,8,-8.05,-1.55,-9.6,30.62,17.99,6.74,7.28,5.45,4.73,6.14,5.62,77
Akron,MAC (East),,5,7,-7.35,-2.51,-9.86,29.42,19.04,6.51,6.59,3.71,3.69,5.23,4.91,71
Temple,American,,2,10,-2.73,-7.57,-10.3,36.38,19.85,7.85,7.6,5.16,4.2,6.56,5.66,10
Texas St.,Sun Belt,,6,6,-7.36,-3.17,-10.53,29.18,19.28,6.2,6.14,4.65,4.03,5.38,4.93,128
Hawaii,MWC (West),,1,11,-0.88,-10.25,-11.13,39.64,24.76,7.6,7.45,3.74,3.68,5.99,5.06,87
Tulsa,CUSA (West),,3,9,-5.83,-5.94,-11.77,33.32,22.22,5.81,6.3,4.69,4.11,5.33,4.97,12
Central Michigan,MAC (West),,6,6,-9.23,-2.74,-11.97,28.88,21.62,7.3,7.49,3.82,4.6,5.57,5.61,75
Connecticut,American,,3,9,-7.66,-4.31,-11.97,33.27,19.89,7.22,6.61,3.63,3.41,5.58,4.77,3
Army,Ind,,3,9,-5.22,-7.13,-12.36,33.68,22.63,6.21,8.95,5.9,4.5,6.0,5.95,65
Purdue,Big Ten (Leaders),,1,11,-9.47,-2.96,-12.43,30.73,21.25,7.32,6.42,3.62,3.96,5.71,4.92,38
South Florida,American,,2,10,-11.38,-2.17,-13.56,28.3,16.69,6.82,6.41,4.13,3.42,5.47,4.54,9
New Mexico,MWC (Mountain),,3,9,0.33,-14.44,-14.1,41.56,31.73,7.77,8.88,6.77,5.68,7.01,6.82,89
Air Force,MWC (Mountain),,2,10,-4.16,-10.72,-14.88,35.08,28.69,7.58,8.48,5.39,4.17,6.0,5.71,83
Louisiana Tech,CUSA (West),,4,8,-9.93,-5.74,-15.66,26.76,22.46,5.51,7.57,4.95,4.09,5.45,5.39,54
UAB,CUSA (East),,2,10,-1.77,-14.05,-15.82,35.75,33.68,7.88,8.72,5.3,5.46,6.55,6.71,61
UTEP,CUSA (West),,2,10,-8.65,-9.52,-18.17,29.93,30.94,6.76,9.65,4.39,5.66,5.35,7.05,62
Western Michigan,MAC (West),,1,11,-10.43,-8.73,-19.16,27.08,27.35,6.02,6.4,3.96,4.85,5.19,5.35,82
Idaho,Ind,,1,11,-9.43,-9.87,-19.3,29.13,33.6,7.15,7.76,3.87,4.72,5.44,5.99,133
New Mexico State,Ind,,2,10,-7.85,-11.51,-19.36,30.52,34.34,7.4,8.19,4.07,6.27,5.82,7.06,69
Georgia St.,Sun Belt,,0,12,-9.64,-10.56,-20.2,27.46,27.97,7.42,7.83,3.83,4.43,5.84,5.68,125
Massachusetts,MAC (East),,1,11,-15.27,-5.13,-20.4,22.72,24.81,6.32,8.02,3.74,5.16,4.96,6.2,68
Southern Miss,CUSA (East),,1,11,-12.24,-8.89,-21.13,27.54,32.89,6.53,7.77,3.06,4.25,5.26,5.46,60
Eastern Michigan,MAC (West),,2,10,-10.15,-12.69,-22.84,27.64,35.98,6.51,9.41,4.66,5.86,5.58,7.1,76
Miami (OH),MAC (East),,0,12,-18.67,-4.82,-23.48,20.12,26.56,5.53,7.48,2.86,4.87,4.08,5.79,78
Florida Intl,CUSA (East),,1,11,-19.13,-4.4,-23.53,18.11,27.64,6.2,7.93,2.48,4.9,4.12,5.93,53
