School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Oklahoma,Big 8,1.0,11,0,0,14.04,13.75,27.8,55.5,-3.35,,,,,,,45.0
Alabama,SEC,5.0,11,1,0,9.89,12.66,22.55,40.03,-2.44,,,,,,,107.0
Ohio St.,Big Ten,4.0,10,2,0,11.13,10.88,22.02,45.87,-0.16,,,,,,,36.0
USC,Pac-8,2.0,10,1,1,10.28,10.62,20.9,40.78,0.02,,,,,,,103.0
Michigan,Big Ten,3.0,10,1,0,4.79,16.07,20.86,38.95,-4.72,,,,,,,31.0
Auburn,SEC,8.0,10,2,0,6.48,13.01,19.49,36.05,-2.12,,,,,,,109.0
Nebraska,Big 8,9.0,9,3,0,6.14,11.36,17.5,41.44,-1.45,,,,,,,34.0
Maryland,ACC,13.0,8,4,0,3.89,13.18,17.07,37.0,-1.23,,,,,,,30.0
Texas,SWC,17.0,8,4,0,11.52,5.36,16.88,43.45,3.34,,,,,,,48.0
Notre Dame,Ind,6.0,10,2,0,5.88,9.88,15.77,37.41,2.68,,,,,,,70.0
Florida,SEC,15.0,8,4,0,8.7,6.81,15.51,35.83,2.4,,,,,,,110.0
Penn State,Ind,7.0,10,2,0,7.36,7.69,15.05,36.26,3.65,,,,,,,37.0
Texas A&M,SWC,16.0,8,3,0,3.98,10.6,14.58,31.77,0.16,,,,,,,119.0
Wisconsin,Big Ten,,7,4,0,11.89,2.36,14.24,41.89,9.27,,,,,,,40.0
Mississippi St.,SEC,17.0,9,3,0,9.96,3.9,13.86,38.67,8.56,,,,,,,114.0
Michigan St.,Big Ten,12.0,7,3,1,7.65,6.15,13.8,35.72,5.77,,,,,,,32.0
Miami (OH),MAC,10.0,10,0,1,2.65,11.04,13.69,32.46,1.14,,,,,,,78.0
Tennessee,SEC,20.0,7,3,2,5.29,8.14,13.43,31.67,2.5,,,,,,,118.0
Arkansas,SWC,,6,4,1,4.29,8.55,12.84,38.28,2.58,,,,,,,108.0
Oklahoma St.,Big 8,,7,5,0,5.04,7.18,12.22,34.99,1.91,,,,,,,46.0
Baylor,SWC,14.0,8,4,0,8.16,4.04,12.19,35.27,5.15,,,,,,,41.0
NC State,ACC,11.0,9,2,1,10.97,1.18,12.15,36.01,10.82,,,,,,,20.0
Kentucky,SEC,,6,5,0,6.95,5.01,11.97,35.41,5.45,,,,,,,112.0
Vanderbilt,SEC,,7,3,2,7.34,4.03,11.38,37.14,8.02,,,,,,,120.0
Missouri,Big 8,,7,4,0,3.71,6.83,10.54,32.45,4.91,,,,,,,115.0
North Carolina,ACC,,7,5,0,12.32,-1.96,10.36,39.22,13.27,,,,,,,21.0
Pittsburgh,Ind,,7,4,0,5.92,4.43,10.35,32.25,5.25,,,,,,,22.0
LSU,SEC,,5,5,1,3.11,7.18,10.29,30.73,4.46,,,,,,,113.0
Georgia Tech,Ind,,6,5,0,6.16,3.91,10.07,32.39,7.8,,,,,,,17.0
Texas Tech,SWC,,6,4,2,1.12,8.91,10.03,28.4,1.6,,,,,,,49.0
Georgia,SEC,,6,6,0,9.98,0.0,9.98,39.52,10.88,,,,,,,111.0
California,Pac-8,,7,3,1,8.03,1.46,9.49,34.02,9.74,,,,,,,97.0
Boston College,Ind,,8,3,0,5.13,4.15,9.28,40.9,7.71,,,,,,,13.0
Clemson,ACC,,7,4,0,7.4,1.82,9.21,33.0,11.21,,,,,,,14.0
Houston,Ind,19.0,8,3,1,3.61,4.95,8.56,31.62,7.12,,,,,,,5.0
UCLA,Pac-8,,6,3,2,2.32,5.71,8.04,30.02,6.38,,,,,,,102.0
Yale,Ivy,,8,1,0,0.03,7.96,8.0,27.23,5.12,,,,,,,172.0
Illinois,Big Ten,,6,4,1,2.73,4.74,7.47,28.5,8.0,,,,,,,27.0
