School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Nebraska,Big 8,1.0,12,0,0,14.49,12.37,26.86,65.0,0.63,,,,,,,34
Ohio St.,Big Ten,6.0,11,2,0,12.82,10.93,23.75,52.76,1.53,,,,,,,36
Florida,SEC (East),2.0,12,1,0,15.49,7.1,22.59,56.76,4.32,,,,,,,110
Northwestern,Big Ten,8.0,10,2,0,6.72,12.88,19.6,42.07,-0.79,,,,,,,35
Tennessee,SEC (East),3.0,11,1,0,10.89,7.58,18.46,50.29,5.11,,,,,,,118
Penn State,Big Ten,13.0,9,3,0,10.7,7.16,17.86,47.97,5.1,,,,,,,37
Notre Dame,Ind,11.0,9,3,0,11.55,6.15,17.7,49.47,5.11,,,,,,,70
Florida St.,ACC,4.0,10,2,0,13.26,4.35,17.61,59.67,7.88,,,,,,,16
Colorado,Big 8,5.0,10,2,0,11.9,5.02,16.92,50.67,6.73,,,,,,,98
Michigan,Big Ten,17.0,9,4,0,6.92,9.22,16.14,42.6,2.9,,,,,,,31
Kansas St.,Big 8,7.0,10,2,0,4.98,10.15,15.13,48.11,2.67,,,,,,,44
Virginia Tech,Big East,10.0,10,2,0,3.47,9.58,13.05,40.85,3.85,,,,,,,25
Kansas,Big 8,9.0,10,2,0,6.1,5.51,11.61,40.53,8.9,,,,,,,43
USC,Pac-10,12.0,9,2,1,4.13,7.34,11.47,41.97,6.92,,,,,,,103
Syracuse,Big East,19.0,9,3,0,5.07,6.39,11.46,42.99,6.39,,,,,,,23
Texas A&M,SWC,15.0,9,3,0,1.58,9.71,11.28,39.47,3.56,,,,,,,119
Iowa,Big Ten,25.0,8,4,0,5.9,5.31,11.21,43.3,7.98,,,,,,,29
Texas,SWC,14.0,10,2,1,6.31,4.34,10.65,42.64,9.25,,,,,,,48
Auburn,SEC (West),22.0,8,4,0,10.08,0.3,10.38,50.15,12.66,,,,,,,109
LSU,SEC (West),,7,4,1,-0.42,10.77,10.35,38.89,1.52,,,,,,,113
Purdue,Big Ten,,4,6,1,6.53,3.06,9.58,42.83,9.11,,,,,,,38
Virginia,ACC,16.0,9,4,0,6.74,2.72,9.46,42.09,8.43,,,,,,,24
Texas Tech,SWC,23.0,9,3,0,6.94,2.35,9.29,43.53,11.94,,,,,,,49
Washington,Pac-10,,7,4,1,5.76,3.35,9.1,40.98,8.96,,,,,,,105
Illinois,Big Ten,,5,5,1,-1.52,10.37,8.85,34.27,3.17,,,,,,,27
Wisconsin,Big Ten,,4,5,2,-0.76,8.88,8.12,37.11,5.89,,,,,,,40
Miami (FL),Big East,20.0,8,3,0,1.54,6.41,7.95,38.75,5.63,,,,,,,19
Michigan St.,Big Ten,,6,5,1,7.12,0.57,7.68,41.49,12.37,,,,,,,32
Alabama,SEC (West),21.0,8,3,0,0.55,6.66,7.21,35.83,5.34,,,,,,,107
Oregon,Pac-10,18.0,9,3,0,4.43,2.65,7.09,39.67,12.01,,,,,,,99
Cincinnati,Ind,,6,5,0,1.07,5.85,6.92,35.88,6.82,,,,,,,2
UCLA,Pac-10,,7,5,0,5.69,1.2,6.9,40.95,12.3,,,,,,,102
East Carolina,Ind,,9,3,0,1.9,4.92,6.82,36.02,7.93,,,,,,,4
Clemson,ACC,,8,4,0,-1.65,7.74,6.09,35.72,5.02,,,,,,,14
Toledo,MAC,24.0,11,0,1,6.41,-0.67,5.73,39.13,16.69,,,,,,,81
Miami (OH),MAC,,8,2,1,0.21,5.49,5.69,37.15,10.11,,,,,,,78
Baylor,SWC,,7,4,0,-2.92,8.61,5.68,35.09,4.99,,,,,,,41
