School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Florida St.,ACC,2.0,11,1,0,11.53,9.47,21.0,49.14,1.76,,,,,,,16.0
Notre Dame,Ind,4.0,10,1,1,10.91,9.38,20.29,47.78,3.17,,,,,,,70.0
Washington,Pac-10,11.0,9,3,0,9.41,9.66,19.07,42.95,1.93,,,,,,,105.0
Alabama,SEC (West),1.0,13,0,0,6.69,12.28,18.97,40.84,0.64,,,,,,,107.0
Michigan,Big Ten,5.0,9,0,3,9.27,9.62,18.9,46.75,3.65,,,,,,,31.0
Nebraska,Big 8,14.0,9,3,0,10.11,6.87,16.98,49.35,5.45,,,,,,,34.0
Stanford,Pac-10,9.0,10,3,0,5.12,11.1,16.22,37.88,1.48,,,,,,,101.0
Miami (FL),Big East,3.0,11,1,0,5.82,10.12,15.94,42.22,1.89,,,,,,,19.0
Georgia,SEC (East),8.0,10,2,0,6.61,7.64,14.26,41.62,5.18,,,,,,,111.0
Ohio St.,Big Ten,18.0,8,3,1,3.2,9.95,13.15,33.91,2.9,,,,,,,36.0
Syracuse,Big East,6.0,10,2,0,5.81,6.88,12.69,37.54,5.79,,,,,,,23.0
Texas A&M,SWC,7.0,12,1,0,3.34,9.14,12.47,35.29,4.16,,,,,,,119.0
Colorado,Big 8,13.0,9,2,1,5.67,6.15,11.82,38.95,8.02,,,,,,,98.0
Arizona,Pac-10,,6,5,1,-2.89,14.69,11.8,31.18,-3.77,,,,,,,95.0
Tennessee,SEC (East),12.0,9,3,0,7.09,4.64,11.73,40.07,7.39,,,,,,,118.0
USC,Pac-10,,6,5,1,5.01,5.93,10.94,36.96,5.33,,,,,,,103.0
NC State,ACC,17.0,9,3,1,2.09,8.48,10.56,35.57,3.48,,,,,,,20.0
Washington St.,Pac-10,15.0,9,3,0,9.4,0.83,10.23,40.92,12.82,,,,,,,106.0
Arizona St.,Pac-10,,6,5,0,2.26,7.49,9.75,35.17,4.04,,,,,,,96.0
Florida,SEC (East),10.0,9,4,0,6.94,2.24,9.18,38.42,10.22,,,,,,,110.0
Fresno St.,WAC,24.0,9,4,0,14.45,-5.4,9.06,46.67,18.29,,,,,,,86.0
Kansas,Big 8,22.0,8,4,0,7.14,1.52,8.67,41.06,12.27,,,,,,,43.0
Penn State,Ind,,7,5,0,5.41,2.5,7.91,41.65,8.43,,,,,,,37.0
BYU,WAC,,8,5,0,4.96,2.52,7.49,36.8,9.99,,,,,,,66.0
Boston College,Big East,21.0,8,3,1,2.37,4.87,7.23,36.07,9.65,,,,,,,13.0
Virginia,ACC,,7,4,0,5.37,1.84,7.21,41.0,9.94,,,,,,,24.0
Ole Miss,SEC (West),16.0,9,3,0,0.0,7.06,7.06,32.2,5.89,,,,,,,116.0
Hawaii,WAC,20.0,11,2,0,8.23,-1.27,6.97,38.68,15.21,,,,,,,87.0
North Carolina,ACC,19.0,9,3,0,2.32,4.0,6.32,34.14,8.86,,,,,,,21.0
Oregon,Pac-10,,6,6,0,0.15,6.14,6.3,33.7,5.93,,,,,,,99.0
Memphis,Ind,,6,5,0,2.75,2.14,4.88,35.95,10.14,,,,,,,6.0
West Virginia,Big East,,5,4,2,2.67,2.05,4.72,35.02,9.75,,,,,,,50.0
Mississippi St.,SEC (West),23.0,7,5,0,-0.87,5.37,4.51,31.79,7.61,,,,,,,114.0
Oklahoma,Big 8,,5,4,2,-1.02,5.42,4.39,33.73,7.5,,,,,,,45.0
UCLA,Pac-10,,6,5,0,-0.2,4.34,4.14,30.86,9.36,,,,,,,102.0
Baylor,SWC,,7,5,0,5.0,-0.96,4.05,37.66,13.19,,,,,,,41.0
California,Pac-10,,4,7,0,5.28,-1.35,3.93,40.37,13.94,,,,,,,97.0
Wake Forest,ACC,25.0,8,4,0,0.67,2.79,3.46,32.99,9.88,,,,,,,26.0
Clemson,ACC,,5,6,0,-0.41,3.58,3.17,34.14,8.62,,,,,,,14.0
San Diego St.,WAC,,5,5,1,7.36,-4.23,3.13,39.5,19.62,,,,,,,90.0
Michigan St.,Big Ten,,5,6,0,3.72,-1.0,2.72,33.99,13.67,,,,,,,32.0
Southern Miss,Ind,,7,4,0,-1.27,3.71,2.44,28.54,9.41,,,,,,,60.0
Wisconsin,Big Ten,,5,6,0,-0.52,2.86,2.34,29.66,9.87,,,,,,,40.0
Utah,WAC,,6,6,0,1.1,1.23,2.33,33.32,12.16,,,,,,,104.0
Illinois,Big Ten,,6,5,1,-1.75,3.63,1.88,27.66,8.89,,,,,,,27.0
Georgia Tech,ACC,,5,6,0,2.4,-0.66,1.74,33.37,12.29,,,,,,,17.0
Bowling Green,MAC,,10,2,0,3.35,-1.78,1.57,32.67,17.71,,,,,,,73.0
Auburn,SEC (West),,5,5,1,-0.88,2.4,1.51,32.47,10.49,,,,,,,109.0
Rutgers,Big East,,7,4,0,3.97,-2.47,1.5,37.74,14.83,,,,,,,39.0
Iowa,Big Ten,,5,7,0,1.09,0.23,1.31,33.51,12.79,,,,,,,29.0
Texas,SWC,,6,5,0,4.31,-3.31,1.0,34.98,15.75,,,,,,,48.0
Louisville,Ind,,5,6,0,-0.43,0.88,0.45,30.36,11.47,,,,,,,18.0
South Carolina,SEC (East),,5,6,0,-3.58,4.02,0.45,27.0,10.44,,,,,,,117.0
Maryland,ACC,,3,8,0,6.05,-5.94,0.12,38.86,19.41,,,,,,,30.0
