School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Notre Dame,Ind,3.0,9,1,0,14.86,12.47,27.33,40.29,-6.37,,,,,,,70.0
Michigan,Big Ten,4.0,9,1,0,13.08,11.16,24.24,37.69,-4.97,,,,,,,31.0
Alabama,SEC,1.0,10,1,0,13.62,8.44,22.06,38.15,-2.37,,,,,,,107.0
Arkansas,SWC,2.0,11,0,0,8.26,11.79,20.05,32.63,-7.03,,,,,,,108.0
Texas,SWC,5.0,10,1,0,9.3,9.54,18.84,33.04,-4.4,,,,,,,48.0
Ohio St.,Big Ten,9.0,7,2,0,5.6,12.8,18.4,28.7,-6.23,,,,,,,36.0
USC,AAWU,10.0,7,3,0,11.59,6.26,17.84,34.83,-0.74,,,,,,,103.0
Florida St.,Ind,,9,1,1,7.24,9.08,16.32,33.56,-3.17,,,,,,,16.0
Florida,SEC,,7,3,0,8.44,7.71,16.15,32.88,-2.54,,,,,,,110.0
Illinois,Big Ten,,6,3,0,5.7,10.24,15.94,29.34,-3.25,,,,,,,27.0
Purdue,Big Ten,,6,3,0,10.11,5.17,15.29,32.53,1.23,,,,,,,38.0
Nebraska,Big 8,6.0,9,2,0,6.09,7.62,13.7,34.5,-1.5,,,,,,,34.0
Utah,WAC,,9,2,0,4.07,9.49,13.56,30.1,-4.05,,,,,,,104.0
LSU,SEC,7.0,8,2,1,2.26,10.99,13.25,24.44,-5.56,,,,,,,113.0
Michigan St.,Big Ten,,4,5,0,5.66,7.42,13.09,29.07,-0.93,,,,,,,32.0
Penn State,Ind,,6,4,0,5.73,7.03,12.77,30.44,-1.02,,,,,,,37.0
Minnesota,Big Ten,,5,4,0,5.28,7.28,12.55,27.46,-1.49,,,,,,,33.0
Oregon St.,AAWU,8.0,8,3,0,2.89,8.46,11.35,25.56,-2.36,,,,,,,100.0
Washington,AAWU,,6,4,0,2.57,8.67,11.24,24.9,-3.32,,,,,,,105.0
Oregon,AAWU,,7,2,1,5.3,5.81,11.1,28.94,-0.91,,,,,,,99.0
Syracuse,Ind,,7,4,0,9.52,1.43,10.95,35.36,4.09,,,,,,,23.0
Georgia Tech,Ind,,7,3,0,3.16,7.72,10.88,25.71,-1.85,,,,,,,17.0
Georgia,SEC,,7,3,1,1.93,8.86,10.79,25.45,-3.08,,,,,,,111.0
Missouri,Big 8,,6,3,1,2.45,7.84,10.29,25.96,-2.62,,,,,,,115.0
Stanford,AAWU,,5,5,0,4.64,5.49,10.13,27.77,0.37,,,,,,,101.0
Tulsa,MVC,,9,2,0,9.69,0.23,9.92,43.84,5.65,,,,,,,12.0
Oklahoma,Big 8,,6,4,1,6.82,2.19,9.01,32.29,3.23,,,,,,,45.0
Wyoming,WAC,,6,2,2,5.4,3.41,8.81,27.36,1.81,,,,,,,94.0
Iowa,Big Ten,,3,6,0,11.36,-2.77,8.59,34.31,8.11,,,,,,,29.0
Ole Miss,SEC,,5,5,1,5.18,3.38,8.56,31.24,0.63,,,,,,,116.0
Auburn,SEC,,6,4,0,0.12,7.97,8.09,23.95,-2.34,,,,,,,109.0
