School,Conf,AP Rank,Won,Lost,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Ohio St.,Big Ten,2.0,11,1,10.59,12.44,23.02,53.03,0.06,,,,,,,36
Florida St.,ACC,3.0,11,2,5.16,15.19,20.34,47.04,-2.7,,,,,,,16
Tennessee,SEC (East),1.0,13,0,8.79,11.17,19.96,48.79,0.53,,,,,,,118
Kansas St.,Big 12 (North),10.0,11,2,8.43,9.96,18.39,61.36,1.63,,,,,,,44
UCLA,Pac-10,8.0,10,2,17.86,-0.46,17.4,54.86,11.91,,,,,,,102
Florida,SEC (East),5.0,10,2,6.06,10.95,17.02,45.64,0.56,,,,,,,110
Texas A&M,Big 12 (South),11.0,11,3,4.11,12.54,16.65,41.21,-3.49,,,,,,,119
Nebraska,Big 12 (North),19.0,9,4,4.42,12.18,16.6,46.57,-1.93,,,,,,,34
Wisconsin,Big Ten,6.0,11,1,3.88,12.57,16.45,45.43,0.34,,,,,,,40
Arizona,Pac-10,4.0,12,1,7.68,7.02,14.7,46.03,5.54,,,,,,,95
Purdue,Big Ten,24.0,9,4,11.4,3.31,14.7,51.34,7.36,,,,,,,38
Texas,Big 12 (South),15.0,9,3,13.52,0.8,14.32,53.0,11.52,,,,,,,48
Penn State,Big Ten,17.0,9,3,1.92,11.87,13.79,41.37,-0.36,,,,,,,37
Missouri,Big 12 (North),21.0,8,4,6.86,6.78,13.64,44.49,3.2,,,,,,,115
Virginia Tech,Big East,23.0,9,3,1.57,11.7,13.27,43.25,-0.06,,,,,,,25
Arkansas,SEC (West),16.0,9,3,7.61,5.21,12.82,46.19,6.6,,,,,,,108
USC,Pac-10,,8,5,3.55,9.19,12.73,41.61,2.44,,,,,,,103
Air Force,WAC (Mountain),13.0,12,1,4.78,7.81,12.59,46.68,5.53,,,,,,,83
Georgia Tech,ACC,9.0,10,2,11.44,0.93,12.37,48.81,12.44,,,,,,,17
Michigan,Big Ten,12.0,10,3,4.84,7.18,12.01,42.8,4.62,,,,,,,31
Miami (FL),Big East,20.0,9,3,8.24,3.71,11.94,48.59,10.74,,,,,,,19
Oregon,Pac-10,,8,4,10.92,0.64,11.56,52.57,12.42,,,,,,,99
Tulane,CUSA,7.0,12,0,12.79,-1.27,11.51,51.29,14.16,,,,,,,11
Virginia,ACC,18.0,9,3,7.45,3.76,11.22,44.56,8.62,,,,,,,24
Syracuse,Big East,25.0,8,4,10.13,1.08,11.2,53.49,10.5,,,,,,,23
Notre Dame,Ind,22.0,9,3,3.59,7.56,11.16,40.39,5.05,,,,,,,70
West Virginia,Big East,,8,4,8.93,2.11,11.04,47.35,8.91,,,,,,,50
Colorado,Big 12 (North),,8,4,4.11,4.7,8.81,41.1,5.22,,,,,,,98
Michigan St.,Big Ten,,6,6,6.53,1.61,8.13,44.08,10.19,,,,,,,32
Georgia,SEC (East),14.0,9,3,0.07,7.45,7.51,37.33,5.49,,,,,,,111
Kentucky,SEC (East),,7,5,11.32,-4.72,6.6,50.45,17.33,,,,,,,112
