School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Auburn,SEC,3.0,11,1,0,11.87,11.56,23.43,41.01,1.2,,,,,,,109.0
Nebraska,Big 8,2.0,12,1,0,16.06,6.55,22.61,59.04,6.52,,,,,,,34.0
Florida,SEC,6.0,9,2,1,8.06,12.42,20.48,39.27,0.33,,,,,,,110.0
Miami (FL),Ind,1.0,11,1,0,4.73,15.46,20.18,35.12,-3.44,,,,,,,19.0
Georgia,SEC,4.0,10,1,1,7.26,11.93,19.19,36.2,1.38,,,,,,,111.0
Alabama,SEC,15.0,8,4,0,11.71,5.45,17.16,43.64,7.43,,,,,,,107.0
Michigan,Big Ten,8.0,9,3,0,6.4,9.93,16.32,37.13,3.54,,,,,,,31.0
BYU,WAC,7.0,11,1,0,14.49,0.94,15.42,48.93,12.62,,,,,,,66.0
Clemson,ACC,11.0,9,1,1,9.25,5.83,15.08,40.09,7.43,,,,,,,14.0
Ohio St.,Big Ten,9.0,9,3,0,9.89,4.62,14.51,42.03,8.99,,,,,,,36.0
Florida St.,Ind,,7,5,0,15.23,-1.19,14.04,46.09,13.96,,,,,,,16.0
Texas,SWC,5.0,11,1,0,3.13,10.89,14.02,33.54,2.29,,,,,,,48.0
Iowa,Big Ten,14.0,9,3,0,4.74,9.24,13.98,37.92,5.73,,,,,,,29.0
Illinois,Big Ten,10.0,10,2,0,7.35,6.34,13.69,36.07,8.57,,,,,,,27.0
Maryland,ACC,,8,4,0,8.98,3.67,12.65,38.85,9.18,,,,,,,30.0
Pittsburgh,Ind,18.0,8,3,1,2.8,9.84,12.64,34.3,2.34,,,,,,,22.0
Tennessee,SEC,,9,3,0,2.64,9.62,12.26,34.47,3.51,,,,,,,118.0
West Virginia,Ind,16.0,9,3,0,5.92,6.32,12.24,38.91,6.95,,,,,,,50.0
Notre Dame,Ind,,7,5,0,4.28,7.25,11.53,36.4,5.46,,,,,,,70.0
Virginia Tech,Ind,,9,2,0,-1.88,13.27,11.39,32.41,0.37,,,,,,,25.0
North Carolina,ACC,,8,4,0,4.84,6.19,11.03,35.88,6.67,,,,,,,21.0
Boston College,Ind,19.0,9,3,0,6.09,4.76,10.85,37.8,7.84,,,,,,,13.0
UCLA,Pac-10,17.0,7,4,1,7.71,3.12,10.83,38.06,8.55,,,,,,,102.0
Missouri,Big 8,,7,5,0,1.96,8.64,10.59,33.65,2.64,,,,,,,115.0
Southern Miss,Ind,,7,4,0,0.04,10.42,10.46,30.05,2.84,,,,,,,60.0
Oklahoma,Big 8,,8,4,0,4.88,5.44,10.32,35.31,6.53,,,,,,,45.0
Wisconsin,Big Ten,,7,4,0,9.07,1.12,10.18,39.92,13.28,,,,,,,40.0
East Carolina,Ind,20.0,8,3,0,5.18,4.83,10.0,34.98,7.61,,,,,,,4.0
Penn State,Ind,,8,4,1,8.68,1.13,9.81,37.46,11.41,,,,,,,37.0
Oklahoma St.,Big 8,,8,4,0,0.89,8.52,9.4,30.1,2.08,,,,,,,46.0
Washington,Pac-10,,8,4,0,3.03,6.3,9.32,32.41,6.4,,,,,,,105.0
Memphis,Ind,,6,4,1,4.97,3.82,8.78,35.77,9.67,,,,,,,6.0
Arizona,Pac-10,,7,3,1,5.85,2.76,8.62,39.54,10.3,,,,,,,95.0
Air Force,WAC,13.0,10,2,0,6.45,1.98,8.43,35.97,11.5,,,,,,,83.0
Arizona St.,Pac-10,,6,4,1,4.75,2.99,7.74,36.13,8.74,,,,,,,96.0
SMU,SWC,12.0,10,2,0,0.13,7.52,7.65,28.95,5.46,,,,,,,8.0
Kentucky,SEC,,6,5,1,2.02,4.77,6.79,31.52,9.08,,,,,,,112.0
LSU,SEC,,4,7,0,5.07,0.71,5.78,34.87,11.77,,,,,,,113.0
Washington St.,Pac-10,,7,4,0,2.01,3.55,5.56,31.69,10.38,,,,,,,106.0
South Carolina,Ind,,5,6,0,2.15,3.21,5.37,31.98,9.76,,,,,,,117.0
Northern Illinois,MAC,,10,2,0,2.96,1.74,4.7,30.66,13.58,,,,,,,79.0
Baylor,SWC,,7,4,1,6.77,-2.57,4.21,37.42,15.7,,,,,,,41.0
Syracuse,Ind,,6,5,0,-3.94,7.75,3.81,25.68,7.06,,,,,,,23.0
Central Michigan,MAC,,8,3,0,-0.77,4.22,3.44,27.46,10.33,,,,,,,75.0
