School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code
Michigan,Big Ten,3.0,10,2,0,9.79,14.87,24.67,47.2,-4.09,,,,,,,31.0
Pittsburgh,Ind,1.0,12,0,0,12.5,10.56,23.06,42.03,0.95,,,,,,,22.0
Texas A&M,SWC,7.0,10,2,0,9.32,12.25,21.57,38.08,0.43,,,,,,,119.0
USC,Pac-8,2.0,11,1,0,9.26,11.75,21.01,44.23,-1.54,,,,,,,103.0
Georgia,SEC,10.0,10,2,0,9.68,11.1,20.78,40.56,0.16,,,,,,,111.0
Ohio St.,Big Ten,6.0,9,2,1,8.8,11.85,20.66,38.74,-1.96,,,,,,,36.0
Oklahoma,Big 8,5.0,9,2,1,10.25,8.9,19.16,38.88,2.32,,,,,,,45.0
Maryland,ACC,8.0,11,1,0,7.85,10.99,18.84,35.01,1.21,,,,,,,30.0
Alabama,SEC,11.0,9,3,0,8.4,10.01,18.41,39.21,0.04,,,,,,,107.0
Houston,SWC,4.0,10,2,0,9.18,8.9,18.08,37.3,4.71,,,,,,,5.0
Texas Tech,SWC,13.0,10,2,0,11.79,6.09,17.89,36.97,5.4,,,,,,,49.0
Nebraska,Big 8,9.0,9,3,1,8.15,9.48,17.63,42.5,1.45,,,,,,,34.0
UCLA,Pac-8,15.0,9,2,1,8.91,8.45,17.36,42.84,2.67,,,,,,,102.0
Oklahoma St.,Big 8,14.0,9,3,0,11.31,5.58,16.9,38.67,4.86,,,,,,,46.0
Colorado,Big 8,16.0,8,4,0,9.58,7.26,16.83,37.61,3.26,,,,,,,98.0
Notre Dame,Ind,12.0,9,3,0,7.15,9.47,16.62,37.28,0.82,,,,,,,70.0
Kentucky,SEC,18.0,8,4,0,2.99,11.48,14.47,30.24,-0.22,,,,,,,112.0
Missouri,Big 8,,6,5,0,9.81,4.66,14.47,37.13,4.63,,,,,,,115.0
Iowa St.,Big 8,19.0,8,3,0,9.64,4.25,13.89,41.73,7.24,,,,,,,42.0
Florida,SEC,,8,4,0,12.98,-0.37,12.61,40.36,11.3,,,,,,,110.0
Penn State,Ind,,7,5,0,4.8,7.36,12.16,32.07,3.36,,,,,,,37.0
Mississippi St.,SEC,20.0,9,2,0,7.51,4.06,11.57,35.94,7.16,,,,,,,114.0
LSU,SEC,,6,4,1,2.26,9.18,11.43,32.32,1.72,,,,,,,113.0
Kansas,Big 8,,6,5,0,7.78,3.45,11.24,35.76,7.33,,,,,,,43.0
Tennessee,SEC,,6,5,0,3.53,7.24,10.77,31.14,3.8,,,,,,,118.0
South Carolina,Ind,,6,5,0,1.73,8.18,9.92,29.04,2.43,,,,,,,117.0
East Carolina,Southern,,9,2,0,3.14,6.76,9.9,32.64,4.81,,,,,,,4.0
Baylor,SWC,,7,3,1,2.82,6.89,9.71,28.09,5.19,,,,,,,41.0
Illinois,Big Ten,,5,6,0,5.94,3.26,9.19,34.86,8.94,,,,,,,27.0
Texas,SWC,,5,5,1,2.48,5.97,8.45,27.75,5.85,,,,,,,48.0
Cincinnati,Ind,,8,3,0,-0.53,8.57,8.04,27.36,3.3,,,,,,,2.0
Minnesota,Big Ten,,6,5,0,1.17,6.34,7.51,28.35,6.75,,,,,,,33.0
Washington,Pac-8,,5,6,0,4.67,2.77,7.44,32.27,7.75,,,,,,,105.0
North Carolina,ACC,,9,3,0,4.41,3.03,7.43,29.56,9.29,,,,,,,21.0
California,Pac-8,,5,6,0,4.82,2.42,7.24,31.72,6.5,,,,,,,97.0
Wisconsin,Big Ten,,5,6,0,10.6,-3.57,7.03,38.19,13.16,,,,,,,40.0
Miami (FL),Ind,,3,8,0,0.06,6.7,6.76,31.23,4.49,,,,,,,19.0
Arkansas,SWC,,5,5,1,1.82,4.82,6.64,28.18,7.76,,,,,,,108.0
BYU,WAC,,9,3,0,7.16,-0.57,6.58,36.08,13.42,,,,,,,66.0
Boston College,Ind,,8,3,0,-1.1,7.66,6.56,27.85,4.89,,,,,,,13.0
Ole Miss,SEC,,5,6,0,-0.93,7.44,6.52,26.67,5.24,,,,,,,116.0
Duke,ACC,,5,5,1,6.63,-0.12,6.51,33.66,11.76,,,,,,,15.0
Rutgers,Ind,17.0,11,0,0,-0.82,6.74,5.93,29.07,6.37,,,,,,,39.0
Memphis,Ind,,7,4,0,3.42,2.29,5.71,29.78,9.39,,,,,,,6.0
Purdue,Big Ten,,5,6,0,3.3,2.33,5.63,29.86,7.73,,,,,,,38.0
Stanford,Pac-8,,6,5,0,6.52,-0.97,5.55,33.02,11.96,,,,,,,101.0
Virginia Tech,Ind,,6,5,0,2.4,2.83,5.24,29.44,9.46,,,,,,,25.0
Yale,Ivy,,8,1,0,-1.26,5.78,4.52,25.77,7.87,,,,,,,172.0
Georgia Tech,Ind,,4,6,1,5.17,-0.76,4.41,32.53,13.07,,,,,,,17.0
West Virginia,Ind,,5,6,0,0.82,3.47,4.29,28.94,9.05,,,,,,,50.0
William & Mary,Southern,,7,4,0,1.38,2.89,4.27,27.27,7.66,,,,,,,163.0
Michigan St.,Big Ten,,4,6,1,6.26,-2.2,4.07,34.13,13.57,,,,,,,32.0
Wake Forest,ACC,,5,6,0,0.99,2.62,3.61,27.0,8.1,,,,,,,26.0
Clemson,ACC,,3,6,2,0.82,2.47,3.29,27.62,10.5,,,,,,,14.0
Dartmouth,Ivy,,6,3,0,1.37,1.82,3.18,29.69,11.74,,,,,,,168.0
Navy,Ind,,4,7,0,0.73,2.45,3.18,28.03,12.77,,,,,,,7.0
Florida St.,Ind,,5,6,0,3.5,-0.33,3.17,29.47,13.42,,,,,,,16.0
Iowa,Big Ten,,5,6,0,-1.52,4.62,3.1,26.39,9.25,,,,,,,29.0
Tulsa,MVC,,7,4,1,1.87,1.02,2.89,27.43,11.8,,,,,,,12.0
Richmond,Southern,,5,6,0,-2.84,5.47,2.63,25.58,6.45,,,,,,,159.0
